Variable,Value
V (m/s),4.384410401031462
α (deg),10.000000097155654
ϕ (deg),35.0
R_target (m),2.7985083649370504
n,1.220774588761456
m_TOGW (kg),0.0892175667324095
L/D_turn,7.650115599176487
sink_rate (m/s),0.6996465196945604
w (m/s),9.273755995297487e-09
climb_rate (m/s),-0.6996465104208044
K_n,0.03999999043822991
V_HT,0.3999999900566858
V_VT,0.029507686216683458
Re_W,44844.127351181465
b_W (m),0.6777602157438033
S_W (m^2),0.10125985640324327
S_HT (m^2),0.0040342913526672216
S_VT (m^2),0.0013500730650186116
δ_A (deg),1.1742104752052467e-15
δ_R (deg),-1.3758100983906643e-14
δ_E (deg),6.593568004831516
t_roll (s),0.8493420848424295
ψ0 (deg),-45.265752020169934
"Cl,δA (rad^-1)",0.5734615754574507
objective_total,2.1960373650839995
objective_climb,0.48950523954400876
objective_span,0.8567552893072178
objective_roll_in_time,0.8493420848424295
objective_control,0.0004347513903433786
penalty,5.5160192711950134e-11
x_CG (m),0.02140932256687558
y_CG (m),-6.591058280951924e-18
z_CG (m),0.005766434495811796
I_xx (kg m^2),0.0012780164940578529
I_yy (kg m^2),0.01076649018695757
I_zz (kg m^2),0.012029470220932576
I_xy (kg m^2),9.622420979361932e-21
I_xz (kg m^2),-1.0781925274058077e-05
I_yz (kg m^2),1.2944251500534294e-20
m_TOGW (g),89.21756673240951
m_TOGW (lbm),0.19669106588457275
mass_wing_kg,0.031052914112929896
mass_htail_surfaces_kg,0.00023171303152814322
mass_vtail_surfaces_kg,6.343814529362613e-05
mass_linkages_kg,0.001
mass_Receiver_kg,0.005
mass_battery_kg,0.013
mass_servo_kg,0.0088
mass_boom_kg,0.01646080279347328
mass_pod_kg,0.007
mass_ballast_kg,-9.997660589617903e-09
mass_glue_weight_kg,0.006608708646845148
aero_F_b,0.04799173185776849
aero_F_w,-0.13966476679373493
aero_M_b,-1.3999343043415883e-17
aero_M_w,-1.4019633534585853e-17
aero_L,1.0684516111040967
aero_Y,-7.544629312224067e-18
aero_D,0.13966476679373493
aero_l_b,-1.3999343043415883e-17
aero_m_b,1.0330383900733486e-11
aero_n_b,-1.3416321055839152e-18
aero_CL,0.8961678480821659
aero_CY,-6.32808649923477e-18
aero_CD,0.11714435376357407
aero_Cl,-1.732471439206253e-17
aero_Cm,5.799488968950238e-11
aero_Cn,-1.6603202719140851e-18
aero_D_profile,0.05577956646567972
aero_D_induced,0.0838852003280552
aero_CLa,4.25644495759293
aero_CDa,0.7062590494962543
aero_CYa,-4.1682848788249004e-13
aero_Cla,-1.475180482024528e-12
aero_Cma,-0.17025775760456913
aero_Cna,-6.457742368182611e-13
aero_x_np,0.027385467512859446
aero_CLb,-5.258652777019424e-06
aero_CDb,-4.356612483254874e-07
aero_CYb,0.08434877355756823
aero_Clb,-0.07999999001940634
aero_Cmb,-7.199049415784339e-07
aero_Cnb,0.029999990016749967
aero_x_np_lateral,-0.21964693525988724
aero_CLp,-0.002882687352045998
aero_CDp,-0.001802319840968347
aero_CYp,-0.20708445298980757
aero_Clp,-0.7037468152702296
aero_Cmp,1.4928307510618798e-05
aero_Cnp,-0.2708198869259493
aero_CLq,0.12103926334317004
aero_CDq,0.2761132733832827
aero_CYq,2.1743255467627937e-15
aero_Clq,5.796928197856064e-19
aero_Cmq,-17.566052559969894
aero_Cnq,3.234199630369877e-15
aero_CLr,-7.852797490048856e-05
aero_CDr,-0.0003026550516455062
aero_CYr,0.1544994545351264
aero_Clr,0.17016514445508213
aero_Cmr,0.0005237021813549922
aero_Cnr,-0.2320288208662004
