r_m,w_mps,n,alpha,sigma_mps
0.0,1.324,1,0.1889822365046136,0.19938221940859657
0.3,1.90925,4,0.3779644730092272,0.20641911298573906
0.6,1.88825,4,0.3779644730092272,0.20355391870358416
0.8999999999999999,0.7986666666666667,12,0.6546536707079771,0.21154587704144498
1.2,0.1956875,16,0.7559289460184544,0.19996833797323615
1.5,0.04385,20,0.8451542547285166,0.19927636920621752
1.7999999999999998,0.009083333333333334,12,0.6546536707079771,0.196798986466768
2.1,0.00275,28,1.0,0.1967574875626787
2.4,0.01390909090909091,22,0.8864052604279183,0.20007630514154962
2.6999999999999997,0.0169375,16,0.7559289460184544,0.19211501533552713
3.0,0.0,18,0.8017837257372732,0.19032149792213257
3.3,0.0,8,0.5345224838248488,0.19650849413814295
3.5999999999999996,0.0,4,0.3779644730092272,0.18728579803997378
3.9,0.0,4,0.3779644730092272,0.18728579803997378
4.2,0.0,10,0.5976143046671968,0.17296338111771487
4.5,0.0,8,0.5345224838248488,0.19650849413814295
4.8,0.0,8,0.5345224838248488,0.19650849413814295
