combo_idx,combo_names,fan_robust_loss,fan_robust_f_scale,overall_wrmse,overall_sae,overall_n,F01_wrmse,F01_sae,F01_n,F02_wrmse,F02_sae,F02_n,F03_wrmse,F03_sae,F03_n,F04_wrmse,F04_sae,F04_n
"0,0,0,0","baseline,baseline,baseline,baseline","soft_l1,soft_l1,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.5975416411963651,509.3792389411014,1365,0.3397452662940638,131.10867225690248,357,0.8219870843121163,114.64173921717011,315,0.571177622544997,138.75698744460968,371,0.4047110378067769,124.87184002241914,322
"1,0,0,0","huber,baseline,baseline,baseline","huber,soft_l1,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.5977578290120472,509.04789949134135,1365,0.34201069731472145,130.37811758343048,357,0.8217385668464305,114.90223295402069,315,0.5712279005816239,138.9377091446381,371,0.40487104758804254,124.8298398092521,322
"0,1,0,0","baseline,huber,baseline,baseline","soft_l1,huber,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.5977916524471741,509.314776951421,1365,0.34002308819826443,131.2635107817955,357,0.8222503583334405,113.91241101318933,315,0.5710397270996709,138.80201371245283,371,0.4056575377411179,125.33684144398333,322
"1,1,0,0","huber,huber,baseline,baseline","huber,huber,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.598016458950492,508.95311394118505,1365,0.34229093435918917,130.58136292385626,357,0.8220207904018395,114.12333240529273,315,0.5710998979763368,138.96425836455305,371,0.4057993178915452,125.28416024748302,322
"0,0,0,1","baseline,baseline,baseline,huber","soft_l1,soft_l1,soft_l1,huber","1.000,1.000,1.000,1.000",0.5980326430736186,509.0508229177194,1365,0.33969976943573227,131.06448024486144,357,0.822415881972498,115.00971045019378,315,0.5713543619215663,138.8808882887985,371,0.40662274635304224,124.0957439338657,322
"1,0,0,1","huber,baseline,baseline,huber","huber,soft_l1,soft_l1,huber","1.000,1.000,1.000,1.000",0.5982494090455373,508.734153204746,1365,0.3419767132690442,130.31043111450228,357,0.8221998375571157,115.27191734371837,315,0.57138177646473,139.04680640588202,371,0.406714369046164,124.10499834064332,322
"0,1,0,1","baseline,huber,baseline,huber","soft_l1,huber,soft_l1,huber","1.000,1.000,1.000,1.000",0.5982499049277004,508.9336865133324,1365,0.33995099254729094,131.21968020284265,357,0.8226298687337478,114.25653002262204,315,0.5712530005371376,138.91846960227122,371,0.4074485155837186,124.53900668559652,322
"1,1,0,1","huber,huber,baseline,huber","huber,huber,soft_l1,huber","1.000,1.000,1.000,1.000",0.5984687734781291,508.5597925722789,1365,0.3422328067325805,130.53049243990392,357,0.8224176208402793,114.46072481015902,315,0.571282205996825,139.07745514967388,371,0.4075347268799148,124.49112017254207,322
"0,0,1,0","baseline,baseline,huber,baseline","soft_l1,soft_l1,huber,soft_l1","1.000,1.000,1.000,1.000",0.5990389151211827,509.5008985250774,1365,0.33983640818537936,131.20919485449363,357,0.8221272895292079,114.71154755951306,315,0.5774239655316903,138.54333798959192,371,0.4041702363416622,125.0368181214788,322
"1,0,1,0","huber,baseline,huber,baseline","huber,soft_l1,huber,soft_l1","1.000,1.000,1.000,1.000",0.5992642089923181,509.1294204156335,1365,0.3420261706064368,130.46563608290208,357,0.8218780123162193,114.95328471097861,315,0.5775682738858775,138.72456921102415,371,0.40430780955870965,124.98593041072863,322
