run_index,objective_weight_w_sink,objective_weight_w_mass,objective_weight_w_trim_effort,objective_weight_w_wing_deflection,objective_weight_w_htail_deflection,objective_weight_w_roll_tau,objective_scale_sink_mps,objective_scale_mass_kg,objective_scale_trim_deg,objective_scale_roll_tau_s,success,candidate_id,feasible_rate,sink_mean,sink_cvar_20,objective,wing_span_m,wing_chord_m,tail_arm_m,htail_span_m,vtail_height_m,sink_rate_mps,mass_total_kg,objective_term_spread_ratio,rank_feasible_rate,rank_sink_cvar_20,rank_wing_span_m,trade_label,is_best,J_sink,J_mass,J_trim,J_wing_deflection,J_htail_deflection,J_roll_tau,J_total,log10_objective_weight_w_sink,log10_objective_weight_w_mass,log10_objective_weight_w_trim_effort,log10_objective_weight_w_wing_deflection,log10_objective_weight_w_htail_deflection,log10_objective_weight_w_roll_tau
1,1.0,0.13669745161300442,0.5891238804208955,0.14639000899133164,0.038396370108546886,4.454483528366944,1.0,0.1,10.0,0.45,True,1,0.8333333333333334,0.8703825752334764,0.8869603238276603,1.2383175302936182,0.7615699665199636,0.20486756936717496,0.39999999452961726,0.4249773484283156,0.13248530379428194,0.6929389247002888,0.13531850541534834,999.2878401066645,-0.8333333333333334,0.8869603238276603,0.7615699665199636,fragile,False,0.6929389247002888,0.18497694846358656,0.0006934327597004725,0.09135994048736432,0.04884642195864284,0.21950186192403526,1.2383175302936182,0.0,-0.8642395817066926,-0.22979337257071505,-0.8344885625399088,-1.4157098307455414,0.6487973573553889
2,1.0,9.061919909869614,0.018166591034391104,0.09442424840067437,0.19541705100665985,1.931138366967942,1.0,0.1,10.0,0.45,True,1,1.0,0.9346256317158584,0.9987756533635318,12.038406695021916,0.7615699657271396,0.13086176169474512,0.39999999488464755,0.27633495166880734,0.1058857414574206,0.7129934982092714,0.11844485787101379,111242.578717709,-1.0,0.9987756533635318,0.7615699657271396,robust,False,0.7129934982092714,10.733378157630163,9.648624008319117e-05,0.05761834179497504,0.4060359009656871,0.12828431018173586,12.038406695021916,0.0,0.9572202195232169,-1.7407265605209084,-1.0249164633893844,-0.7090375448392141,0.28581339229715397
3,1.0,0.04193340287957067,0.019168972798023442,67.10977843732265,1.643525161100753,0.9743393025583934,1.0,0.1,10.0,0.45,True,1,1.0,0.8636297596564134,0.8819016817567418,44.72181003881081,0.7615699665298368,0.17816772237765346,0.39999999447143264,0.37768451683436277,0.12355081445373944,0.6849493851087163,0.12926170502040926,6563285.576898825,-1.0,0.8819016817567418,0.7615699665298368,robust,False,0.6849493851087163,0.05420383153521044,6.330250232090065e-06,41.54724004643717,2.383437074252633,0.05197337122684741,44.72181003881081,0.0,-1.3774398933356413,-1.7174011589061178,1.8267858049970847,0.2157763571816047,-0.011289778677761021
4,1.0,0.24740211400016884,29.590514627655317,0.07579834580915878,9.156619574847772,76.28118375658613,1.0,0.1,10.0,0.45,True,1,1.0,0.9075746508800256,0.9179679734126096,16.28993082703758,0.7615699664334133,0.22688157904854314,0.3999999947300402,0.5000000049777532,0.2276749141082515,1.2065282976034672,0.14420401667997235,199.7629377411427,-1.0,0.9179679734126096,0.7615699664334133,robust,False,1.2065282976034672,0.35676378573940765,0.32885725520223935,0.051766481688857516,10.341024458689247,4.00499054811436,16.28993082703758,0.0,-0.6065965937340381,1.4711525183207348,-1.1203402721224767,0.9617351711621649,1.8824174239513707
5,1.0,0.2638306073747891,18.678562035786637,0.023970983874114164,0.03383814025109462,0.021657099557682104,1.0,0.1,10.0,0.45,True,1,1.0,0.8725356531505096,0.9037689177686301,1.0843071324465672,0.7615699665114352,0.15504147576081584,0.3999999945799731,0.3373032313858066,0.11525374479070315,0.6849233647320363,0.1241469434333976,152672.64347286016,-1.0,0.9037689177686301,0.7615699665114352,robust,False,0.6849233647320363,0.3275376348975687,4.4862219527481464e-06,0.01473957101382178,0.05583255949633278,0.0012695160848548573,1.0843071324465672,0.0,-0.5786748227286269,1.271343439133855,-1.6203141402538055,-1.4705935138623873,-1.6643997070107663
6,1.0,16.02742566269002,0.02815746213619474,0.6891588068984531,0.10137130925710466,0.01768046325080327,1.0,0.1,10.0,0.45,True,1,0.5,1.48559291248302,1.6168262957195627,19.015757696571626,0.5993006365573073,0.09999999770519194,0.39999999450366414,0.21666363333058458,0.09999999850315902,1.0833333336308384,0.10667931920425462,900263.5861725844,-0.5,1.6168262957195627,0.5993006365573073,fragile,False,1.0833333336308384,17.09794858292571,1.899215834733091e-05,0.5537344231601509,0.27838535204010156,0.002337012656475307,19.015757696571626,0.0,1.2048637712454657,-1.5504064912172595,-0.16168068953995718,-0.9940849443561461,-1.7525063601016848
7,1.0,0.02104215125818708,3.3254124478103106,8.97617445242751,29.30732305942135,2.2830705056973053,1.0,0.1,10.0,0.45,True,1,1.0,0.8915449244704963,0.9018528629802244,38.06828942563543,0.7615699665288352,0.24610175729977235,0.39999999450319285,0.5000000049998305,0.14520730192687756,0.7122591660761444,0.14502972860858768,3399.1329510386213,-1.0,0.9018528629802244,0.7615699665288352,robust,False,0.7122591660761444,0.03051737486315724,0.009277989590750496,5.674112412142302,31.537120137313345,0.10500234564973032,38.06828942563543,0.0,-1.6769098618662155,0.5218455181201316,0.9530912845304442,1.4669761516484212,0.35851932356315297
8,1.0,5.830558109679524,35.37274159751259,57.462434335820596,38.44122193197017,0.16435759376841616,1.0,0.1,10.0,0.45,True,1,1.0,0.8915449241321864,0.9018528620655649,86.96425714540541,0.7615699665298081,0.24610175727568906,0.3999999944689985,0.5000000049998442,0.1452073019234575,0.7122591660667701,0.14502972860416383,5472.346812695306,-1.0,0.9018528620655649,0.7615699665298081,robust,False,0.7122591660667701,8.456042602576277,0.09869089427699108,36.32374945723914,41.365955936366774,0.007559088879455123,86.96425714540541,0.0,0.7657101280614271,1.5486687215203916,1.75938402047632,1.5847971841442048,-0.784210225531051
9,1.0,3.499062104387824,1.4365768321281736,0.44426443346175953,0.043954539419128934,0.3440248902331074,1.0,0.1,10.0,0.45,True,1,1.0,1.031198197096493,1.240398805741516,5.2494928401881245,0.7615699664861214,0.130931168998481,0.3999999945149192,0.2798799123140945,0.10591381738097368,0.7118958101457334,0.11854277799763221,720.5782525746242,-1.0,1.240398805741516,0.7615699664861214,robust,False,0.7118958101457334,4.147885422403736,0.0057563289033263935,0.2711300956685322,0.08998938636934965,0.022835796697446245,5.2494928401881245,0.0,0.5439516507863003,0.15732885822701406,-0.35235845373994623,-1.3569962663723607,-0.4634101350452102
10,1.0,0.16146600781585346,64.03576583533444,16.011149993477705,0.08411192924442622,1.4412529616002,1.0,0.1,10.0,0.45,True,1,1.0,1.0432531751837746,1.3025874304438982,11.291437928776107,0.7615699665294715,0.13111004123208098,0.39999999446991646,0.312764989218427,0.17307468148140076,0.893439650074575,0.12087770426912325,10657.916678165633,-1.0,1.3025874304438982,0.7615699665294715,robust,False,0.893439650074575,0.1951764034228068,0.0009345674283043801,9.960541780995618,0.1517683772541994,0.08957714960060316,11.291437928776107,0.0,-0.7919188923534559,1.8064226078327823,1.2044225260408044,-1.07514240565721,0.1587402127262094
