Metric,Value,Unit
code_version,3f20d9c-dirty,-
airfoil_model,naca0002,-
objective,126.73170136726114,-
v_nom_mps,4.7,m/s
v_turn_mps,4.2,m/s
turn_bank_deg,50.0,deg
bank_entry_time_s,1.5,s
arena_width_m,4.8,m
wall_clearance_m,0.5,m
boom_length_m,0.6399411649061671,m
fuselage_tail_x_m,0.5299411649061672,m
fuselage_length_m,0.6399411649061671,m
alpha_trim_deg,5.121658855088541,deg
delta_a_trim_deg,-1.0030394193880206e-16,deg
delta_e_trim_deg,1.0708483104465096,deg
delta_r_trim_deg,7.417831106112554e-15,deg
alpha_turn_deg,7.608325391688213,deg
delta_a_turn_deg,5.377062767205443e-18,deg
delta_e_turn_deg,8.219893660890538,deg
delta_r_turn_deg,1.4541243609238126e-15,deg
mass_total_kg,0.08976216479594404,kg
mass_total_g,89.76216479594405,g
mass_total_lbm,0.19789169909525603,lbm
ballast_mass_kg,0.0,kg
battery_slider_eta,0.739374410448861,-
battery_x_m,0.05287817641095208,m
sink_rate_mps,0.5874999992029738,m/s
L_over_D,7.999999920010524,-
turn_radius_m,1.50883970376832,m
turn_footprint_lhs_m,2.400000023994921,m
turn_CL,0.6677777267646771,-
wing_loading_n_m2,6.333919194811074,N/m^2
reynolds_wing,56310.252927662994,-
static_margin,0.04999999007341833,MAC fraction
tail_volume_horizontal,0.4999999900054579,-
tail_volume_vertical,0.029999990001247114,-
roll_rate_ss_radps,4.778401783804584,rad/s
roll_rate_ss_turn_radps,4.270061168506224,rad/s
min_roll_rate_turn_radps,0.5817764173314431,rad/s
roll_accel0_rad_s2,206.93828379413387,rad/s^2
roll_tau_s,0.02309095106132333,s
wing_tip_deflection_proxy_m,1.0844735986718714,m
wing_tip_deflection_proxy_allow_m,0.031292825618128066,m
wing_tip_deflection_proxy_semispan_fraction,2.772452988185589,-
wing_tip_deflection_proxy_over_allow,34.655662352319865,-
wing_struct_semispan_m,0.39719459867184037,m
wing_struct_half_load_n,0.6849594044583612,N
wing_struct_line_load_n_m,1.724493250282767,N/m
wing_struct_E_pa,1500000.0,Pa
wing_struct_thickness_m,0.006,m
htail_tip_deflection_proxy_m,0.4929079927997522,m
htail_tip_deflection_proxy_allow_m,0.012876319705080519,m
htail_tip_deflection_proxy_semispan_fraction,3.0624153738914637,-
htail_tip_deflection_proxy_over_allow,38.28019217364329,-
htail_struct_semispan_m,0.1609539963135065,m
htail_struct_half_load_n,0.1712398511145903,N
htail_struct_line_load_n_m,1.0639055570950162,N/m
htail_struct_E_pa,1000000.0,Pa
htail_struct_thickness_m,0.003,m
objective_struct_deflection_proxy_penalty,56.635180418683866,-
objective_htail_deflection_proxy_penalty,69.49070752484344,-
objective_roll_tau_penalty,0.00013165235084356273,-
max_servo_utilization,0.002154550749008229,fraction
design_var_bound_hits_count,1,-
design_var_bound_hits,ballast_mass_kg:lower,-
