Metric,Value,Unit
code_version,47b9d01,-
airfoil_model,naca0002,-
objective,1.2376510725215293,-
v_nom_mps,6.5,m/s
v_turn_mps,4.0,m/s
turn_bank_deg,50.0,deg
bank_entry_time_s,0.2,s
arena_width_m,4.8,m
wall_clearance_m,0.2,m
boom_length_m,0.5637003485073636,m
fuselage_tail_x_m,0.46370034850736364,m
fuselage_length_m,0.5637003485073636,m
alpha_trim_deg,3.729192919197296,deg
delta_a_trim_deg,-1.0232462757611205e-16,deg
delta_e_trim_deg,-0.0930778340434487,deg
delta_r_trim_deg,-3.728309715898777e-15,deg
alpha_turn_deg,3.729192919197296,deg
delta_a_turn_deg,-1.0232462757611205e-16,deg
delta_e_turn_deg,-0.0930778340434487,deg
delta_r_turn_deg,-3.728309715898777e-15,deg
mass_total_kg,0.11338737739257201,kg
mass_penalty_mode,all_mass,-
mass_penalty_reference_kg,0.11338737739257201,kg
mass_total_g,113.38737739257202,g
mass_total_lbm,0.24997637723176871,lbm
total_cg_x_m,0.11353197141226133,m
total_cg_y_m,0.0,m
total_cg_z_m,0.015989205650843795,m
total_cg_x_weighted_m,0.11353197141226133,m
total_cg_y_weighted_m,0.0,m
total_cg_z_weighted_m,0.0159892056508438,m
total_cg_x_error_m,0.0,m
total_cg_y_error_m,0.0,m
total_cg_z_error_m,-3.469446951953614e-18,m
mass_component_sum_kg,0.11338737739257201,kg
battery_x_m,0.014906232101251325,m
sink_rate_mps,0.665979504952704,m/s
L_over_D,9.760060021817218,-
turn_radius_allow_raw_m,1.82499999625768,m
turn_radius_allow_m,1.82499999625768,m
a_lat_req_mps2,8.767123305648976,m/s^2
a_lat_ach_mps2,7.514895919523244,m/s^2
turn_radius_ach_m,2.129104670423042,m
turn_footprint_lhs_m,2.704104674165362,m
agility_lateral_margin_mps2,-1.2522273861257318,m/s^2
turn_CL,0.3535824351615947,-
wing_loading_n_m2,9.150044232034851,N/m^2
reynolds_wing,71030.88327158305,-
static_margin,0.10000000989778979,MAC fraction
tail_volume_horizontal,0.682804457648027,-
tail_volume_vertical,0.02999999002314362,-
roll_rate_ss_radps,5.069575101184243,rad/s
roll_rate_ss_turn_radps,2.6517777452348343,rad/s
roll_tau_turn_s,0.036433802927957976,s
delta_a_turn_eff_deg,25.5,deg
bank_entry_phi_capture_proxy_deg,24.852372162612323,deg
bank_entry_margin_deg,-25.12561645037496,deg
bank_entry_phi_raw_deg,24.87438354962504,deg
bank_entry_phi_achieved_deg,24.87438354962504,deg
nominal_Cl_delta_a_fd,-0.8341662774210917,1/rad
turn_Cl_delta_a_fd,-0.8341662774210917,1/rad
roll_accel0_rad_s2,226.11033922848623,rad/s^2
roll_tau_s,0.022420801801820295,s
wing_tip_deflection_proxy_m,0.007868158818359438,m
wing_tip_deflection_proxy_allow_m,0.03000000029938559,m
wing_tip_deflection_proxy_semispan_fraction,0.020981756639570647,-
wing_tip_deflection_proxy_over_allow,0.2622719579946331,-
wing_struct_semispan_m,0.38078498325720556,m
wing_struct_half_load_n,0.5561650811169312,N
wing_struct_line_load_n_m,1.4605751423271416,N/m
wing_struct_E_pa,1500000.0,Pa
wing_struct_EI_Nm2,0.4659447576089586,N*m^2
wing_struct_thickness_m,0.006,m
htail_tip_deflection_proxy_m,0.0019482492189854073,m
htail_tip_deflection_proxy_allow_m,0.01456008089800727,m
htail_tip_deflection_proxy_semispan_fraction,0.010704606561641012,-
htail_tip_deflection_proxy_over_allow,0.13380758202051266,-
htail_struct_semispan_m,0.18200101122509088,m
htail_struct_half_load_n,0.1390412702792328,N
htail_struct_line_load_n_m,0.7639587788183916,N/m
htail_struct_E_pa,1000000.0,Pa
htail_struct_EI_Nm2,0.05378121780429489,N*m^2
htail_struct_thickness_m,0.003,m
objective_struct_deflection_proxy_penalty,0.11746180037307566,-
objective_htail_deflection_proxy_penalty,0.12672133209805664,-
objective_roll_tau_penalty,0.0306050274461482,-
max_servo_utilization,0.004519135669437688,fraction
J_sink,0.665979504952704,-
J_mass,0.2968395408451828,-
J_trim,4.386680636179892e-05,-
J_wing_deflection,0.11746180037307566,-
J_htail_deflection,0.12672133209805664,-
J_roll_tau,0.0306050274461482,-
J_total,1.2376510725215293,-
objective_term_J_sink_value,0.665979504952704,-
objective_term_J_sink_weight,1.0,-
objective_term_J_sink_pct_total,53.809956597530366,%
objective_term_J_mass_value,0.2968395408451828,-
objective_term_J_mass_weight,0.2617924037677132,-
objective_term_J_mass_pct_total,23.98410565268744,%
objective_term_J_trim_value,4.386680636179892e-05,-
objective_term_J_trim_weight,0.5063414494913574,-
objective_term_J_trim_pct_total,0.0035443597420738984,%
objective_term_J_wing_deflection_value,0.11746180037307566,-
objective_term_J_wing_deflection_weight,0.19392187871595434,-
objective_term_J_wing_deflection_pct_total,9.490704042599404,%
objective_term_J_htail_deflection_value,0.12672133209805664,-
objective_term_J_htail_deflection_weight,0.08419230020946894,-
objective_term_J_htail_deflection_pct_total,10.23885769677239,%
objective_term_J_roll_tau_value,0.0306050274461482,-
objective_term_J_roll_tau_weight,0.6142627044519234,-
objective_term_J_roll_tau_pct_total,2.472831650668312,%
objective_term_J_total_value,1.2376510725215293,-
objective_term_J_total_weight,,-
objective_term_J_total_pct_total,100.0,%
objective_weight_w_sink,1.0,-
objective_weight_w_mass,0.2617924037677132,-
objective_weight_w_trim_effort,0.5063414494913574,-
objective_weight_w_wing_deflection,0.19392187871595434,-
objective_weight_w_htail_deflection,0.08419230020946894,-
objective_weight_w_roll_tau,0.6142627044519234,-
objective_scale_sink_mps,1.0,-
objective_scale_mass_kg,0.1,-
objective_scale_trim_deg,10.0,-
objective_scale_roll_tau_s,0.45,-
design_var_bound_hits_count,2,-
design_var_bound_hits,wing_span_m:upper; tail_arm_m:lower,-
