Variable,Value
V_operate (m/s),4.208870099667392
alpha (deg),2.2988604231729357
phi (deg),61.023154050799256
r_target (m),1.0
n_load,2.0641703744448474
TOGW (kg),0.1796429520898639
L/D_turn,11.496670649966163
sink_rate (m/s),0.7556818172960127
static_margin,0.08851138864741209
V_ht,0.39999999033178724
V_vt,0.0199999900331368
Re_w,51.5k
x_nose (m),-0.25022317134703553
x_tail (m),1.0818244967650963
b_w (m),1.690543818325852
dihedral_w (deg),2.6179692469364486
c_root_w (m),0.17882426883832162
taper_w,1.0
S_w (m^2),0.3023102622512649
l_ht (m),1.0818244967650963
b_ht (m),0.2827621364803707
c_root_ht (m),0.07069053412009267
taper_ht,1.0
S_ht (m^2),0.019988606456735947
l_vt (m),1.0818244967650963
b_vt (m),0.13746468549685043
c_root_vt (m),0.06873234274842521
taper_vt,1.0
S_vt (m^2),0.009448269879374
objective_total,1.5371218495363552
penalty,1.4224336788851536e-10
x_cg (m),0.04239845686454741
y_cg (m),-1.1755099191755135e-17
z_cg (m),0.013926744971302184
I_xx (kg m^2),0.029659093251784438
I_yy (kg m^2),0.008767228403307039
I_zz (kg m^2),0.03835641487586257
I_xy (kg m^2),6.705863909913452e-21
I_xz (kg m^2),-9.319543983342723e-05
I_yz (kg m^2),7.908647247402478e-20
mass_wing_kg,0.11581768976134978
mass_htail_surfaces_kg,0.002555485060780545
mass_vtail_surfaces_kg,0.00117447290713872
mass_linkages_kg,0.001
mass_Receiver_kg,0.005
mass_battery_kg,0.013
mass_servo_kg,0.0088
mass_boom_kg,0.011988429013009186
mass_pod_kg,0.007
mass_ballast_kg,-9.992404257126939e-09
mass_glue_weight_kg,0.013306885339989917
wing root LE x (m),-0.0447060672095804
wing root LE y (m),0.0
wing root LE z (m),0.0
wing tip LE x (m),-0.0447060672095804
wing tip LE y (m),0.8443896936367643
wing tip LE z (m),0.03860888110201133
htail root LE x (m),1.0111339626450035
htail root LE y (m),0.0
htail root LE z (m),0.0
htail tip LE x (m),1.0111339626450035
htail tip LE y (m),0.14138106824018534
htail tip LE z (m),0.0
vtail root LE x (m),1.013092154016671
vtail root LE y (m),0.0
vtail root LE z (m),0.0
vtail tip LE x (m),1.013092154016671
vtail tip LE y (m),0.0
vtail tip LE z (m),0.13746468549685043
aero_F_g[0],0.170242721180083
aero_F_g[1],9.50022154849495e-18
aero_F_g[2],3.6474462536161663
aero_M_g[0],1.3577390722600423e-17
aero_M_g[1],1.1071243002772936e-11
aero_M_g[2],9.364233890008328e-18
aero_F_b,-0.170242721180083
aero_F_w,-0.3164117780035999
aero_M_b,-1.3577390722600423e-17
aero_M_w,-1.3942080938014075e-17
aero_L,3.63768200147759
aero_Y,9.50022154849495e-18
aero_D,0.3164117780035999
aero_l_b,-1.3577390722600423e-17
aero_m_b,1.1071243002772936e-11
aero_n_b,-9.364233890008328e-18
aero_CL,1.109008827922167
aero_CY,2.896303074380265e-18
aero_CD,0.09646347726986794
aero_Cl,-2.4485002686639436e-18
aero_Cm,1.887470606679585e-11
aero_Cn,-1.6887139557199122e-18
wing_components_comp1_L (N),3.6188360174893437
wing_components_comp1_D (N),0.13278677082410667
wing_components_comp1_Y (N),0.0
wing_components_comp1_l_b,-1.3877787807814457e-17
wing_components_comp1_m_b,0.01855233887238695
wing_components_comp1_n_b,-1.0842021724855044e-19
wing_components_comp1_span_eff (m),1.6887803080473365
wing_components_comp1_oswald,0.7783040560987886
wing_components_comp2_L (N),0.01869325392997354
wing_components_comp2_D (N),0.005268935049539198
wing_components_comp2_Y (N),0.0
wing_components_comp2_l_b,-2.168404344971009e-19
wing_components_comp2_m_b,-0.01850781711046569
wing_components_comp2_n_b,4.743384504624082e-20
wing_components_comp2_span_eff (m),0.2827621364803707
wing_components_comp2_oswald,0.8106853777008906
wing_components_comp3_L (N),2.710505431213761e-20
wing_components_comp3_D (N),0.002380350649007382
wing_components_comp3_Y (N),9.50022154849495e-18
wing_components_comp3_l_b,5.195429591000001e-19
wing_components_comp3_m_b,3.644244079896279e-05
wing_components_comp3_n_b,-9.315917741051305e-18
wing_components_comp3_span_eff (m),0.13746468549685043
wing_components_comp3_oswald,0.8232692748986458
fuselage_components_comp1_L (N),0.00015273005827287243
fuselage_components_comp1_D (N),0.0010848485030003868
fuselage_components_comp1_Y (N),0.0
fuselage_components_comp1_l_b,-2.3054393888643776e-21
fuselage_components_comp1_m_b,-8.096419164897727e-05
fuselage_components_comp1_n_b,1.2670223245286657e-20
fuselage_components_comp1_span_eff (m),0.004055451774444796
fuselage_components_comp1_oswald,0.95
aero_D_profile,0.14152090502565365
aero_D_induced,0.17489087297794625
aero_CLa,4.444194097893475
aero_CDa,0.8417255300708172
aero_CYa,-1.6970785560526662e-23
aero_Cla,-2.0579695986876068e-20
aero_Cma,-0.3933617910231843
aero_Cna,1.120254294125709e-15
aero_x_np,0.058226441223285394
aero_CLb,-6.655514226462022e-06
aero_CDb,-2.0042185811375314e-07
aero_CYb,-0.00954052710285203
aero_Clb,-0.024999990766962955
aero_Cmb,1.2885163153585063e-06
aero_Cnb,0.016868119326810906
aero_x_np_lateral,3.0313627506925465
aero_CLp,-0.050098122287289826
aero_CDp,-0.003243148172543675
aero_CYp,-0.10387411558197635
aero_Clp,-0.7286906884319593
aero_Cmp,-0.005163395533289031
aero_Cnp,-0.14333098555504617
aero_CLq,-0.4751562575602275
aero_CDq,0.27362007296806434
aero_CYq,-6.399657904274102e-19
aero_Clq,2.4878749993818887e-15
aero_Cmq,-10.489040503140236
aero_Cnq,1.9920808918461842e-17
aero_CLr,0.00021232280600358422
aero_CDr,7.605664764653852e-06
aero_CYr,0.09958987957371236
aero_Clr,0.33769961691069794
aero_Cmr,-2.8192333437275383e-05
aero_Cnr,-0.03576415319014052
