column,required,agile_only
run_id,True,False
seed,True,False
primitive_name,True,False
primitive_family,True,False
scenario_name,True,False
wind_mode,True,False
latency_case,True,False
success,True,False
failure_label,True,False
duration_s,True,False
initial_speed_m_s,True,False
terminal_speed_m_s,True,False
height_change_m,True,False
min_true_wall_margin_m,True,False
min_floor_margin_m,True,False
min_ceiling_margin_m,True,False
max_alpha_deg,True,False
max_beta_deg,True,False
max_bank_deg,True,False
max_pitch_deg,True,False
max_rate_rad_s,True,False
saturation_fraction,True,False
notes,True,False
target_heading_deg,False,True
actual_heading_change_deg,False,True
forward_travel_m,False,True
turn_volume_proxy_m2,False,True
exit_recoverable,False,True
