case_id,case_type,alpha_deg,beta_deg,speed_m_s,delta_a_deg,delta_e_deg,delta_r_deg,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status,cl_lift_asb,cd_drag_asb,cm_pitch_asb,cy_asb,cl_roll_asb,cn_yaw_asb,valid_aerosandbox,aerosandbox_status,comparison_status,cl_lift_minus_aerosandbox,cd_drag_minus_aerosandbox,cm_pitch_minus_aerosandbox,cy_body_minus_aerosandbox,cl_roll_minus_aerosandbox,cn_yaw_minus_aerosandbox
case_000000,clean,-8.0,-6.0,4.5,0.0,0.0,0.0,0.038566037502490186,0.02657485459740219,0.7314974602522937,0.009204736401104875,-0.03519718491618286,-0.010704350290485035,-0.7293766572363072,0.06604339867763333,True,ok,-0.715408893589804,0.13600334862849003,-0.027204776493976592,0.0071354543183447,0.006049474684103146,-0.0062883060847279985,True,ok: AeroSandbox AeroBuildup.run,matched,-0.013967763646503206,-0.0699599499508567,-0.007992408422206266,0.019439400279057488,0.003155261717001729,-0.0044160442057570365
case_000001,clean,-6.0,-6.0,4.5,0.0,0.0,0.0,0.013428953530148967,0.027155440569058494,0.5655715115387154,0.010680017696695169,-0.027360635285821455,-0.010573103587515918,-0.563598795079788,0.04835075499020991,True,ok,-0.5725460310460772,0.08574922447968965,-0.012943306942261146,0.012375187993738023,0.008700023771648758,-0.005968157043434414,True,ok: AeroSandbox AeroBuildup.run,matched,0.008947235966289102,-0.03739846948947974,-0.014417328343560309,0.01478025257532047,0.0019799939250464103,-0.004604946544081504
case_000002,clean,-4.0,-6.0,4.5,0.0,0.0,0.0,-0.006504478323490764,0.027332314073542814,0.3816786290301405,0.010997823092288476,-0.018304971316343413,-0.01023878559576282,-0.3801116085223221,0.035788796279435556,True,ok,-0.3865210854945056,0.0429965303895926,-0.03138921926040021,0.016651548255514275,0.011070659795298317,-0.00681457718662825,True,ok: AeroSandbox AeroBuildup.run,matched,0.00640947697218347,-0.007207734110157044,0.013084247944056798,0.010680765818028539,-7.283670300984105e-05,-0.0034242084091345697
case_000003,clean,-2.0,-6.0,4.5,0.0,0.0,0.0,-0.018759026716298765,0.027390874177427787,0.19348019304408437,0.011041284764436094,-0.009354146712828469,-0.009858765355450457,-0.19261666102839686,0.02822339511636082,True,ok,-0.1710949592529783,0.022017816403342046,-0.02082173952060254,0.018720685249394735,0.010663846303305075,-0.006452344302809636,True,ok: AeroSandbox AeroBuildup.run,matched,-0.021521701775418567,0.006205578713018772,0.01146759280777407,0.008670188928033052,0.00037743846113101956,-0.003406421052640821
case_000004,clean,0.0,-6.0,4.5,0.0,0.0,0.0,-0.022889718366657465,0.02740628813471232,0.004324663839143485,0.011043057117388032,-0.0008716388078522175,-0.00946229477733011,-0.004324663839143485,0.02562906327704616,True,ok,-2.1814521698854262e-15,0.016696024016279603,0.000766965519053336,0.018807521602952917,0.009103765024824382,-0.006201514983764441,True,ok: AeroSandbox AeroBuildup.run,matched,-0.004324663839141304,0.008933039260766558,-0.0016386043269055535,0.008598766531759401,0.00193929209256365,-0.003260779793565668
case_000005,clean,2.0,-6.0,4.5,0.0,0.0,0.0,-0.01883828216723215,0.0273908982454732,-0.1848408242963622,0.011041359225784267,0.007026647007724285,-0.009053584910833953,0.18397976180728987,0.028002312977771445,True,ok,0.17109494570335865,0.02201781600491704,0.02192952405877171,0.018720684998146317,0.010859043914957454,-0.0058694726032430655,True,ok: AeroSandbox AeroBuildup.run,matched,0.012884816103931218,0.0059844969728544035,-0.014902877051047423,0.008670213247326884,0.0001823153108268128,-0.003184112307590888
case_000006,clean,4.0,-6.0,4.5,0.0,0.0,0.0,-0.006657627758132183,0.02733408660725522,-0.3731053251204265,0.011003306929784342,0.014251959624522522,-0.008638919570628192,0.3715483812496224,0.03534615370054465,True,ok,0.38652102510287106,0.04299652638545132,0.031173214643034408,0.01665154807018552,0.01116832195558884,-0.005489754171396851,True,ok: AeroSandbox AeroBuildup.run,matched,-0.014972643853248646,-0.007650372684906669,-0.016921255018511886,0.0106825385370697,-0.00016501502580449842,-0.0031491653992313413
case_000007,clean,6.0,-6.0,4.5,0.0,0.0,0.0,0.01323932492052672,0.02716683240813444,-0.5573379143467642,0.010715261592951934,0.020617182874318005,-0.008260325039452914,0.5553900799400442,0.047683571894374194,True,ok,0.5725459006246707,0.08574921167383215,0.012658468374656352,0.012375188724978422,0.008631994443396952,-0.006443487456308125,True,ok: AeroSandbox AeroBuildup.run,matched,-0.01715582068462651,-0.038065639779457955,0.007958714499661653,0.01479164368315602,0.0020832671495549827,-0.0018168375831447885
case_000008,clean,8.0,-6.0,4.5,0.0,0.0,0.0,0.0385359558291466,0.026622634632939735,-0.7247002835472877,0.009352557539061748,0.025575591205848396,-0.008122996024374909,0.7226400655482599,0.06513721682546386,True,ok,0.7154086709637157,0.13600332131487577,0.025776170826358673,0.007135457052378458,0.0049085038350073626,-0.00664075033186469,True,ok: AeroSandbox AeroBuildup.run,matched,0.007231394584544137,-0.07086610448941191,-0.00020057962051027792,0.019487177580561277,0.004444053704054385,-0.0014822456925102185
case_000009,clean,10.0,-6.0,4.5,0.0,0.0,0.0,0.05971015186321487,0.025096094548599946,-0.8340116695216926,0.005041991271606842,0.028039614173411262,-0.00884182324410972,0.8312742445989453,0.08817360702503388,True,ok,0.7839992720084048,0.17574667041917155,0.036671865517410834,0.0030774558878133313,0.003962875274692104,-0.005700119516441153,True,ok: AeroSandbox AeroBuildup.run,matched,0.047274972590540476,-0.08757306339413767,-0.008632251343999572,0.022018638660786613,0.0010791159969147377,-0.003141703727668568
case_000010,clean,12.0,-6.0,4.5,0.0,0.0,0.0,0.05745212018622848,0.02304647338112769,-0.8273645298318326,-0.0007958666615692512,0.027532399834078087,-0.010485820838214829,0.820786775020323,0.11759663164023906,True,ok,0.8339687641892061,0.20727686049711286,0.031587161728019265,-0.0015878149402774753,0.0019056655335255258,-0.005938463747867038,True,ok: AeroSandbox AeroBuildup.run,matched,-0.013181989168883024,-0.0896802288568738,-0.0040547618939411785,0.024634288321405164,-0.002701532195094777,-0.004547357090347791
case_000011,clean,-8.0,0.0,4.5,0.0,0.0,0.0,0.037644496075299266,-1.1094860152549427e-18,0.7408488023904659,-3.630517065624813e-18,-0.03576867688164815,1.3614438996093048e-19,-0.7388780140255903,0.06582808274399565,True,ok,-0.7206622140593432,0.13686701759094289,-0.027562609566728253,1.5502719034535808e-17,1.1273940539467862e-18,-6.154414779188562e-18,True,ok: AeroSandbox AeroBuildup.run,matched,-0.018215799966247115,-0.07103893484694723,-0.008206067314919897,-1.661220504979075e-17,-4.7579111195715986e-18,6.290559169149492e-18
case_000012,clean,-6.0,0.0,4.5,0.0,0.0,0.0,0.012013130368730184,0.0,0.5721168298701845,7.987137544374588e-18,-0.027321997789270365,1.3614438996093048e-19,-0.5702384280710613,0.047855171852276224,True,ok,-0.5781666496658073,0.08718012369225332,-0.013882254240093468,1.5502729969425096e-17,1.1273948809155723e-18,-6.1544191241228455e-18,True,ok: AeroSandbox AeroBuildup.run,matched,0.007928221594746043,-0.0393249518399771,-0.013439743549176897,-1.5502729969425096e-17,6.859742663459016e-18,6.290563514083776e-18
case_000013,clean,-4.0,0.0,4.5,0.0,0.0,0.0,-0.00818585822623654,5.547430076274714e-19,0.38593549472921246,3.630517065624813e-19,-0.018029242827501697,9.076292664062033e-20,-0.38442435865667063,0.03508741709202154,True,ok,-0.39123835833620135,0.042820059383052174,-0.03170111259974378,1.550273781834964e-17,1.1273954835825446e-18,-6.154422242851199e-18,True,ok: AeroSandbox AeroBuildup.run,matched,0.0068139996795307245,-0.007732642291030635,0.013671869772242082,-1.4947994810722168e-17,-7.643437770200632e-19,6.245185169491819e-18
case_000014,clean,-2.0,0.0,4.5,0.0,0.0,0.0,-0.020582414199358245,0.0,0.19561411328291228,1.4522068262499252e-18,-0.008956175966650621,-2.269073166015508e-19,-0.19477663455393676,0.027396710050225866,True,ok,-0.17031313351886115,0.0212515169250457,-0.019835188043044856,1.5502742543057558e-17,1.127395859127082e-18,-6.154424120184624e-18,True,ok: AeroSandbox AeroBuildup.run,matched,-0.024463501035075608,0.006145193125180165,0.010879012076394235,-1.5502742543057558e-17,3.248109671228432e-19,5.927516803583073e-18
case_000015,clean,0.0,0.0,4.5,0.0,0.0,0.0,-0.024759311598239905,8.66785949417924e-21,0.004372681854160752,4.5381463320310163e-20,-0.00038174057216301357,-3.630517065624813e-19,-0.004372681854160752,0.024759311598239905,True,ok,-4.2954896280596437e-16,0.016067133782004233,0.0011988084633971243,1.550274412052281e-17,1.1273960058357292e-18,-6.154424746979991e-18,True,ok: AeroSandbox AeroBuildup.run,matched,-0.004372681854160323,0.008692177816235672,-0.0015805490355601378,-1.549407626102863e-17,-1.082014542515419e-18,5.7913730404175095e-18
case_000016,clean,2.0,0.0,4.5,0.0,0.0,0.0,-0.020662636049395788,2.773715038137357e-19,-0.18687869877259491,3.630517065624813e-18,0.007601819475278661,4.5381463320310163e-20,0.18604374171992524,0.027172021461382086,True,ok,0.17031313351885868,0.021251516925045535,0.0217929079247532,1.5502742543057558e-17,1.1273959231104114e-18,-6.154424120184624e-18,True,ok: AeroSandbox AeroBuildup.run,matched,0.01573060820106656,0.005920504536336552,-0.01419108844947454,-1.5225371039243823e-17,2.5031211425144016e-18,6.199805583504934e-18
case_000017,clean,4.0,0.0,4.5,0.0,0.0,0.0,-0.008341483445655473,-5.547430076274714e-19,-0.37726157114408215,-1.8152585328124064e-18,0.014926148471269796,-6.807219498046524e-20,0.3757607084469115,0.034637600893402974,True,ok,0.39123835833619874,0.04282005938305178,0.03229134180453382,1.550273781834964e-17,1.1273956114712102e-18,-6.154422242851199e-18,True,ok: AeroSandbox AeroBuildup.run,matched,-0.015477649889287237,-0.008182458489648804,-0.01736519333326403,-1.6057480825977113e-17,-2.9426541442836166e-18,6.086350047870734e-18
case_000018,clean,6.0,0.0,4.5,0.0,0.0,0.0,0.011816746345433468,-1.1094860152549427e-18,-0.563764580957785,7.261034131249626e-19,0.021477959455199317,-1.8152585328124065e-19,0.5619114059319485,0.04717743231970327,True,ok,0.5781666496658071,0.08718012369225328,0.014577194604945495,1.5502729969425096e-17,1.1273950725536843e-18,-6.1544191241228455e-18,True,ok: AeroSandbox AeroBuildup.run,matched,-0.01625524373385856,-0.04000269137255001,0.006900764850253822,-1.6612215984680038e-17,-4.012916594287217e-19,5.972893270841605e-18
case_000019,clean,8.0,0.0,4.5,0.0,0.0,0.0,0.037594810181867874,3.3284580457648284e-18,-0.7338873918519261,-2.1783102393748877e-18,0.026937285317730052,-7.714848764452728e-19,0.7319774365160104,0.064908444006023,True,ok,0.7206622140593416,0.1368670175909425,0.026826986780012,1.5502719034535808e-17,1.127394309100748e-18,-6.154414779188562e-18,True,ok: AeroSandbox AeroBuildup.run,matched,0.011315222456668828,-0.0719585735849195,0.00011029853771805237,-1.217426098877098e-17,-3.3057045484756357e-18,5.382929902743289e-18
case_000020,clean,10.0,0.0,4.5,0.0,0.0,0.0,0.05954936973222753,-1.1094860152549427e-18,-0.8461976092929906,1.379596484937429e-17,0.03028887488716218,1.406825362929615e-18,0.8436826057473481,0.08829599180055275,True,ok,0.7872304239735913,0.17640849426360738,0.03749587771615308,1.5502705066972897e-17,1.1273933249491454e-18,-6.1544092292091054e-18,True,ok: AeroSandbox AeroBuildup.run,matched,0.05645218177375677,-0.08811250246305463,-0.007207002828990897,-1.661219108222784e-17,1.2668571524425144e-17,7.56123459213872e-18
