case_name,role,speed_m_s,surface_state,command_input,tau_s,a_diag,expected_a_diag,a_abs_error,b_cmd,expected_b_cmd,b_abs_error,actuator_jacobian_abs_tol,pass
natural_glide_6p5_none,required,6.5,delta_a,delta_a_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_6p5_none,required,6.5,delta_e,delta_e_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_6p5_none,required,6.5,delta_r,delta_r_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_5p5_none,optional,5.5,delta_a,delta_a_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_5p5_none,optional,5.5,delta_e,delta_e_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_5p5_none,optional,5.5,delta_r,delta_r_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_7p5_none,optional,7.5,delta_a,delta_a_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_7p5_none,optional,7.5,delta_e,delta_e_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_7p5_none,optional,7.5,delta_r,delta_r_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_4p5_none,diagnostic,4.5,delta_a,delta_a_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_4p5_none,diagnostic,4.5,delta_e,delta_e_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
natural_glide_4p5_none,diagnostic,4.5,delta_r,delta_r_cmd,0.06,-16.666666666666668,-16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,1e-09,True
