scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[0],0.0,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,0.0,0.0,0.0,-0.19214805292042555,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.5,0.053299466674997555,0.0,-0.10138226208841634,0.6578564029119558,none,panel,none,True,0.25,2.7,0.2999999999999998,True,1.45,2.7,0.7999999999999998,0.25,2.0000000000000004,1.45,2.4
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[1],0.02,1.5793324784471354,2.4,2.6868428719425554,-1.2528950374925971e-17,-0.048082795413525364,2.233101532564673e-18,6.490769477781156,-1.5020371985165164e-17,0.3462825238117898,-1.1724296781013818e-14,-3.6891972748460027e-11,1.986775788314596e-16,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,0.0,0.0,0.0,-0.19214805292042555,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.4999999999994555,0.05329946666355876,-2.3108264592563725e-18,-0.10138226207708413,0.6578564028386196,none,panel,none,True,0.37933247844713547,2.6868428719425554,0.31315712805744456,True,1.5793324784471354,2.6868428719425554,0.8131571280574446,0.37933247844713547,2.0000000000000004,1.5793324784471354,2.4
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[2],0.04,1.7086649568943773,2.4,2.6736857438862947,-3.8596663529523766e-16,-0.04808279541513411,2.0770164648538746e-17,6.490769477783447,-4.9886861011376805e-17,0.34628252375405005,-2.6496591672696567e-14,-1.3108949840229515e-10,1.769519094367043e-15,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,0.0,0.0,0.0,-0.19214805292042555,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998667,0.05329946665466956,-7.674901694059545e-18,-0.10138226206980366,0.6578564027914597,none,panel,none,True,0.5086649568943773,2.6736857438862947,0.32631425611370535,True,1.7086649568943773,2.6736857438862947,0.8263142561137053,0.5086649568943773,2.0000000000000004,1.7086649568943773,2.4
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[3],0.06,1.8379974353416788,2.4,2.660528615830764,-1.0059595684727714e-15,-0.048082795418807646,7.863139928956497e-17,6.4907694777855545,-3.4680446569555993e-16,0.3462825237035187,-3.4599901113360825e-14,-2.376034725063833e-10,4.069340899027613e-15,0.0,-0.10060848524273196,0.0,-4.2624313079822633e-33,-4.2624313079822633e-33,-0.10060848524273196,-0.10060848524273196,-4.5562076431175665e-35,-4.556207643117567e-35,-9.393050938915801e-33,-0.19214805292042555,-7.45861338673956e-35,-2.4421932441181083e-31,-5.764441587612767,-2.6105146853588458e-33,-2.4421932441181083e-31,-2.4421932441181083e-31,-5.764441587612767,-2.6105146853588458e-33,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.49999999999808,0.053299466646889275,-5.335453318394806e-17,-0.10138226206569692,0.6578564027648435,none,panel,none,True,0.6379974353416789,2.660528615830764,0.33947138416923606,True,1.8379974353416788,2.660528615830764,0.8394713841692361,0.6379974353416789,2.0000000000000004,1.8379974353416788,2.4
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[4],0.08,1.96732991378901,2.4,2.647371487775582,-1.7359576686290776e-15,-0.04808279542461824,1.8484428110124438e-16,6.490769477788088,-1.0301565741038161e-15,0.34628252365719303,-3.729380674043099e-14,-3.431012886303642e-10,6.537209263406096e-15,-1.3937031065527067e-33,-0.10060848524273196,-1.4897602535952853e-35,0.3839724354387525,0.3839724354387525,-0.5235987755982988,-0.5235987755982988,0.4886921905584123,0.4886921905584123,1.0,-0.9999999999999999,1.0,22.0,-29.999999999999996,28.0,22.0,-22.0,-29.999999999999996,28.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998142,0.053299466639751596,-1.5848562678524778e-16,-0.10138226206436983,0.6578564027562681,none,panel,none,True,0.7673299137890099,2.647371487775582,0.35262851222441816,True,1.96732991378901,2.647371487775582,0.8526285122244182,0.7673299137890099,2.0000000000000004,1.96732991378901,2.4
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[5],0.1,2.0966455522936682,2.3999979917825836,2.634369358734262,0.002724853779298705,-0.05000849178409895,0.0005696000687765028,6.487189285966642,-0.002850559303673179,0.31551135252228435,0.4129399505731593,-0.26324620420598016,0.08418625642658259,0.12554890329832027,-0.2389152024926227,0.15978951328877128,0.3839724354387525,0.3839724354387525,-0.10060848524273196,-0.10060848524273196,0.4886921905584123,0.4886921905584123,1.0,-0.19214805292042555,1.0,22.0,-5.764441587612767,28.0,22.0,-22.0,-5.764441587612767,28.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.494857994692354,0.04859776922078987,-0.00043889479916562333,-0.09860487022123825,0.6393873344579579,none,panel,none,True,0.8966455522936683,2.634369358734262,0.3656306412657382,True,2.0966455522936682,2.634369358734262,0.8656306412657382,0.8966455522936683,2.000002008217417,2.0966455522936682,2.3999979917825836
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[6],0.12,2.2258161958190277,2.399972327410826,2.6217985681521476,0.017624189625369834,-0.058541529066009054,0.0038220748377107905,6.478302400085925,-0.02287589761101133,0.24347150881539859,1.109728853482278,-0.5614224266345695,0.25607499078431817,0.2100466121237882,-0.19369253787693722,0.2673320517939123,0.3839724354387525,0.3839724354387525,-0.10060848524273196,-0.10060848524273196,0.4886921905584123,0.4886921905584123,1.0,-0.19214805292042555,1.0,22.0,-5.764441587612767,28.0,22.0,-22.0,-5.764441587612767,28.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.482916293556119,0.03756492985120119,-0.0035286503863304385,-0.09603764193384098,0.6216473651204706,none,panel,none,True,1.0258161958190277,2.6217985681521476,0.3782014318478524,True,2.2258161958190277,2.6217985681521476,0.8782014318478524,1.0258161958190277,2.0000276725891744,2.2258161958190277,2.399972327410826
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[7],0.14,2.35473419109478,2.3999141505868873,2.6092611210670555,0.04595240519272058,-0.071573958792391,0.010315264752054742,6.4667563026383705,-0.06067767537212991,0.1788992778454502,1.7511282131575132,-0.69011817790309,0.42867100868821584,0.2669157890674396,-0.16325649704647055,0.33971100426765044,0.3839724354387525,0.3839724354387525,-0.10060848524273196,-0.10060848524273196,0.4886921905584123,0.4886921905584123,1.0,-0.19214805292042555,1.0,22.0,-5.764441587612767,28.0,22.0,-22.0,-5.764441587612767,28.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.469514959377966,0.027657399151035312,-0.009379152128542447,-0.09876587166475097,0.6379289686782684,none,panel,none,True,1.1547341910947801,2.6092611210670555,0.39073887893294446,True,2.35473419109478,2.6092611210670555,0.8907388789329445,1.1547341910947801,2.000085849413113,2.35473419109478,2.3999141505868873
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[8],0.16,2.4833106085066743,2.3999053323800656,2.5960644589033843,0.08567428433968252,-0.08633380104072877,0.019514761926928567,6.453226371470313,-0.11142897872102636,0.14013455720998996,2.2749309110613103,-0.7079425138332756,0.5797793122661814,0.3051902385312524,-0.14277224231919544,0.38842393994886665,-0.4537856055185257,-0.4537856055185257,-0.10060848524273196,-0.10060848524273196,0.4886921905584123,0.4886921905584123,-1.0,-0.19214805292042555,1.0,-26.0,-5.764441587612767,28.0,-26.0,-26.0,-5.764441587612767,28.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.455709466268069,0.021712013201531922,-0.01726138900396477,-0.10646989817338907,0.6860408717900769,none,panel,none,True,1.2833106085066743,2.5960644589033843,0.40393554109661567,True,2.3999053323800656,2.5960644589033843,0.9039355410966157,1.2833106085066743,2.0000946676199347,2.4833106085066743,2.3999053323800656
s9_agile_reversal_left_no_wind_environment_reference,agile_reversal_left_tvlqr,agile_reversal_ref[9],0.18,2.6115910778821974,2.3999342315500667,2.5817241303863163,0.12856407050009175,-0.1013807832152167,0.030695962616733987,6.452418922525404,-0.18663598042009266,0.12238177909605588,1.8003751478657877,-0.67221786570617,0.6691559514776142,0.05702506818124137,-0.12898580097259735,0.4212090248607173,-0.4537856055185257,-0.4537856055185257,-0.10060848524273196,-0.10060848524273196,-0.6108652381980153,-0.6108652381980153,-1.0,-0.19214805292042555,-1.0,-26.0,-5.764441587612767,-35.0,-26.0,-26.0,-5.764441587612767,-35.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.456277583933794,0.018964532299550592,-0.02891170362725795,-0.11642483510937339,0.7499740857414787,none,panel,none,True,1.4115910778821974,2.5817241303863163,0.4182758696136837,True,2.3999342315500667,2.5817241303863163,0.9182758696136837,1.4115910778821974,2.0000657684499337,2.6115910778821974,2.3999342315500667
