target_heading_deg,family,candidate_id,primitive_name,score,success,feasibility_label,failure_reason,actual_heading_change_deg,heading_error_deg,min_wall_distance_m,height_change_m,terminal_speed_m_s,max_alpha_deg,saturation_fraction,exit_recoverable,termination_reason,phase_metadata_json,template_json,log_path,template_elevator_brake_norm,template_aileron_roll_norm,template_rudder_yaw_norm,template_t_e_start_s,template_t_a_start_s,template_t_r_start_s,template_t_e_duration_s,template_t_a_duration_s,template_t_r_duration_s,template_hold_duration_s,template_recover_duration_s,template_target_heading_deg,template_family,template_candidate_id,finite_trajectory_arrays
30.0,high_bank_roll_recovery,030_a,agile_high_bank_roll_recovery_target_030_030_a,-84.65276234178201,True,fixed_start_safe_but_under_turning,heading target not achieved,3.2121234836474106,26.78787651635259,0.25,-0.724626693619806,6.6896500443305325,3.375675239314594,0.1574074074074074,True,,"{""brake_or_pitch"": {""duration_s"": 0.0, ""end_s"": 0.08, ""start_s"": 0.08}, ""entry"": {""duration_s"": 0.08, ""end_s"": 0.08, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 0.7, ""start_s"": 0.7}, ""recover"": {""duration_s"": 0.17999999999999994, ""end_s"": 0.7, ""start_s"": 0.52}, ""roll_yaw_redirect"": {""duration_s"": 0.37999999999999995, ""end_s"": 0.45999999999999996, ""start_s"": 0.08}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.06000000000000005, ""end_s"": 0.52, ""start_s"": 0.45999999999999996}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""030_a"", ""elevator_brake_norm"": 0.0, ""family"": ""high_bank_roll_recovery"", ""hold_duration_s"": 0.06, ""recover_duration_s"": 0.18, ""rudder_yaw_norm"": 0.55, ""t_a_duration_s"": 0.34, ""t_a_start_s"": 0.08, ""t_e_duration_s"": 0.0, ""t_e_start_s"": 0.08, ""t_r_duration_s"": 0.36, ""t_r_start_s"": 0.1, ""target_heading_deg"": 30.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_030/high_bank_roll_recovery/030_a_seed1.csv,0.0,1.0,0.55,0.08,0.08,0.1,0.0,0.34,0.36,0.06,0.18,30.0,high_bank_roll_recovery,030_a,True
30.0,brake_roll_yaw_recovery,030_a,agile_brake_roll_yaw_recovery_target_030_030_a,-67.35362933595901,True,fixed_start_unrecoverable,terminal state outside recoverable exit bounds,-21.687866218439385,8.312133781560615,0.25,-2.1796363483969063,8.1426643951816,7.708991443804745,0.38333333333333336,False,,"{""brake_or_pitch"": {""duration_s"": 0.07999999999999999, ""end_s"": 0.12, ""start_s"": 0.04}, ""entry"": {""duration_s"": 0.04, ""end_s"": 0.04, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 0.78, ""start_s"": 0.78}, ""recover"": {""duration_s"": 0.17999999999999994, ""end_s"": 0.78, ""start_s"": 0.6000000000000001}, ""roll_yaw_redirect"": {""duration_s"": 0.44000000000000006, ""end_s"": 0.54, ""start_s"": 0.1}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.06000000000000005, ""end_s"": 0.6000000000000001, ""start_s"": 0.54}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""030_a"", ""elevator_brake_norm"": -1.0, ""family"": ""brake_roll_yaw_recovery"", ""hold_duration_s"": 0.06, ""recover_duration_s"": 0.18, ""rudder_yaw_norm"": 1.0, ""t_a_duration_s"": 0.42000000000000004, ""t_a_start_s"": 0.1, ""t_e_duration_s"": 0.08, ""t_e_start_s"": 0.04, ""t_r_duration_s"": 0.44, ""t_r_start_s"": 0.1, ""target_heading_deg"": 30.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_030/brake_roll_yaw_recovery/030_a_seed1.csv,-1.0,1.0,1.0,0.04,0.1,0.1,0.08,0.42000000000000004,0.44,0.06,0.18,30.0,brake_roll_yaw_recovery,030_a,True
30.0,pitch_up_redirect_recovery,030_a,agile_pitch_up_redirect_recovery_target_030_030_a,-264.912635049017,False,model_limited_high_alpha,angle of attack exceeded bound,-1.2035120502563472,28.796487949743653,0.25,-0.1656532480545425,6.0545183853884,32.41354826593226,0.2916666666666667,False,angle of attack exceeded bound,"{""brake_or_pitch"": {""duration_s"": 0.1, ""end_s"": 0.14, ""start_s"": 0.04}, ""entry"": {""duration_s"": 0.04, ""end_s"": 0.04, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 0.8799999999999999, ""start_s"": 0.8799999999999999}, ""recover"": {""duration_s"": 0.21999999999999997, ""end_s"": 0.8799999999999999, ""start_s"": 0.6599999999999999}, ""roll_yaw_redirect"": {""duration_s"": 0.45999999999999996, ""end_s"": 0.58, ""start_s"": 0.12}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.07999999999999996, ""end_s"": 0.6599999999999999, ""start_s"": 0.58}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""030_a"", ""elevator_brake_norm"": 1.0, ""family"": ""pitch_up_redirect_recovery"", ""hold_duration_s"": 0.08, ""recover_duration_s"": 0.22, ""rudder_yaw_norm"": 0.85, ""t_a_duration_s"": 0.44000000000000006, ""t_a_start_s"": 0.12, ""t_e_duration_s"": 0.1, ""t_e_start_s"": 0.04, ""t_r_duration_s"": 0.45999999999999996, ""t_r_start_s"": 0.12, ""target_heading_deg"": 30.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_030/pitch_up_redirect_recovery/030_a_seed1.csv,1.0,1.0,0.85,0.04,0.12,0.12,0.1,0.44000000000000006,0.45999999999999996,0.08,0.22,30.0,pitch_up_redirect_recovery,030_a,True
60.0,high_bank_roll_recovery,060_a,agile_high_bank_roll_recovery_target_060_060_a,-333.0925800465071,False,fixed_start_unsafe_wall,state outside safe volume,4.205658805496896,55.794341194503104,-0.004554129200933232,-1.086093122222825,7.0450843123364475,3.6086235304432117,0.15873015873015872,False,state outside safe volume,"{""brake_or_pitch"": {""duration_s"": 0.0, ""end_s"": 0.08, ""start_s"": 0.08}, ""entry"": {""duration_s"": 0.08, ""end_s"": 0.08, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 0.8699999999999999, ""start_s"": 0.8699999999999999}, ""recover"": {""duration_s"": 0.21999999999999997, ""end_s"": 0.8699999999999999, ""start_s"": 0.6499999999999999}, ""roll_yaw_redirect"": {""duration_s"": 0.4699999999999999, ""end_s"": 0.5499999999999999, ""start_s"": 0.08}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.09999999999999998, ""end_s"": 0.6499999999999999, ""start_s"": 0.5499999999999999}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""060_a"", ""elevator_brake_norm"": 0.0, ""family"": ""high_bank_roll_recovery"", ""hold_duration_s"": 0.1, ""recover_duration_s"": 0.22, ""rudder_yaw_norm"": 0.55, ""t_a_duration_s"": 0.42000000000000004, ""t_a_start_s"": 0.08, ""t_e_duration_s"": 0.0, ""t_e_start_s"": 0.08, ""t_r_duration_s"": 0.44999999999999996, ""t_r_start_s"": 0.1, ""target_heading_deg"": 60.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_060/high_bank_roll_recovery/060_a_seed1.csv,0.0,1.0,0.55,0.08,0.08,0.1,0.0,0.42000000000000004,0.44999999999999996,0.1,0.22,60.0,high_bank_roll_recovery,060_a,True
60.0,brake_roll_yaw_recovery,060_a,agile_brake_roll_yaw_recovery_target_060_060_a,-205.94371079859877,False,fixed_start_unsafe_floor_or_ceiling,altitude below floor: 0.153 m,-33.07391215944307,26.92608784055693,0.25,-2.547302458121281,8.297521635700793,9.681841507039122,0.4444444444444444,False,altitude below floor: 0.153 m,"{""brake_or_pitch"": {""duration_s"": 0.1, ""end_s"": 0.14, ""start_s"": 0.04}, ""entry"": {""duration_s"": 0.04, ""end_s"": 0.04, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 0.9499999999999998, ""start_s"": 0.9499999999999998}, ""recover"": {""duration_s"": 0.21999999999999997, ""end_s"": 0.9499999999999998, ""start_s"": 0.7299999999999999}, ""roll_yaw_redirect"": {""duration_s"": 0.5299999999999999, ""end_s"": 0.6299999999999999, ""start_s"": 0.1}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.09999999999999998, ""end_s"": 0.7299999999999999, ""start_s"": 0.6299999999999999}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""060_a"", ""elevator_brake_norm"": -1.0, ""family"": ""brake_roll_yaw_recovery"", ""hold_duration_s"": 0.1, ""recover_duration_s"": 0.22, ""rudder_yaw_norm"": 1.0, ""t_a_duration_s"": 0.5, ""t_a_start_s"": 0.1, ""t_e_duration_s"": 0.1, ""t_e_start_s"": 0.04, ""t_r_duration_s"": 0.5299999999999999, ""t_r_start_s"": 0.1, ""target_heading_deg"": 60.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_060/brake_roll_yaw_recovery/060_a_seed1.csv,-1.0,1.0,1.0,0.04,0.1,0.1,0.1,0.5,0.5299999999999999,0.1,0.22,60.0,brake_roll_yaw_recovery,060_a,True
60.0,pitch_up_redirect_recovery,060_a,agile_pitch_up_redirect_recovery_target_060_060_a,-357.02724005102914,False,model_limited_high_alpha,angle of attack exceeded bound,-0.420332896124451,59.57966710387555,0.25,-0.1712754988621974,6.073640820479812,31.434080913612128,0.3125,False,angle of attack exceeded bound,"{""brake_or_pitch"": {""duration_s"": 0.13, ""end_s"": 0.17, ""start_s"": 0.04}, ""entry"": {""duration_s"": 0.04, ""end_s"": 0.04, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 1.0499999999999998, ""start_s"": 1.0499999999999998}, ""recover"": {""duration_s"": 0.2599999999999999, ""end_s"": 1.0499999999999998, ""start_s"": 0.7899999999999999}, ""roll_yaw_redirect"": {""duration_s"": 0.5499999999999999, ""end_s"": 0.6699999999999999, ""start_s"": 0.12}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.12, ""end_s"": 0.7899999999999999, ""start_s"": 0.6699999999999999}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""060_a"", ""elevator_brake_norm"": 1.0, ""family"": ""pitch_up_redirect_recovery"", ""hold_duration_s"": 0.12000000000000001, ""recover_duration_s"": 0.26, ""rudder_yaw_norm"": 0.85, ""t_a_duration_s"": 0.52, ""t_a_start_s"": 0.12, ""t_e_duration_s"": 0.13, ""t_e_start_s"": 0.04, ""t_r_duration_s"": 0.5499999999999999, ""t_r_start_s"": 0.12, ""target_heading_deg"": 60.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_060/pitch_up_redirect_recovery/060_a_seed1.csv,1.0,1.0,0.85,0.04,0.12,0.12,0.13,0.52,0.5499999999999999,0.12000000000000001,0.26,60.0,pitch_up_redirect_recovery,060_a,True
90.0,high_bank_roll_recovery,090_a,agile_high_bank_roll_recovery_target_090_090_a,-436.1953588900995,False,fixed_start_unsafe_wall,state outside safe volume,4.26901182828193,85.73098817171807,-0.09346435619127114,-1.158962739147016,7.0148708004859515,3.9610128519644694,0.18604651162790697,False,state outside safe volume,"{""brake_or_pitch"": {""duration_s"": 0.0, ""end_s"": 0.08, ""start_s"": 0.08}, ""entry"": {""duration_s"": 0.08, ""end_s"": 0.08, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 1.04, ""start_s"": 1.04}, ""recover"": {""duration_s"": 0.26, ""end_s"": 1.04, ""start_s"": 0.78}, ""roll_yaw_redirect"": {""duration_s"": 0.56, ""end_s"": 0.64, ""start_s"": 0.08}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.14, ""end_s"": 0.78, ""start_s"": 0.64}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""090_a"", ""elevator_brake_norm"": 0.0, ""family"": ""high_bank_roll_recovery"", ""hold_duration_s"": 0.14, ""recover_duration_s"": 0.26, ""rudder_yaw_norm"": 0.55, ""t_a_duration_s"": 0.5, ""t_a_start_s"": 0.08, ""t_e_duration_s"": 0.0, ""t_e_start_s"": 0.08, ""t_r_duration_s"": 0.54, ""t_r_start_s"": 0.1, ""target_heading_deg"": 90.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_090/high_bank_roll_recovery/090_a_seed1.csv,0.0,1.0,0.55,0.08,0.08,0.1,0.0,0.5,0.54,0.14,0.26,90.0,high_bank_roll_recovery,090_a,True
90.0,brake_roll_yaw_recovery,090_a,agile_brake_roll_yaw_recovery_target_090_090_a,-342.528151338469,False,physically_infeasible_candidate,pitch angle exceeded bound,19.652194969325485,70.34780503067452,0.25,-1.1591335115727777,7.2083867586821935,11.980402896498616,0.5057471264367817,False,pitch angle exceeded bound,"{""brake_or_pitch"": {""duration_s"": 0.12, ""end_s"": 0.16, ""start_s"": 0.04}, ""entry"": {""duration_s"": 0.04, ""end_s"": 0.04, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 1.12, ""start_s"": 1.12}, ""recover"": {""duration_s"": 0.2600000000000001, ""end_s"": 1.12, ""start_s"": 0.86}, ""roll_yaw_redirect"": {""duration_s"": 0.62, ""end_s"": 0.72, ""start_s"": 0.1}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.14, ""end_s"": 0.86, ""start_s"": 0.72}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""090_a"", ""elevator_brake_norm"": -1.0, ""family"": ""brake_roll_yaw_recovery"", ""hold_duration_s"": 0.14, ""recover_duration_s"": 0.26, ""rudder_yaw_norm"": 1.0, ""t_a_duration_s"": 0.58, ""t_a_start_s"": 0.1, ""t_e_duration_s"": 0.12, ""t_e_start_s"": 0.04, ""t_r_duration_s"": 0.62, ""t_r_start_s"": 0.1, ""target_heading_deg"": 90.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_090/brake_roll_yaw_recovery/090_a_seed1.csv,-1.0,1.0,1.0,0.04,0.1,0.1,0.12,0.58,0.62,0.14,0.26,90.0,brake_roll_yaw_recovery,090_a,True
90.0,pitch_up_redirect_recovery,090_a,agile_pitch_up_redirect_recovery_target_090_090_a,-446.8827423709976,False,model_limited_high_alpha,angle of attack exceeded bound,-0.5006876848715758,89.49931231512842,0.25,-0.1705097212349611,6.072606756327276,31.565245582922525,0.3125,False,angle of attack exceeded bound,"{""brake_or_pitch"": {""duration_s"": 0.16, ""end_s"": 0.2, ""start_s"": 0.04}, ""entry"": {""duration_s"": 0.04, ""end_s"": 0.04, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 1.22, ""start_s"": 1.22}, ""recover"": {""duration_s"": 0.29999999999999993, ""end_s"": 1.22, ""start_s"": 0.92}, ""roll_yaw_redirect"": {""duration_s"": 0.64, ""end_s"": 0.76, ""start_s"": 0.12}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.16000000000000003, ""end_s"": 0.92, ""start_s"": 0.76}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""090_a"", ""elevator_brake_norm"": 1.0, ""family"": ""pitch_up_redirect_recovery"", ""hold_duration_s"": 0.16, ""recover_duration_s"": 0.3, ""rudder_yaw_norm"": 0.85, ""t_a_duration_s"": 0.6, ""t_a_start_s"": 0.12, ""t_e_duration_s"": 0.16, ""t_e_start_s"": 0.04, ""t_r_duration_s"": 0.64, ""t_r_start_s"": 0.12, ""target_heading_deg"": 90.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_090/pitch_up_redirect_recovery/090_a_seed1.csv,1.0,1.0,0.85,0.04,0.12,0.12,0.16,0.6,0.64,0.16,0.3,90.0,pitch_up_redirect_recovery,090_a,True
120.0,high_bank_roll_recovery,120_a,agile_high_bank_roll_recovery_target_120_120_a,-526.1953588900996,False,fixed_start_unsafe_wall,state outside safe volume,4.26901182828193,115.73098817171807,-0.09346435619127114,-1.158962739147016,7.0148708004859515,3.9610128519644694,0.18604651162790697,False,state outside safe volume,"{""brake_or_pitch"": {""duration_s"": 0.0, ""end_s"": 0.08, ""start_s"": 0.08}, ""entry"": {""duration_s"": 0.08, ""end_s"": 0.08, ""start_s"": 0.0}, ""exit_check"": {""duration_s"": 0.0, ""end_s"": 1.04, ""start_s"": 1.04}, ""recover"": {""duration_s"": 0.26, ""end_s"": 1.04, ""start_s"": 0.78}, ""roll_yaw_redirect"": {""duration_s"": 0.56, ""end_s"": 0.64, ""start_s"": 0.08}, ""turn_hold_or_heading_capture"": {""duration_s"": 0.14, ""end_s"": 0.78, ""start_s"": 0.64}}","{""aileron_roll_norm"": 1.0, ""candidate_id"": ""120_a"", ""elevator_brake_norm"": 0.0, ""family"": ""high_bank_roll_recovery"", ""hold_duration_s"": 0.14, ""recover_duration_s"": 0.26, ""rudder_yaw_norm"": 0.55, ""t_a_duration_s"": 0.5, ""t_a_start_s"": 0.08, ""t_e_duration_s"": 0.0, ""t_e_start_s"": 0.08, ""t_r_duration_s"": 0.54, ""t_r_start_s"": 0.1, ""target_heading_deg"": 120.0}",03_Control/05_Results/03_primitives/06_agile_template_search/001/logs/target_120/high_bank_roll_recovery/120_a_seed1.csv,0.0,1.0,0.55,0.08,0.08,0.1,0.0,0.5,0.54,0.14,0.26,120.0,high_bank_roll_recovery,120_a,True
