scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[0],0.0,1.45,2.4,2.7,8.230695779909399e-29,-0.048082795413418776,4.935545911489459e-30,6.4907694777777385,-2.534829504120276e-29,0.3462825238860654,-1.0998289165405217e-27,6.65304994609925e-28,-1.2700722729111875e-28,1.189888980191815e-28,-0.10060848524273196,2.764092023139663e-28,-0.44556832235651744,-0.44556832235651744,0.01889306369586416,0.01889306369586416,-0.318263607787618,-0.318263607787618,-0.9818917059905006,0.0492042187202206,-0.5210046142524991,-25.529184355753014,1.0824928118448531,-18.23516149883747,-25.529184355753014,25.529184355753014,1.0824928118448531,-18.23516149883747,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.5,0.053299466674997555,-3.899737698646578e-30,-0.10138226208841634,0.6578564029119558,none,none,none,True,0.25,2.7,0.2999999999999998,True,1.45,2.7,0.7999999999999998,0.25,2.0000000000000004,1.45,2.4
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[0],0.02,1.5793236242349944,2.399977147086668,2.6867866241130507,-0.003193549626745116,-0.047415488259334074,-0.00046435816562239015,6.489219093143617,-0.0018926432609330402,0.35841178094402076,-0.4790527279493624,0.09997362546790298,-0.06806990165192356,-0.14568914081661027,-0.06153461684239344,-0.10406384216576357,-0.4261643322189177,-0.4261643322189177,-0.04422932536456024,-0.04422932536456024,-0.2944212421494287,-0.2944212421494287,-0.9391314467367337,-0.08447178913667411,-0.4819741306903282,-24.417417615155074,-2.534153674100223,-16.869094574161487,-24.417417615155074,24.417417615155074,-2.534153674100223,-16.869094574161487,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.499109710232444,0.055175821485016846,-0.0002912157775555997,-0.10259195686606984,0.6655873844186975,none,none,none,True,0.37932362423499444,2.6867866241130507,0.3132133758869493,True,1.5793236242349944,2.6867866241130507,0.8132133758869493,0.37932362423499444,2.0000228529133324,1.5793236242349944,2.399977147086668
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[0],0.04,1.708555365928066,2.3998552027930633,2.673342925223075,-0.020210902480855268,-0.04399188513644603,-0.0031323282610286086,6.480699753813246,0.0037492883018147363,0.39444665924421146,-1.2433670345324366,0.23010599145998314,-0.19969545859277318,-0.23739716314563253,-0.055876240964924266,-0.16630571318798962,-0.40676034208131795,-0.40676034208131795,-0.10735171442498465,-0.10735171442498465,-0.27057887651123946,-0.27057887651123946,-0.8963711874829667,-0.20502667200150998,-0.4429436471281573,-23.305650874557134,-6.150800160045299,-15.503027649485507,-23.305650874557134,23.305650874557134,-6.150800160045299,-15.503027649485507,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.492693703173342,0.060789833592476826,0.0005774627114100875,-0.10475751395235047,0.6789151083185196,none,none,none,True,0.5085553659280659,2.673342925223075,0.32665707477692507,True,1.708555365928066,2.673342925223075,0.8266570747769251,0.5085553659280659,2.000144797206937,1.708555365928066,2.3998552027930633
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[1],0.06,1.8375751496246675,2.3996348846984117,2.6596951374212177,-0.05156483545824213,-0.03897553407424019,-0.008691902036510338,6.465802005762709,0.019793279227497584,0.43455262365653863,-1.8889508483125317,0.26602781064577175,-0.33667190400416486,-0.2927744751919922,-0.07270736904391689,-0.2004002993884849,-0.388084596446624,-0.3880845964466241,-0.1523183389403297,-0.1523183389403297,-0.24940440497638852,-0.24940440497638852,-0.8552157488626655,-0.2909065987908024,-0.40828056563196136,-22.235609470429303,-8.727197963724072,-14.289819797118648,-22.235609470429303,22.235609470429303,-8.727197963724072,-14.289819797118648,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.480418453645908,0.06710692882712767,0.003054325911830288,-0.10583420890989667,0.6845703234847987,none,none,none,True,0.6375751496246675,2.6596951374212177,0.34030486257878234,True,1.8375751496246675,2.6596951374212177,0.8403048625787823,0.6375751496246675,2.0003651153015887,1.8375751496246675,2.3996348846984117
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[1],0.08,1.9662986849597712,2.3992708928373334,2.646033239712073,-0.09414446265796819,-0.0346466676602668,-0.017022733208933237,6.446835865417019,0.04246351730643852,0.4634933778001968,-2.380054650057142,0.21237119482469807,-0.4608969901644311,-0.32393838200492714,-0.09873806562136571,-0.21642335507123522,-0.3699914463757811,-0.36999144637578113,-0.18276035277879338,-0.18276035277879338,-0.23036424858326152,-0.23036424858326152,-0.8153441666643529,-0.3490465625515629,-0.37711140555781253,-21.198948333273176,-10.471396876546887,-13.198899194523438,-21.198948333273176,21.198948333273176,-10.471396876546887,-13.198899194523438,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.4636152374034355,0.07177121912681347,0.006569670564628647,-0.10547574653317429,0.6804912435899053,none,none,none,True,0.7662986849597713,2.646033239712073,0.35396676028792706,True,1.9662986849597712,2.646033239712073,0.8539667602879271,0.7662986849597713,2.000729107162667,1.9662986849597712,2.3992708928373334
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[2],0.1,2.094661998361406,2.3986374696161676,2.632513982960613,-0.1454701663078346,-0.03249178607770092,-0.027714861931763236,6.425337838907609,0.06779842712714979,0.4772530472680793,-2.775736426569121,0.12762849850898866,-0.5737190571808621,-0.3389965247038448,-0.12621114710227385,-0.22098166116274828,-0.3518871624660369,-0.3518871624660369,-0.21017804933086554,-0.21017804933086556,-0.21191311810448,-0.21191311810448,-0.7754480490053164,-0.40141050576503373,-0.346906494024116,-20.161649274138227,-12.042315172951012,-12.14172729084406,-20.161649274138227,20.161649274138227,-12.042315172951012,-12.14172729084406,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.443394558921988,0.0741405790160752,0.010522353959474212,-0.10430717998176284,0.6708742527329593,none,none,none,True,0.8946619983614059,2.632513982960613,0.3674860170393872,True,2.094661998361406,2.632513982960613,0.8674860170393872,0.8946619983614059,2.0013625303838327,2.094661998361406,2.3986374696161676
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[2],0.12,2.222614858944817,2.397547047472177,2.619213834219578,-0.20388676852293738,-0.03291996908814409,-0.04034410899228161,6.402629243215217,0.0933331270705658,0.47712654568492274,-3.0930448661391146,0.052998808300079095,-0.6757310464770265,-0.3432114247448069,-0.1536661191658571,-0.21801648572202115,-0.3336938078744935,-0.3336938078744935,-0.21340121558064604,-0.21340121558064604,-0.19817419338452968,-0.19817419338452968,-0.7353556477253013,-0.4075662998577481,-0.32441556826694146,-19.119246840857834,-12.226988995732443,-11.35454488934295,-19.119246840857834,19.119246840857834,-12.226988995732443,-11.35454488934295,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.421060818842994,0.07438292164633571,0.014535980359703054,-0.10278689776654573,0.6588393679862049,none,none,none,True,1.0226148589448172,2.619213834219578,0.3807861657804219,True,2.222614858944817,2.619213834219578,0.8807861657804219,1.0226148589448172,2.002452952527823,2.222614858944817,2.397547047472177
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[2],0.14,2.350128121250215,2.395770446805524,2.60615922483213,-0.26767432770547456,-0.03581550920557798,-0.054481514627018154,6.380125304829741,0.11743841468947867,0.4662365428472115,-3.317095518750851,5.4213443402006956e-06,-0.7640491392963886,-0.3400994139601889,-0.17319792705390652,-0.2115285771849145,-0.31550045328295007,-0.31550045328295007,-0.21662438183042657,-0.21662438183042657,-0.18443526866457935,-0.18443526866457932,-0.695263246445286,-0.41372209395046255,-0.3019246425097668,-18.076844407577436,-12.411662818513877,-10.567362487841837,-18.076844407577436,18.076844407577436,-12.411662818513877,-10.567362487841837,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.398215938873874,0.0729467281418231,0.018355899676117067,-0.10125771261311944,0.6467621651278896,none,none,none,True,1.150128121250215,2.60615922483213,0.39384077516786986,True,2.350128121250215,2.60615922483213,0.8938407751678699,1.150128121250215,2.0042295531944765,2.350128121250215,2.395770446805524
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[3],0.16,2.477194236427681,2.393053877711433,2.593321821147851,-0.33486538070238403,-0.0409792179059197,-0.06967409881964315,6.358977495529042,0.13872241231909038,0.44790798320375286,-3.4436220576587493,-0.0406725515926155,-0.8370582005901834,-0.33205619978577333,-0.187397237390067,-0.20266977676721187,-0.2799062306504968,-0.2799062306504968,-0.21025997736642005,-0.21025997736642005,-0.17247006457276748,-0.17247006457276745,-0.6168248336803396,-0.40156697678706943,-0.28233733692481017,-16.03744567568883,-12.047009303612082,-9.881806792368355,-16.03744567568883,16.03744567568883,-12.047009303612082,-9.881806792368355,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.376241860041234,0.07032096475592484,0.02175785694261338,-0.10016910164274583,0.6376348474473207,none,none,none,True,1.277194236427681,2.593321821147851,0.40667817885214896,True,2.393053877711433,2.593321821147851,0.906678178852149,1.277194236427681,2.0069461222885674,2.477194236427681,2.393053877711433
turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_ref_target_030[3],0.18,2.603819844003432,2.3891362895572565,2.58061583670793,-0.4034681811977785,-0.04836002247872003,-0.08541672695559265,6.340477160764886,0.15630268871201336,0.4232154158603684,-3.4670838797945795,-0.0791914415370715,-0.8939820472061566,-0.3150045293331958,-0.19487275298833096,-0.19279526392202562,-0.23561157591279752,-0.23561157591279752,-0.19910178860076627,-0.19910178860076627,-0.1613917205998021,-0.1613917205998021,-0.5192134193934425,-0.3802564060109944,-0.2642018411063785,-13.499548904229504,-11.407692180329832,-9.247064438723248,-13.499548904229504,13.499548904229504,-11.407692180329832,-9.247064438723248,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.3565078812899785,0.06664933248577563,0.024591874503978605,-0.09990483836417278,0.6339900231299789,none,none,none,True,1.4038198440034322,2.58061583670793,0.41938416329207007,True,2.3891362895572565,2.58061583670793,0.9193841632920701,1.4038198440034322,2.010863710442744,2.603819844003432,2.3891362895572565
