time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,0.0,-0.022644230752501885,0.0,0.0,-0.022644230752501885,0.0,0.0,-0.011856491496375333,0.0
0.02,1.5344027513014353e-18,-0.022644230752031445,3.526229333452778e-21,1.5344027513014353e-18,-0.022644230752031445,3.526229333452778e-21,5.891683613611346e-19,-0.011856491496129011,1.7232407373763682e-21
0.04,-1.0619187329888646e-19,-0.02264423075138403,2.5036501069404634e-20,-1.0619187329888646e-19,-0.02264423075138403,2.5036501069404634e-20,-4.818834352608175e-20,-0.011856491495790024,1.2235142551525383e-20
0.06,2.39865509722125e-18,-0.02264423075073372,-3.728705340707866e-20,2.39865509722125e-18,-0.02264423075073372,-3.728705340707866e-20,9.21017439457621e-19,-0.011856491495449522,-2.2777364761217227e-20
0.08,-3.5253783075477953e-19,-0.02264423075015308,-7.611649836371481e-20,-3.5253783075477953e-19,-0.02264423075015308,-7.611649836371481e-20,-1.5997659299724516e-19,-0.011856491495145501,-4.649692290374949e-20
0.1,2.135401134685454e-18,-0.02264423074966213,-7.43965512837274e-20,2.135401134685454e-18,-0.02264423074966213,-7.43965512837274e-20,8.199351743238494e-19,-0.01185649149488844,-4.5446267021045e-20
0.12,1.8847184126346037e-20,-0.022644230749255794,-7.090797872592372e-20,1.8847184126346037e-20,-0.022644230749255794,-7.090797872592372e-20,7.236799190155685e-21,-0.011856491494675683,-4.33152193145512e-20
0.14,2.5924596572372973e-19,-0.022644230748919372,-1.0527356470767896e-20,2.5924596572372973e-19,-0.022644230748919372,-1.0527356470767896e-20,9.954330483661185e-20,-0.011856491494499534,-6.430796118111049e-21
0.16,3.1226000423390683e-18,-0.02264423074863606,-5.246446131106516e-20,3.1226000423390683e-18,-0.02264423074863606,-5.246446131106516e-20,1.1989923431580837e-18,-0.01185649149435119,-3.2048715655714373e-20
0.18,2.9350437632643687e-18,-0.022644230748390656,-6.754963355614189e-20,2.9350437632643687e-18,-0.022644230748390656,-6.754963355614189e-20,1.126975901899941e-18,-0.011856491494222698,-4.126372299246126e-20
0.2,1.6925999246057506e-18,-0.022644230748170856,-1.994279804369514e-19,1.6925999246057506e-18,-0.022644230748170856,-1.994279804369514e-19,6.499117152743189e-19,-0.011856491494107611,-1.2182362077296746e-19
0.22,8.37926860657474e-19,-0.022644230747967325,-2.1100261882870998e-19,8.37926860657474e-19,-0.022644230747967325,-2.1100261882870998e-19,3.2174081740619854e-19,-0.011856491494001042,-1.2889416501120497e-19
0.24,2.458193943627902e-18,-0.022644230747773362,-7.562262661331931e-20,2.458193943627902e-18,-0.022644230747773362,-7.562262661331931e-20,9.43878715315597e-19,-0.011856491493899482,-4.6195233819304875e-20
0.26,8.550488987087689e-19,-0.022644230747584478,5.057473051540991e-20,8.550488987087689e-19,-0.022644230747584478,5.057473051540991e-20,3.283152080564292e-19,-0.011856491493800584,2.4715475842477048e-20
0.28,3.515212596309458e-18,-0.022644230747397708,9.042183769967819e-20,3.515212596309458e-18,-0.022644230747397708,9.042183769967819e-20,1.3497447416899227e-18,-0.011856491493702792,4.4188445939772964e-20
0.3,2.596532457956761e-18,-0.022644230747211287,1.5935952986984703e-19,2.596532457956761e-18,-0.022644230747211287,1.5935952986984703e-19,9.969968915774277e-19,-0.011856491493605183,7.787775773845428e-20
0.32,1.82005923458272e-19,-0.022644230747024235,2.2757341001265965e-19,1.82005923458272e-19,-0.022644230747024235,2.2757341001265965e-19,6.988525769455187e-20,-0.01185649149350724,1.1121334825193435e-19
0.34,-7.444402111053514e-19,-0.022644230746836008,3.6000869370797215e-19,-7.444402111053514e-19,-0.022644230746836008,3.6000869370797215e-19,-3.37816251968781e-19,-0.011856491493408686,1.7593343714822142e-19
0.36,-6.33224287561818e-19,-0.0226442307466465,4.998242456214924e-19,-6.33224287561818e-19,-0.0226442307466465,4.998242456214924e-19,-2.8734806676027663e-19,-0.01185649149330946,2.4426020548697302e-19
0.38,-5.137060767581276e-19,-0.022644230746455756,5.313999065114933e-19,-5.137060767581276e-19,-0.022644230746455756,5.313999065114933e-19,-2.3311242310023317e-19,-0.011856491493209586,2.596909843756372e-19
0.4,2.10153344812879e-18,-0.022644230746263844,5.460475750171717e-19,2.10153344812879e-18,-0.022644230746263844,5.460475750171717e-19,8.069309162340107e-19,-0.0118564914931091,2.668491855842506e-19
