time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,2.0,2.2,1.6,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0
0.02,2.129475153062458,2.2,1.5883301782595487,-1.495089518988984e-19,-0.017162865028293325,6.5463535272508726e-21,6.482818095895908,-7.770220585077494e-20,0.47230237722027424,-2.9940510266534215e-17,-8.941975364633584e-12,-4.332753765318186e-20,0.0,-0.011856491496375332,0.0
0.04,2.25895030612503,2.2,1.5766603565203499,-4.478906553948954e-19,-0.017162865028589026,-2.13705835212399e-21,6.482818095899574,5.496362180404768e-20,0.4723023771678018,4.363290742952206e-18,-2.0801803254933658e-11,-6.576223085451429e-19,1.6699164974793476e-19,-0.011856491496305516,4.8842883039834305e-22
0.06,2.38842545918767,2.2,1.5649905347819713,-1.0667132814551098e-18,-0.017162865029118773,-7.454869765729969e-21,6.482818095901825,-2.545306837556107e-19,0.4723023771316567,-4.2639535537149447e-17,-3.191766692160248e-11,1.0790209604205942e-18,1.0600184712757307e-19,-0.011856491496159407,3.8178728943597625e-21
0.08,2.5179006122503482,2.2,1.553320713044115,-1.4265598249555558e-18,-0.01716286502985071,3.801855332704731e-20,6.4828180959031885,-6.610695542499798e-19,0.4723023771065751,1.4183555739873368e-17,-4.0879817912196093e-11,2.284298740390979e-18,3.3700678096186136e-19,-0.0118564914959582,-3.720180576948326e-21
0.1,2.6473757653130456,2.2,1.5416508913065734,-1.5493200909037793e-18,-0.01716286503073766,7.916914427332403e-20,6.482818095904015,-4.320445928868683e-19,0.4723023770891244,-3.4961422239190186e-17,-4.741747029587075e-11,2.1091702779895008e-18,1.9614369503003642e-19,-0.011856491495727851,-1.5844658468958328e-20
0.12,2.7768509183757506,2.2,1.5299810695692018,-1.8839501649666348e-18,-0.01716286503173298,1.1510254765774702e-19,6.482818095904544,-1.095559319517527e-18,0.47230237707700723,9.042807142306252e-18,-5.177497102376728e-11,2.4047529217160464e-18,3.7294879024140013e-19,-0.011856491495489932,-2.4234826325028164e-20
0.14,2.906326071438456,2.2,1.5183112478318987,-1.5744283245542263e-18,-0.01716286503279715,1.5958680483433567e-19,6.482818095904936,-1.5004156319973187e-18,0.47230237706864897,2.6872223082965368e-18,-5.437621982196559e-11,1.1288083148448072e-18,2.692927680864435e-19,-0.011856491495259145,-2.9642900675453674e-20
0.16,3.0358012245011583,2.2,1.5066414260945942,-2.3753136132711745e-18,-0.017162865033899476,1.9370716877764567e-19,6.482818095905305,-2.447206171232968e-18,0.47230237706294964,-5.057543278042549e-17,-5.566090109538352e-11,2.7234612469498857e-18,2.211796228957762e-19,-0.011856491495043843,-2.306374964093938e-20
0.18,3.165276377563857,2.2,1.4949716043572396,-3.192150444573286e-18,-0.017162865035017565,2.7872923045679574e-19,6.482818095905726,-3.816732895513065e-18,0.47230237705913025,-4.2740123042420945e-17,-5.6010798594416e-11,3.890702124777031e-18,4.983271583199179e-19,-0.01185649149484752,-2.5610414391011922e-20
0.2,3.294751530626553,2.2,1.4833017826198023,-3.852600799347237e-18,-0.01716286503613588,3.7058168566255244e-19,6.482818095906251,-4.140001904804877e-18,0.47230237705663475,-1.4588994495378827e-17,-5.572836029825101e-11,7.374162148311698e-18,6.765089781309224e-19,-0.011856491494670423,-3.0047128917451525e-20
0.22,3.4242266836892488,2.2,1.4716319608822606,-3.929499013935112e-18,-0.01716286503724414,5.287686220683085e-19,6.4828180959069135,-5.579266639806829e-18,0.47230237705506484,2.8889578565260795e-18,-5.5038269507920026e-11,8.493873147529762e-18,6.689703506443028e-19,-0.011856491494510901,-5.605991030242544e-20
0.24,3.553701836751947,2.2,1.4599621391446007,-3.869267694790084e-18,-0.017162865038335882,6.850496423504475e-19,6.482818095907736,-7.187562117314491e-18,0.4723023770541355,-2.9817540398607615e-17,-5.409862040126694e-11,6.037236117629815e-18,5.705529263571653e-19,-0.011856491494366388,-7.670377570599412e-20
0.26,3.683176989814651,2.2,1.4482923174068143,-3.541498765829763e-18,-0.017162865039407255,7.951648049400465e-19,6.482818095908732,-8.3457748564903e-18,0.47230237705364386,6.065158549734374e-19,-5.301634896230528e-11,3.5505018466276894e-18,6.763669745650335e-19,-0.01185649149423405,-6.80565500992216e-20
0.28,3.8126521428773645,2.2,1.436622495668897,-3.803311292507592e-18,-0.01716286504045615,8.600635095600833e-19,6.482818095909908,-9.265720326835206e-18,0.4723023770534465,-5.12876954636512e-17,-5.186071725955601e-11,3.085061938372782e-18,5.777164995926872e-19,-0.01185649149411119,-4.1761598301960303e-20
0.3,3.9421272959400913,2.2,1.424952673930847,-4.544849601084761e-18,-0.017162865041481568,9.12614955201092e-19,6.482818095911268,-1.0208703973324234e-17,0.47230237705344297,-2.920640115371141e-17,-5.067370196629617e-11,1.9056486609377503e-18,7.965372616274489e-19,-0.011856491493995435,-1.7400243169658332e-20
0.32,4.071602449002835,2.2,1.4132828521926637,-4.631747831413371e-18,-0.01716286504248314,9.41242729438824e-19,6.482818095912812,-1.078412310123845e-17,0.4723023770535637,1.9518620687901417e-17,-4.947960389336433e-11,5.322742311624381e-19,8.53354780198662e-19,-0.011856491493884824,9.604992684441496e-21
0.34,4.201077602065601,2.2,1.4016130304543486,-4.23646098153441e-18,-0.017162865043460877,9.256903454025107e-19,6.4828180959145385,-1.1305683440262036e-17,0.472302377053761,3.607110912977907e-17,-4.829134941130091e-11,-2.4777076656318165e-18,6.312911449621575e-19,-0.011856491493777804,3.8404480296421215e-20
0.36,4.330552755128391,2.2,1.3899432087159034,-3.2528864269784204e-18,-0.017162865044414957,8.444320264522265e-19,6.482818095916444,-1.0585425869990301e-17,0.4723023770540028,2.892891788612846e-17,-4.711463689253163e-11,-6.388629677089502e-18,3.5661101342463326e-19,-0.011856491493673182,7.73851671407329e-20
0.38,4.4600279081912095,2.2,1.3782733869773305,-2.4977606159245968e-18,-0.01716286504534563,7.049456710724498e-19,6.482818095918524,-9.743631047170594e-18,0.47230237705426786,2.2762924614785534e-17,-4.5950764465734094e-11,-7.663672058659751e-18,1.7408968977140004e-19,-0.01185649149357009,1.2468359621932257e-19
0.4,4.589503061254061,2.2,1.3666035652386324,-2.97863788602874e-18,-0.017162865046253153,5.34511749326686e-19,6.482818095920775,-9.335223639159508e-18,0.47230237705454226,-2.7137479532432095e-17,-4.47995219463202e-11,-8.26548342977113e-18,5.867386456961512e-20,-0.01185649149346791,1.6294957917926566e-19
0.42,4.718978214316948,2.2,1.3549337434998119,-3.2795741431141476e-18,-0.01716286504713777,3.7085776436109025e-19,6.482818095923192,-8.540594039751309e-18,0.47230237705481737,-2.788714131228072e-17,-4.365949768021291e-11,-7.861973388485693e-18,2.707570103860153e-19,-0.01185649149336621,1.9239849025392959e-19
0.44,4.848453367379875,2.2,1.343263921760872,-3.510476821488237e-18,-0.01716286504799968,1.9800582777484424e-19,6.4828180959257695,-7.36919223483009e-18,0.47230237705508754,-2.0125901767077688e-17,-4.252901923011459e-11,-8.967167397938755e-18,4.349953109631912e-19,-0.01185649149326472,2.087248589572575e-19
0.46,4.977928520442845,2.2,1.3315941000218157,-3.522817889758389e-18,-0.017162865048839068,1.501494740206803e-20,6.4828180959285024,-6.436645282226191e-18,0.47230237705534955,2.2844562903748604e-17,-4.140694849424996e-11,-9.492028078790632e-18,5.167314696847482e-19,-0.011856491493163266,2.228027623399684e-19
0.48,5.107403673505861,2.2,1.3199242782826461,-3.0402102250300623e-18,-0.017162865049656084,-1.8405769207588653e-19,6.482818095931386,-6.1406184981007416e-18,0.47230237705560146,-1.7102351800817793e-18,-4.029145841001602e-11,-1.1795040313612474e-17,3.3663407334631767e-19,-0.011856491493061762,2.328176358592309e-19
0.5,5.236878826568928,2.2,1.3082544565433663,-2.9194224343931655e-18,-0.01716286505045085,-4.1616514337418117e-19,6.482818095934415,-5.095732006386571e-18,0.4723023770558426,4.434412304286207e-17,-3.918200352635934e-11,-1.2366510963641286e-17,3.332439823863047e-19,-0.011856491492960163,2.5180758642319707e-19
