scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=0.0,0.0,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.5,0.053299466674997555,0.0,-0.10138226208841634,0.6578564029119558,none,panel,none,True,0.25,2.7,0.2999999999999998,True,1.45,2.7,0.7999999999999998,0.25,2.0000000000000004,1.45,2.4
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=0.4,0.02,1.5793324784471354,2.4,2.6868428719425554,-1.2528950374925971e-17,-0.048082795413525364,2.233101532564673e-18,6.490769477781156,-1.5020371985165164e-17,0.3462825238117898,-1.1724296781013818e-14,-3.6891972748460027e-11,1.986775788314596e-16,0.0,-0.10060848524273196,0.0,0.010154642920694281,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.4999999999994555,0.05329946666355876,-2.3108264592563725e-18,-0.10138226207708413,0.6578564028386196,none,panel,none,True,0.37933247844713547,2.6868428719425554,0.31315712805744456,True,1.5793324784471354,2.6868428719425554,0.8131571280574446,0.37933247844713547,2.0000000000000004,1.5793324784471354,2.4
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=0.7,0.04,1.7086649568943773,2.4,2.6736857438862947,-3.8596663529523766e-16,-0.04808279541513411,2.0770164648538746e-17,6.490769477783447,-4.9886861011376805e-17,0.34628252375405005,-2.6496591672696567e-14,-1.3108949840229515e-10,1.769519094367043e-15,0.0,-0.10060848524273196,0.0,0.020309285841390384,0.0,-0.10060848523948694,-0.10060848524273196,-1.2700455911872958e-17,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998667,0.05329946665466956,-7.674901694059545e-18,-0.10138226206980366,0.6578564027914597,none,panel,none,True,0.5086649568943773,2.6736857438862947,0.32631425611370535,True,1.7086649568943773,2.6736857438862947,0.8263142561137053,0.5086649568943773,2.0000000000000004,1.7086649568943773,2.4
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=1.1,0.06,1.8379974353416788,2.4,2.660528615830764,-1.0059595684727714e-15,-0.048082795418807646,7.863139928956497e-17,6.4907694777855545,-3.4680446569555993e-16,0.3462825237035187,-3.4599901113360825e-14,-2.376034725063833e-10,4.069340899027613e-15,0.0,-0.10060848524273196,0.0,0.030463928762087755,0.0,-0.10060848522925912,-0.10060848524273196,-1.202360661158948e-16,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.49999999999808,0.053299466646889275,-5.335453318394806e-17,-0.10138226206569692,0.6578564027648435,none,panel,none,True,0.6379974353416789,2.660528615830764,0.33947138416923606,True,1.8379974353416788,2.660528615830764,0.8394713841692361,0.6379974353416789,2.0000000000000004,1.8379974353416788,2.4
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=1.5,0.08,1.96732991378901,2.4,2.647371487775582,-1.7359576686290776e-15,-0.04808279542461824,1.8484428110124438e-16,6.490769477788088,-1.0301565741038161e-15,0.34628252365719303,-3.729380674043099e-14,-3.431012886303642e-10,6.537209263406096e-15,0.0,-0.10060848524273196,0.0,0.040618571682784606,0.0,-0.10060848521476201,-0.10471975511965978,-2.778403950100852e-16,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998142,0.053299466639751596,-1.5848562678524778e-16,-0.10138226206436983,0.6578564027562681,none,panel,none,True,0.7673299137890099,2.647371487775582,0.35262851222441816,True,1.96732991378901,2.647371487775582,0.8526285122244182,0.7673299137890099,2.0000000000000004,1.96732991378901,2.4
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=1.8,0.1,2.0966623691977437,2.4000000000483874,2.634216841286635,-6.629767586564704e-09,-0.048112491179045605,3.6601001760006066e-10,6.490757974123476,-9.514615784533383e-10,0.3457727560472294,-1.2441081249413027e-06,-0.004638999603845891,4.101683887285994e-08,0.0,-0.10235680809411017,0.0,0.05077321460348066,0.0,-0.1006084851975979,-0.10471975511965978,-4.2989073984982054e-16,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499961375075393,0.05322124604408072,-1.4637957420820864e-10,-0.10133373722312633,0.6575387027699675,none,panel,none,True,0.8966623691977438,2.634216841286635,0.3657831587133651,True,2.0966623691977437,2.634216841286635,0.8657831587133651,0.8966623691977438,1.999999999951613,2.0966623691977437,2.3999999999516124
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=2.2,0.12,2.225994522387086,2.4000000003137774,2.6210719118042354,-4.28883490780654e-08,-0.04828366856836934,2.573851880619127e-09,6.490765571861321,-7.817028213997792e-09,0.3440985555100041,-2.395994953594997e-06,-0.012925677428801952,1.8853227197870598e-07,0.0,-0.10336165438370759,0.0,0.060928058061929545,0.0,-0.10018270398518829,-0.10471975511965978,-2.7492323517230523e-09,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499880116184012,0.052963974499338214,-1.2026419063536606e-09,-0.10124764306770756,0.6569737491473658,none,panel,none,True,1.025994522387086,2.6210719118042354,0.3789280881957646,True,2.225994522387086,2.6210719118042354,0.8789280881957646,1.025994522387086,1.999999999686223,2.225994522387086,2.3999999996862225
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=2.5,0.14,2.3553259017260313,2.400000001030779,2.6079354497705984,-9.754895485031402e-08,-0.048631717728755686,8.316238723615843e-09,6.490822076607149,-3.923051379870336e-08,0.3416365899668451,-2.9845730308256593e-06,-0.02195438737094186,3.8627170747524184e-07,0.0,-0.10393918848441544,0.0,0.07108296186907301,0.0,-0.0992291365259224,-0.10471975511965978,-1.289913572833165e-08,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499806673261514,0.052585270221140096,-6.035643176909757e-09,-0.10121698794989611,0.6567680936786772,none,panel,none,True,1.1553259017260313,2.6079354497705984,0.39206455022940156,True,2.3553259017260313,2.6079354497705984,0.8920645502294016,1.1553259017260313,1.9999999989692214,2.3553259017260313,2.399999998969221
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=2.9,0.16,2.4846559729378423,2.400000002201236,2.5947961264229695,-1.6001581790081763e-07,-0.04916006331221609,1.8179587188636737e-08,6.490952627714367,-1.036695454014042e-07,0.338749340736327,-3.167412510496113e-06,-0.030842850465496154,5.907225690490013e-07,0.0,-0.10427112545918803,0.0,0.0812378086238792,0.07679448708775051,-0.09795312598725903,-0.10471975511965978,-2.6207276074789803e-08,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499785929635017,0.05214062169694613,-1.5949686116389616e-08,-0.10130068500916409,0.6573072240265079,none,panel,none,True,1.2846559729378424,2.5947961264229695,0.40520387357703047,True,2.399999997798764,2.5947961264229695,0.9052038735770305,1.2846559729378424,1.9999999977987644,2.4846559729378423,2.399999997798764
s4_latency_low_bank_reversal_left,mild_bank_reversal_probe,phi_ref_deg=3.3,0.18,2.613984012511496,2.400013012220382,2.5816366717064585,0.0007452527125814089,-0.04986201370595721,4.5830593406518313e-05,6.4911005314270005,0.001986656547932918,0.33570300338741593,0.1143437041301653,-0.03927092164854546,0.007101728577831925,0.03265695530931957,-0.10446190580460163,0.0,0.0913925931813864,0.07679448708775051,-0.09646073925196791,-0.10471975511965978,-3.835570976420971e-08,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,low,0.098,0.098000:0.118000,0.073,0.0149,0.0169,0.098,0.036067376022224096,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499775885550167,0.05167138922820229,0.0003056500122230971,-0.10153361245704118,0.6588124052154676,none,panel,none,True,1.4139840125114962,2.5816366717064585,0.4183633282935415,True,2.399986987779618,2.5816366717064585,0.9183633282935415,1.4139840125114962,1.9999869877796184,2.613984012511496,2.399986987779618
