scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=0.0,0.0,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.5,0.053299466674997555,0.0,-0.10138226208841634,0.6578564029119558,none,panel,none,True,0.25,2.7,0.2999999999999998,True,1.45,2.7,0.7999999999999998,0.25,2.0000000000000004,1.45,2.4
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=0.4,0.02,1.5793324784471354,2.4,2.6868428719425554,-1.2528950374925971e-17,-0.048082795413525364,2.233101532564673e-18,6.490769477781156,-1.5020371985165164e-17,0.3462825238117898,-1.1724296781013818e-14,-3.6891972748460027e-11,1.986775788314596e-16,0.0,-0.10060848524273196,0.0,0.010154642920694281,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.4999999999994555,0.05329946666355876,-2.3108264592563725e-18,-0.10138226207708413,0.6578564028386196,none,panel,none,True,0.37933247844713547,2.6868428719425554,0.31315712805744456,True,1.5793324784471354,2.6868428719425554,0.8131571280574446,0.37933247844713547,2.0000000000000004,1.5793324784471354,2.4
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=0.7,0.04,1.7086649568943773,2.4,2.6736857438862947,-3.8596663529523766e-16,-0.04808279541513411,2.0770164648538746e-17,6.490769477783447,-4.9886861011376805e-17,0.34628252375405005,-2.6496591672696567e-14,-1.3108949840229515e-10,1.769519094367043e-15,0.0,-0.10060848524273196,0.0,0.020309285841390384,0.0,-0.10060848523948694,-0.10060848524273196,-1.2700455911872958e-17,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998667,0.05329946665466956,-7.674901694059545e-18,-0.10138226206980366,0.6578564027914597,none,panel,none,True,0.5086649568943773,2.6736857438862947,0.32631425611370535,True,1.7086649568943773,2.6736857438862947,0.8263142561137053,0.5086649568943773,2.0000000000000004,1.7086649568943773,2.4
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=1.1,0.06,1.8379974353416788,2.4,2.660528615830764,-1.0059595684727714e-15,-0.048082795418807646,7.863139928956497e-17,6.4907694777855545,-3.4680446569555993e-16,0.3462825237035187,-3.4599901113360825e-14,-2.376034725063833e-10,4.069340899027613e-15,0.0,-0.10060848524273196,0.0,0.030463928762087755,0.0,-0.10060848522925912,-0.10060848524273196,-1.202360661158948e-16,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.49999999999808,0.053299466646889275,-5.335453318394806e-17,-0.10138226206569692,0.6578564027648435,none,panel,none,True,0.6379974353416789,2.660528615830764,0.33947138416923606,True,1.8379974353416788,2.660528615830764,0.8394713841692361,0.6379974353416789,2.0000000000000004,1.8379974353416788,2.4
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=1.5,0.08,1.96732991378901,2.4,2.647371487775582,-1.7359576686290776e-15,-0.04808279542461824,1.8484428110124438e-16,6.490769477788088,-1.0301565741038161e-15,0.34628252365719303,-3.729380674043099e-14,-3.431012886303642e-10,6.537209263406096e-15,0.0,-0.10060848524273196,0.0,0.040618571682784606,0.0,-0.10060848521476201,-0.10471975511965978,-2.778403950100852e-16,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998142,0.053299466639751596,-1.5848562678524778e-16,-0.10138226206436983,0.6578564027562681,none,panel,none,True,0.7673299137890099,2.647371487775582,0.35262851222441816,True,1.96732991378901,2.647371487775582,0.8526285122244182,0.7673299137890099,2.0000000000000004,1.96732991378901,2.4
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=1.8,0.1,2.096662378597964,2.400000000026909,2.6342158359203065,-4.184578048496576e-09,-0.048100812390226885,2.1011847782854266e-10,6.490762765706997,-4.1397554044312033e-10,0.34597388002822427,-7.292012315864244e-07,-0.0027588343225632994,2.519788102862885e-08,0.0,-0.10169842715862884,0.0,0.05077321460348066,0.0,-0.1006084851975979,-0.10471975511965978,-4.2989073984982054e-16,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.4999768619857505,0.053252105278951495,-6.368877139612622e-11,-0.10135291766917838,0.6576643022129799,none,panel,none,True,0.8966623785979639,2.6342158359203065,0.3657841640796935,True,2.096662378597964,2.6342158359203065,0.8657841640796935,0.8966623785979639,1.9999999999730913,2.096662378597964,2.3999999999730908
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=2.2,0.12,2.2259946606045293,2.400000000192585,2.621066412982563,-2.707201697007588e-08,-0.04820820499243142,1.5858720417242615e-09,6.490766116319067,-4.610661974598426e-09,0.34489470829217544,-1.5748583043190611e-06,-0.008348122783719368,1.2002762713834464e-07,0.0,-0.1024994137357639,0.0,0.060927975472739364,0.0,-0.10035491083927355,-0.10471975511965978,-1.6990308856986024e-09,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.49992285620096,0.053086284804033775,-7.093410301323548e-10,-0.1012944897964652,0.6572810090902608,none,panel,none,True,1.0259946606045294,2.621066412982563,0.37893358701743685,True,2.2259946606045293,2.621066412982563,0.8789335870174368,1.0259946606045294,1.9999999998074154,2.2259946606045293,2.399999999807415
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=2.5,0.14,2.3553264389712627,2.4000000006631423,2.6079234773832733,-6.49202303686358e-08,-0.04844150320319629,5.355350509515487e-09,6.490800707347784,-2.4628771328514917e-08,0.3431684301153931,-2.159222707313087e-06,-0.015133606818459808,2.603539040799861e-07,0.0,-0.10308805014601022,0.0,0.07108279985304647,0.0,-0.09972568542657598,-0.10471975511965978,-8.22511076132502e-09,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499866028922008,0.05282078983093105,-3.789119840151469e-09,-0.10126229303412747,0.6570670603776302,none,panel,none,True,1.1553264389712627,2.6079234773832733,0.39207652261672665,True,2.3553264389712627,2.6079234773832733,0.8920765226167267,1.1553264389712627,1.999999999336858,2.3553264389712627,2.3999999993368575
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=2.9,0.16,2.484657311171879,2.40000000147979,2.594780629516726,-1.121124478542015e-07,-0.048816577187323525,1.2191265882284017e-08,6.490886858228079,-6.811000211525441e-08,0.3409817468730988,-2.4936661284804467e-06,-0.022434018571453267,4.206339894562872e-07,0.0,-0.10352063270526732,0.0,0.08123761186531372,0.07679448708775051,-0.09880868900124729,-0.10471975511965978,-1.7696380648755713e-08,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499836979341761,0.05248413800731589,-1.0478724671361206e-08,-0.10130071519464026,0.6573125817515336,none,panel,none,True,1.2846573111718789,2.594780629516726,0.40521937048327406,True,2.39999999852021,2.594780629516726,0.905219370483274,1.2846573111718789,1.9999999985202104,2.484657311171879,2.39999999852021
s4_latency_high_bank_reversal_left,bank_reversal,phi_ref_deg=3.3,0.18,2.6139868380758267,2.400007901869501,2.5816264762110634,0.0004539642589512339,-0.04933966967945069,2.810267022347769e-05,6.4910170601523305,0.0011801967604701095,0.338504359016869,0.06803419126293994,-0.029877550515326947,0.004221304570325579,0.020359045475576598,-0.10383853296987229,0.0,0.09139239484850047,0.07679448708775051,-0.09766201826586579,-0.10471975511965978,-2.7512542417155378e-08,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,high,0.118,0.098000:0.118000,0.073,0.0149,0.0169,0.118,0.06492127684000336,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499837618673748,0.052102465849085886,0.00018157326939436324,-0.1014422112159747,0.6582276261081184,none,panel,none,True,1.4139868380758267,2.5816264762110634,0.41837352378893655,True,2.399992098130499,2.5816264762110634,0.9183735237889366,1.4139868380758267,1.9999920981304995,2.6139868380758267,2.399992098130499
