scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.0,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,-0.0,0.0,-0.19214805292042555,-0.0,0.0,-5.764441587612767,-0.0,0.0,-0.0,-5.764441587612767,-0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.526333059890302,0.08729032780235926,0.0,-0.13537312321577802,0.6578564029119558,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,0.25,2.7,0.2999999999999998,True,1.45,2.7,0.7999999999999998,0.25,2.0000000000000004,1.45,2.4
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.02,1.5794654528309835,2.39999086612818,2.6878388596988714,-0.000608659110434122,-0.04306766320721206,-6.976244275649689e-05,6.497041808699421,-0.0005502234074379897,0.2852738886524794,-0.05403204567613692,0.42093249280152734,-0.0060222632488270865,0.0,-0.10060848524273196,0.0,0.0058292659449175775,0.0058292659449175775,-0.13766160688297208,-0.13766160688297208,0.0003867178283282836,0.0003867178283282836,0.015181469831959863,-0.2629143025127795,0.0007913321223455485,0.333992336303117,-7.887429075383384,0.022157299425675358,0.333992336303117,-0.333992336303117,-7.887429075383384,0.022157299425675358,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.53032971300588,0.08271944299521888,-0.00010795821084327203,-0.12578715622466116,0.5647355610040852,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,0.37946545283098354,2.6878388596988714,0.3121611403011286,True,1.5794654528309835,2.6878388596988714,0.8121611403011286,0.37946545283098354,2.00000913387182,1.5794654528309835,2.39999086612818
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.04,1.7091292193298033,2.3999677744679717,2.6774149562057072,-0.0019491410456848417,-0.032101536405424284,-0.00023730918967942912,6.499043522564641,-0.000433404926915024,0.2690816586768777,-0.07498494053496187,0.6530679477698553,-0.008825771471866552,0.0019060168878590957,-0.11272388300662546,0.00012644657467936557,0.008862892785475576,0.008862892785475576,-0.16385633908260788,-0.16385633908260788,0.0005495354108795675,0.0005495354108795675,0.0230821068583953,-0.3129425558632652,0.0011245021334423857,0.5078063508846966,-9.388276675897956,0.0314860597363868,0.5078063508846966,-0.5078063508846966,-9.388276675897956,0.0314860597363868,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.532724934074984,0.08620759922797623,-0.00015388175932102075,-0.11830927149742432,0.477536810256552,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,0.5091292193298034,2.6774149562057072,0.32258504379429276,True,1.7091292193298033,2.6774149562057072,0.8225850437942928,0.5091292193298034,2.0000322255320286,1.7091292193298033,2.3999677744679717
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.06,1.8389260417127713,2.3999318381480337,2.6688115629758817,-0.003466529725765953,-0.016874541335839516,-0.0004690973477885477,6.49740442035017,-5.894912706104786e-05,0.2716625519335887,-0.07370964256690744,0.8804521911456009,-0.009907032104462357,0.004180732619289737,-0.12944285340863787,0.00026478551383264486,0.009797535064726911,0.009797535064726911,-0.1927671914546708,-0.1927671914546708,0.0005971413661220412,0.0005971413661220412,0.02551624585637663,-0.3681582166314315,0.00122191714469533,0.5613574088402858,-11.044746498942946,0.03421368005146924,0.5613574088402858,-0.5613574088402858,-11.044746498942946,0.03421368005146924,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.5318584117237375,0.0937996903961986,-0.00018953406304288365,-0.11067432456617023,0.38125796334058504,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,0.6389260417127713,2.6688115629758817,0.33118843702411827,True,1.8389260417127713,2.6688115629758817,0.8311884370241183,0.6389260417127713,2.0000681618519667,1.8389260417127713,2.3999318381480337
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.08,1.968765367536288,2.399879240372547,2.662209271562228,-0.004817722553360524,0.0041996614077661545,-0.0007599800542900459,6.489447348342892,0.00032418743208825545,0.30533083207023404,-0.059698819787462123,1.2689071514784838,-0.01021234679440228,0.006017279522095849,-0.15014824905686192,0.00037345714988910373,0.009342287766098578,0.009342287766098578,-0.23885372320507461,-0.23885372320507464,0.0005977705408743974,0.0005977705408743974,0.024330620908825026,-0.4561770086878917,0.0012232046110484086,0.5352736599941506,-13.68531026063675,0.03424972910935544,0.5352736599941506,-0.5352736599941506,-13.68531026063675,0.03424972910935544,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.525369119981784,0.10736842105412155,-0.00024117139469173764,-0.10316867445181696,0.2780696327958392,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,0.768765367536288,2.662209271562228,0.3377907284377719,True,1.968765367536288,2.662209271562228,0.8377907284377719,0.768765367536288,2.0001207596274533,1.968765367536288,2.399879240372547
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.1,2.0984843879798567,2.399804053384384,2.6577451090725615,-0.005837472761102561,0.03539677911649452,-0.0011339585020999137,6.469265253024941,0.0006078928894267247,0.39378876452046374,-0.041075149248640794,1.8704832931504711,-0.010352328539218796,0.007104469903393425,-0.17915260970358354,0.0004468017382868381,0.008193745857635873,0.008193745857635873,-0.30943327883260513,-0.30943327883260513,0.0005930019043459284,0.0005930019043459286,0.02133941163842439,-0.5909740306001022,0.0012134466557943663,0.46946705604533656,-17.729220918003065,0.033976506362242254,0.46946705604533656,-0.46946705604533656,-17.729220918003065,0.033976506362242254,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.508564040180163,0.13050578625514175,-0.0003130833247067853,-0.09510861129392838,0.16458850571333303,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,0.8984843879798567,2.6577451090725615,0.34225489092743855,True,2.0984843879798567,2.6577451090725615,0.8422548909274385,0.8984843879798567,2.0001959466156163,2.0984843879798567,2.399804053384384
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.12,2.2278338604159402,2.39969838354125,2.65589219562359,-0.00649710145116476,0.07906567136292952,-0.0016156603238088704,6.4315960041229445,0.0008223621537934101,0.5224658174874519,-0.022177063963292255,2.482499065815403,-0.01062390886020341,0.007460634536117913,-0.22175096734722496,0.0004946053533817007,0.0067656774121445575,0.0067656774121445575,-0.3901010484879056,-0.3901010484879056,0.0005992016208413933,0.0005992016208413934,0.017620216421039815,-0.7450381220661758,0.0012261329982717866,0.38764476126287595,-22.351143661985276,0.03433172395161003,0.38764476126287595,-0.38764476126287595,-22.351143661985276,0.03433172395161003,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.474441383994681,0.1609099396634699,-0.0003896386756284732,-0.08184341184497985,0.012828484903500088,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.0278338604159403,2.65589219562359,0.3441078043764101,True,2.2278338604159402,2.65589219562359,0.8441078043764101,1.0278338604159403,2.00030161645875,2.2278338604159402,2.39969838354125
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.14,2.3564399819957327,2.399552118653283,2.6575973090601845,-0.006826741917684686,0.13428075141578555,-0.002205500859599185,6.37113777126584,0.0010685212421186162,0.667272121014129,-0.0050277895561864315,3.019438117311668,-0.011097359550473897,0.007233401806105638,-0.27679702301849757,0.0005288055861501201,0.005281498297997923,0.005281498297997923,-0.4735785989708334,-0.47357859897083343,0.0006158014385203241,0.0006158014385203241,0.013754889180945844,-0.9044684996249102,0.001260100837332122,0.30260756198080857,-27.13405498874731,0.03528282344529941,0.30260756198080857,-0.30260756198080857,-27.13405498874731,0.03528282344529941,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.414853805435944,0.19478532062683804,-0.0004446791798086941,-0.060503099242204574,-0.1917098360847063,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.1564399819957327,2.6575973090601845,0.34240269093981546,True,2.3564399819957327,2.6575973090601845,0.8424026909398155,1.1564399819957327,2.0004478813467172,2.3564399819957327,2.399552118653283
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.16,2.4837300250794376,2.3993556309301067,2.66387807022841,-0.006904979492843709,0.19917192756215704,-0.002891195463158183,6.282005130279714,0.001425494582807077,0.8167923053978647,0.00748054352314031,3.4420022509385193,-0.011921233657157736,0.006595180615808355,-0.3411394308840531,0.000557250945369985,0.004085431292676565,0.004085431292676565,-0.5235987755982988,-0.5235987755982988,0.0006477671070550454,0.0006477671070550454,0.010639907752774697,-0.9999999999999999,0.0013255114764876097,0.23407797056104335,-29.999999999999996,0.03711432134165307,0.23407797056104335,-0.23407797056104335,-29.999999999999996,0.03711432134165307,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.322479341985221,0.23027713271074568,-0.0004585448100488269,-0.03110297074011425,-0.4423268628726016,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.2837300250794377,2.66387807022841,0.33612192977158983,True,2.3993556309301067,2.66387807022841,0.8361219297715898,1.2837300250794377,2.0006443690698936,2.4837300250794376,2.3993556309301067
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.18,2.608936238777627,2.399102485760098,2.6754414664576673,-0.006884446048930113,0.2707831387882519,-0.0036604397229223155,6.159504207995595,0.001877448895641186,0.968468775749327,0.010351301713959534,3.676217742622145,-0.013772926719608584,0.005774558492991523,-0.4007988452355755,0.0005868473532927237,0.0037839820628551256,0.0037839820628551256,-0.5235987755982988,-0.5235987755982988,0.0007360438111114707,0.0007360438111114707,0.009854827361582077,-0.9999999999999999,0.0015061501397647013,0.21680620195480568,-29.999999999999996,0.042172203913411636,0.21680620195480568,-0.21680620195480568,-29.999999999999996,0.042172203913411636,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.194156890400165,0.26692355397312,-0.00043639189166371026,0.0038627125164877496,-0.7144370247295642,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.408936238777627,2.6754414664576673,0.32455853354233266,True,2.399102485760098,2.6754414664576673,0.8245585335423327,1.408936238777627,2.0008975142399024,2.608936238777627,2.399102485760098
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.2,2.731227973555035,2.3987905902686264,2.6923003046328455,-0.007050679964449934,0.34397263861631594,-0.004525638709516501,6.001136918464741,0.0023094785379589064,1.1263175620575943,-0.0031227256456143725,3.5742737939593403,-0.018462591341385448,0.005123692272739173,-0.4409511977463308,0.0006356306771105753,0.00524774853967639,0.00524774853967639,-0.5235987755982988,-0.5235987755982988,0.0009942846609283255,0.0009942846609283255,0.013666992875881738,-0.9999999999999999,0.0020345826680638985,0.3006738432693982,-29.999999999999996,0.056968314705789155,0.3006738432693982,-0.3006738432693982,-29.999999999999996,0.056968314705789155,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.033908820203673,0.3054284753096769,-0.0004213028439542409,0.03854840299538392,-0.9634625446743056,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.531227973555035,2.6923003046328455,0.30769969536715447,True,2.3987905902686264,2.6923003046328455,0.8076996953671545,1.531227973555035,2.001209409731374,2.731227973555035,2.3987905902686264
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.22,2.8499215854841853,2.3984242001089426,2.7135680251306695,-0.007611591352010155,0.4110804808004159,-0.005511731091620905,5.811134671344205,0.0029760271121575714,1.2740126589904328,-0.01326250088286239,3.1010696786140337,-0.023699869936876998,0.005164255414318475,-0.4679747853841269,0.0007529011115896528,0.006654364034693348,0.006654364034693348,-0.5235987755982988,-0.5235987755982988,0.0012719190009788568,0.0012719190009788568,0.0173303170241625,-0.9999999999999999,0.002602699665663733,0.381266974531575,-29.999999999999996,0.07287559063858452,0.381266974531575,-0.381266974531575,-29.999999999999996,0.07287559063858452,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,5.84952742797436,0.3432973966886341,-0.00039548304331329286,0.06778927172668477,-1.1543100129199753,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.6499215854841853,2.7135680251306695,0.2864319748693305,True,2.3984242001089426,2.7135680251306695,0.7864319748693305,1.6499215854841853,2.0015757998910577,2.8499215854841853,2.3984242001089426
s4_gaussian_four_panel_control_reference,nominal_glide,trim,0.24,2.9645337818099073,2.3980140176020286,2.738232016605292,-0.008273449775059236,0.4679844689321421,-0.006562433313237217,5.6078191204803085,0.004095378331962845,1.368933600731413,-0.006792039587486227,2.610567983891146,-0.025790765358442477,0.005651481803029598,-0.48616236950194497,0.0009226063320452954,0.006470618801290087,0.006470618801290088,-0.5235987755982988,-0.5235987755982988,0.0013346064400221993,0.0013346064400221993,0.016851779461450996,-0.9999999999999999,0.002730975583008988,0.37073914815192194,-29.999999999999996,0.07646731632425166,0.37073914815192194,-0.37073914815192194,-29.999999999999996,0.07646731632425166,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,5.647902669823795,0.37284711193711445,-0.00028335297731593267,0.09514642853454316,-1.3079492348011263,four_gaussian_var,panel,01_Thermal/B_results/four_var_params.xlsx,True,1.7645337818099074,2.738232016605292,0.2617679833947082,True,2.3980140176020286,2.738232016605292,0.7617679833947082,1.7645337818099074,2.0019859823979718,2.9645337818099073,2.3980140176020286
