name,value,limit,pass_check,required,units,reason
terminal_speed_min,6.435190131835644,5.0,True,True,m/s,terminal_speed_above_handoff_minimum
terminal_speed_max,6.435190131835644,8.0,True,True,m/s,terminal_speed_below_handoff_maximum
terminal_alpha_boundary,4.298288821734803,15.0,True,True,deg,terminal_alpha_within_recovery_handoff_bound
terminal_beta_boundary,0.07446211322533772,10.0,True,True,deg,terminal_beta_within_recovery_handoff_bound
terminal_bank_boundary,1.3669689248770918,12.0,True,True,deg,terminal_bank_within_recovery_handoff_bound
terminal_pitch_boundary,1.989013496813632,20.0,True,True,deg,terminal_pitch_within_recovery_handoff_bound
terminal_rate_boundary,0.05314750780891024,0.6,True,True,rad/s,terminal_body_rate_norm_within_recovery_handoff_bound
max_alpha_boundary,4.345779453892032,20.0,True,True,deg,trajectory_alpha_within_w0_recovery_bound
max_beta_boundary,8.021409131831525,15.0,True,True,deg,trajectory_beta_within_w0_recovery_bound
max_rate_boundary,0.715143876964915,2.0,True,True,rad/s,trajectory_rate_within_w0_recovery_bound
saturation_fraction,0.0,0.2,True,True,-,requested_commands_do_not_excessively_clip
true_safe_trajectory,True,true,True,True,-,full_trajectory_inside_true_safe_bounds
terminal_x_w_m,5.228108716520869,5.5,True,True,m,terminal_x_against_existing_glide_entry_upper_bound
terminal_glide_entry_x_margin_m,0.27189128347913094,0.0,True,True,m,positive_margin_means_terminal_x_inside_existing_glide_entry
terminal_glide_entry_proxy,True,true,True,True,-,terminal_state_matches_existing_glide_w0_nominal_entry_set
terminal_glide_entry_proxy_source,build_glide_primitive_spec + evaluate_entry_set,build_glide_primitive_spec + evaluate_entry_set,True,True,-,handoff_proxy_uses_existing_glide_spec_and_entry_evaluator
diagnostic_case,False,diagnostic,True,False,-,case_role_recorded_for_acceptance_gate
