scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s6_single_gaussian_var,nominal_glide,trim,0.0,4.2,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,7.173348121398298,0.3995385849764958,0.0,-0.4476213803899146,0.6578564029119558,single_gaussian_var,panel,,True,2.0000000000000004,2.7,0.2999999999999998,True,2.4,2.7,0.7999999999999998,2.3999999999999995,2.0000000000000004,3.8,2.4
s6_single_gaussian_var,nominal_glide,trim,0.02,4.329560438101765,2.3999999937000887,2.6905221207336614,4.366196534311089e-06,-0.03345363907600374,-3.8291668916758115e-08,6.4942093879262055,2.951348920298012e-07,0.08724339935878994,0.0003720291964305535,1.2734945564864537,-2.6820276163782075e-06,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,7.024110340888127,0.35990492257044965,1.525496803533142e-06,-0.39335856164954536,0.30440900074685456,single_gaussian_var,panel,,True,2.0000000062999117,2.6905221207336614,0.30947787926633863,True,2.3999999937000887,2.6905221207336614,0.8094778792663386,2.2704395618982343,2.0000000062999117,3.6704395618982346,2.3999999937000887
s6_single_gaussian_var,nominal_glide,trim,0.04,4.459473734116675,2.400000024258227,2.6876070314261384,1.4715020363335293e-05,-0.0008687187686778619,4.701888666177058e-07,6.503654346318012,1.3478379480084945e-06,-0.020769870956952333,0.0006842055971079876,1.9761387496161014,2.6315243814371542e-05,0.0,-0.10060848524273196,0.0,-3.4421664920597506e-05,0.0,-0.19667467061928062,-0.10060848524273196,1.259324122494239e-07,0.0,0.0,-0.4,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.866786022355515,0.32578951349111207,4.950435332250616e-06,-0.3266582322959655,-0.015120017212638186,single_gaussian_var,panel,,True,1.9999999757417735,2.6876070314261384,0.31239296857386156,True,2.399999975741773,2.6876070314261384,0.8123929685738616,2.1405262658833246,1.9999999757417735,3.540526265883325,2.399999975741773
s6_single_gaussian_var,nominal_glide,trim,0.06,4.589665437673565,2.4000002008353962,2.6913167565250107,2.964202614692054e-05,0.046313362386736744,1.8809325383119895e-06,6.520526161811624,-1.3366871703816067e-06,-0.05023429177756611,0.0006880879951437791,2.691963274802073,-8.911181264738015e-06,0.0,-0.10060848524273196,0.0,-7.314411053666472e-05,0.0,-0.28019992346564127,-0.10060848524273196,-1.3817818593338925e-06,0.0,0.0,-0.6,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.707215164829872,0.28866302340311567,8.460935590272732e-06,-0.2423496611369129,-0.3520599727470494,single_gaussian_var,panel,,True,1.9999997991646041,2.6913167565250107,0.3086832434749893,True,2.3999997991646036,2.6913167565250107,0.8086832434749893,2.0103345623264346,1.9999997991646041,3.410334562326435,2.3999997991646036
s6_single_gaussian_var,nominal_glide,trim,0.08,4.719685058618492,2.4000005319948596,2.701231536847379,4.015633539950587e-05,0.1028826660423512,3.0510620763003515e-06,6.515472876242485,2.952033394861214e-06,0.04521296318510948,0.0003362802921344906,2.851356825450095,-7.137551928052681e-05,0.0,-0.10060848524273196,0.0,-8.79868319586694e-05,0.0,-0.3682206401223278,-0.10471975511965978,2.718061886355966e-07,0.0,0.0,-0.8,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.566497576250338,0.25995160258033484,1.0494602088532275e-05,-0.15706893674497235,-0.624173402610775,single_gaussian_var,panel,,True,1.8803149413815072,2.701231536847379,0.29876846315262107,True,2.39999946800514,2.701231536847379,0.7987684631526211,1.8803149413815072,1.9999994680051407,3.2803149413815076,2.39999946800514
s6_single_gaussian_var,nominal_glide,trim,0.1,4.84891342468049,2.4000010665763645,2.7158872095638147,4.4332899881065865e-05,0.15850254343053408,3.6606409888361204e-06,6.484469994673395,1.78983551171175e-05,0.1944101206545969,9.308816618715937e-05,2.6742967536063893,-0.00010073295995848568,0.0,-0.10195276253081881,0.0,-6.577147329760044e-05,0.0,-0.42615085970300526,-0.10471975511965978,3.631813866180513e-06,0.0,0.0,-0.8,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.452769170545592,0.23505443700112885,1.1763030596785838e-05,-0.07655189385509059,-0.8315336477852328,single_gaussian_var,panel,,True,1.7510865753195093,2.7158872095638147,0.2841127904361853,True,2.3999989334236353,2.7158872095638147,0.7841127904361853,1.7510865753195093,1.9999989334236359,3.1510865753195096,2.3999989334236353
s6_single_gaussian_var,nominal_glide,trim,0.12,4.976923215027454,2.4000018507306953,2.734208083369886,4.487006031492426e-05,0.20967760838379657,3.83483530393162e-06,6.43230191568632,3.7024759740946603e-05,0.35223070340880414,-2.340741305603282e-05,2.448749805754207,-0.00010892129909653569,0.0,-0.1028574964463318,0.0,-4.344421106682002e-05,0.0,-0.455919834128535,-0.20943951023931956,5.061538325124484e-06,0.0,0.0,-0.8,0.0,0.0,-12.000000000000002,0.0,0.0,-0.0,-12.000000000000002,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.364770992194343,0.21294588729332006,1.2816845784382993e-05,-0.0032682792636655935,-0.9943326086583432,single_gaussian_var,panel,,True,1.6230767849725458,2.734208083369886,0.26579191663011414,True,2.3999981492693045,2.734208083369886,0.7657919166301141,1.6230767849725458,1.999998149269305,3.023076784972546,2.3999981492693045
s6_single_gaussian_var,nominal_glide,trim,0.14,5.1034055013761455,2.4000028871811705,2.7554720574607194,4.382361831907812e-05,0.2566890065359235,3.7460044562877793e-06,6.361710339557979,5.6442890727960844e-05,0.5027137440526906,-7.04538837322815e-05,2.260010146918142,-0.0001075158313383775,0.0,-0.13770701612017439,0.0,-3.070296502983335e-05,0.0,-0.4764315283012131,-0.3141592653589793,4.870525255884941e-06,0.0,0.0,-1.0,0.0,0.0,-18.0,0.0,0.0,-0.0,-18.0,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.2926867142844785,0.1954816691919583,1.3980853180790146e-05,0.06120733692499302,-1.1288646755012943,single_gaussian_var,panel,,True,1.4965944986238542,2.7554720574607194,0.24452794253928056,True,2.3999971128188293,2.7554720574607194,0.7445279425392806,1.4965944986238542,1.9999971128188299,2.8965944986238545,2.3999971128188293
s6_single_gaussian_var,nominal_glide,trim,0.16,5.228053562308278,2.4000041631253035,2.7792681072410175,4.2140777178873435e-05,0.30033744285272046,3.515449794836277e-06,6.273967327198906,7.459048754292627e-05,0.6350519610190475,-8.792856280312156e-05,2.1119907378004275,-0.00010197240810350911,0.0,-0.19540226799714805,0.0,-2.4419532137510527e-05,0.0,-0.4965646020414746,-0.4188790204786391,3.945492024074006e-06,0.0,0.0,-1.0,0.0,0.0,-24.000000000000004,0.0,0.0,-0.0,-24.000000000000004,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.223591946096923,0.18327715285873708,1.5365371609504503e-05,0.1170602895129627,-1.2494816129486257,single_gaussian_var,panel,,True,1.3719464376917214,2.7792681072410175,0.22073189275898253,True,2.3999958368746963,2.7792681072410175,0.7207318927589825,1.3719464376917214,1.9999958368746968,2.7719464376917218,2.3999958368746963
s6_single_gaussian_var,nominal_glide,trim,0.18,5.350527980202209,2.4000056650525035,2.8054141682124767,4.020637422013262e-05,0.34137193636165486,3.2223206088807735e-06,6.170286430562834,9.09081976987065e-05,0.7437579267034685,-9.551446091593946e-05,1.9958712929012052,-9.4690475113539e-05,0.0,-0.26847329757420946,0.0,-2.1129878967157204e-05,0.0,-0.5180772630823487,-0.4188790204786391,2.7490537854194973e-06,0.0,0.0,-1.0,0.0,0.0,-24.000000000000004,0.0,0.0,-0.0,-24.000000000000004,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.1471350588722125,0.1759627598831542,1.6962407311795014e-05,0.16540917593812327,-1.3648492730677666,single_gaussian_var,panel,,True,1.2494720197977909,2.8054141682124767,0.1945858317875233,True,2.3999943349474964,2.8054141682124767,0.6945858317875233,1.2494720197977909,1.999994334947497,2.6494720197977912,2.3999943349474964
