time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd,phase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.06,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.08,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.1,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.12,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.14,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.16,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.18,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.2,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.22,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.24,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.26,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.28,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.3,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.32,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.34,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.36,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.38,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.4,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
0.42,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
0.44,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
0.46,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
