time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd,phase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.1,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.12,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.14,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.16,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.18,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.2,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.22,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.24,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.26,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.28,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.3,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.32,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.34,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.36,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.38,0.58,0.06,0.08,0.58,0.06,0.08,0.22270401255447644,0.023038346126325146,0.039095375244672985,roll_in
0.4,0.22,0.1,0.1,0.22,0.1,0.1,0.08447393579652555,0.038397243543875255,0.04886921905584123,turn_hold
0.42,0.22,0.1,0.1,0.22,0.1,0.1,0.08447393579652555,0.038397243543875255,0.04886921905584123,turn_hold
0.44,0.22,0.1,0.1,0.22,0.1,0.1,0.08447393579652555,0.038397243543875255,0.04886921905584123,turn_hold
0.46,0.22,0.1,0.1,0.22,0.1,0.1,0.08447393579652555,0.038397243543875255,0.04886921905584123,turn_hold
0.48,0.22,0.1,0.1,0.22,0.1,0.1,0.08447393579652555,0.038397243543875255,0.04886921905584123,turn_hold
0.5,0.22,0.1,0.1,0.22,0.1,0.1,0.08447393579652555,0.038397243543875255,0.04886921905584123,turn_hold
0.52,-0.34,-0.04,-0.12,-0.34,-0.04,-0.12,-0.15428710587629874,-0.020943951023931952,-0.07330382858376185,heading_capture
0.54,-0.34,-0.04,-0.12,-0.34,-0.04,-0.12,-0.15428710587629874,-0.020943951023931952,-0.07330382858376185,heading_capture
0.56,-0.34,-0.04,-0.12,-0.34,-0.04,-0.12,-0.15428710587629874,-0.020943951023931952,-0.07330382858376185,heading_capture
0.58,-0.34,-0.04,-0.12,-0.34,-0.04,-0.12,-0.15428710587629874,-0.020943951023931952,-0.07330382858376185,heading_capture
0.6,-0.34,-0.04,-0.12,-0.34,-0.04,-0.12,-0.15428710587629874,-0.020943951023931952,-0.07330382858376185,heading_capture
0.62,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.64,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.66,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.68,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.7000000000000001,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.72,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.74,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
0.76,-0.08,-0.1,-0.04,-0.08,-0.1,-0.04,-0.03630284844148206,-0.05235987755982989,-0.024434609527920616,unload_exit
