time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,phase
0.0,1.3,2.2,1.8,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0,entry
0.02,1.42947510752592,2.2,1.7883263540797163,-3.6327681549495966e-19,-0.01710368393417665,-3.390610163426799e-21,6.482794440528865,-1.396981454905409e-20,0.4731902558085031,-5.344114650432531e-17,0.008616089836055302,-3.654945956704261e-19,0.0,-0.008495932435417096,0.0,entry
0.04,1.5589502685935346,2.2,1.7766381836129654,-1.2378087941894463e-18,-0.016763096566069613,2.2008188651999566e-20,6.482661014177687,-4.470602676787739e-20,0.4761704941449035,-2.4416337620488665e-17,0.02636276198239229,2.3757417223370016e-18,0.0,-0.0060878775115926,0.0,entry
0.06,1.6884261411720005,2.2,1.7649410528272542,-1.1907615665294742e-18,-0.01603856744198338,8.262269774957415e-20,6.482370330882075,-7.901251904241758e-19,0.4808422124114671,-1.0458544520144818e-17,0.046156765654438894,2.7116840995969785e-18,0.0,-0.004362352558461158,0.0,entry
0.08,1.8179034658248407,2.2,1.7532589049600074,-1.2927436311752004e-18,-0.014926337112919151,1.4226565768026387e-19,6.481892032761789,-1.4255728176567755e-18,0.48648319194022627,1.10521474962114e-17,0.06476146173794554,3.1970495373844893e-18,0.0,-0.003125903865193618,0.0,entry
0.1,1.9473824052590984,2.2,1.741627153862974,-1.2638444551433492e-18,-0.013465245553618017,2.0852189926567888e-19,6.481195760890306,-2.063543259657675e-18,0.492437727533001,1.7607234951850503e-17,0.08091556024412475,3.1017352457531607e-18,0.0,-0.0022399095083408998,0.0,entry
0.12,2.0768620685537242,2.2,1.7300864300928638,-1.3819112467125331e-18,-0.011708347317550685,2.945486679409089e-19,6.480247754287803,-2.3461335548310452e-18,0.49823143463828345,-5.2872952231634236e-17,0.09433234526317649,5.077280871600073e-18,0.0,-0.0016050380376125893,0.0,shallow_pre_dive
0.14,2.2063404683363284,2.2,1.7187127612137294,-1.8167558635250887e-18,-0.010247716803173575,4.0908178868885596e-19,6.479236474795726,-3.700254481614296e-18,0.4955024508795423,-3.3569088883609852e-18,0.02690478378147436,6.132653214597117e-18,0.0,-0.03187033103642467,0.0,shallow_pre_dive
0.16,2.335811154212341,2.2,1.7076418807440432,-2.0308909123907852e-18,-0.011144438181651676,5.195645093667082e-19,6.478809302597103,-4.911528559676654e-18,0.4732427105947094,-1.155526542176856e-17,-0.1251877237895015,4.335694281260472e-18,0.0,-0.053557343972301816,0.0,shallow_pre_dive
0.18,2.465260920559583,2.2,1.6968581702244498,-2.3659315514755744e-18,-0.015367503441128482,5.936259738326438e-19,6.479189437249061,-5.762844586330658e-18,0.43500784125164227,-1.7545201965695613e-17,-0.2981180258101489,1.6210821449732019e-18,0.0,-0.06909747206884341,0.0,shallow_pre_dive
0.2,2.5946771523461365,2.2,1.6861756709239326,-2.3069897398462436e-18,-0.02299975921884706,6.354857186395747e-19,6.480448117811013,-6.324717204596554e-18,0.3872524887859984,8.475221510496245e-18,-0.4627071506088517,5.953120682104287e-20,0.0,-0.08023296509275414,0.0,shallow_pre_dive
0.22,2.7240525374123643,2.2,1.675298986898994,-2.7336435579056585e-18,-0.03373303738497561,6.560289888681848e-19,6.482722893070676,-6.72096886044116e-18,0.3359330431750633,-3.7157387726694766e-17,-0.6069593945848737,-1.5476487749763998e-19,0.0,-0.08821225613303585,0.0,shallow_pre_dive
0.24,2.853385649130716,2.2,1.6638789363221533,-3.4314614909470547e-18,-0.04711762576822741,6.951847021648117e-19,6.486278477476389,-7.02959380640009e-18,0.28543158470686397,-3.028144707285446e-17,-0.7276686566372333,-2.4357542954629187e-19,0.0,-0.09392992713052166,0.0,climb_roll
0.26,2.9826780259940793,2.2000030191166755,1.6514710641389103,0.0010163793333889228,-0.061394414628255456,4.323402339713283e-05,6.491612835299406,0.000484220711850346,0.25789184868779813,0.15144987042736402,-0.6373105622585229,0.0070988729739062265,0.04755945000616819,-0.024753592093341714,0.015929002394410398,climb_roll
0.28,3.1119240463598383,2.200019332986295,1.6374961477795764,0.006630768479939666,-0.07126339119816394,0.0002961863202858399,6.497517784281602,0.0011331589035832,0.28128016414240703,0.4216455843547822,-0.326019796897256,0.02209950596825361,0.08163882956305721,0.02481566444307374,0.02734314865748328,climb_roll
0.3,3.2411233067304637,2.200050876345165,1.6217632649228566,0.017693993430283723,-0.0740906033896204,0.0008857289486402351,6.502745562869511,0.0025116812983217484,0.34755745720197745,0.6849515625518974,0.04823638651305401,0.03940984066697152,0.10605887880315304,0.06033519857642073,0.035522112517802455,climb_roll
0.32,3.3703086858050426,2.200110852405511,1.6045230337401903,0.03357337944619008,-0.06948157061525821,0.001963179364458763,6.506186523827542,0.006365672512747548,0.4409890469546881,0.9029206090642767,0.4106010796850476,0.054879225040187024,0.12355740174114357,0.0857872104322605,0.04138286182717727,climb_roll
0.34,3.499542332297926,2.2002407826489043,1.5863149623731605,0.05327426276514775,-0.05807066701810759,0.003684397545695727,6.5067696466588165,0.014721923468596056,0.5468174357464782,1.0703487072424573,0.7285153541081533,0.06555897816038804,0.13609620958714191,0.10402520040920739,0.04558246254114801,climb_roll
0.36,3.628892974569982,2.2005211847060204,1.5678224965557406,0.07585494564944875,-0.04091382759187056,0.006173398061421186,6.503615247777401,0.02933324115962363,0.6539847381244714,1.1935096867180175,0.9900860466325939,0.07021847410305349,0.14508106520930017,0.11709388355626858,0.04859174432847375,climb_roll
0.38,3.758409207846492,2.2010740869760244,1.5497574085185295,0.10055692239615326,-0.019194157437551717,0.009510209512415917,6.4960650070001025,0.051419244767522354,0.7553785523052389,1.2816884978248728,1.1933113506352915,0.06941131981263504,0.15151928737065126,0.12645842863026874,0.05074808667916549,climb_roll
0.4,3.8880987093677426,2.2020577952527063,1.5327770248197599,0.12681904212069495,0.005922473929823705,0.013738926188538819,6.483634044550657,0.08159143415615429,0.8470982157793407,1.3434985947795743,1.3413891652987353,0.0650330832858452,0.1561326842177511,0.133168722502739,0.05229324351790706,climb_roll
0.42,4.017918210755066,2.2036566605630976,1.517433962720371,0.15423538722064278,0.03337018163227917,0.01888320355988869,6.465977569695979,0.11987863500223242,0.927422137855086,1.3848251957078814,1.4409774188029225,0.059564034829065554,0.15943847732886737,0.13797707608522414,0.053400446952252226,climb_roll
0.44,4.147774368471991,2.2060695284203735,1.5041556128847604,0.18248695946920993,0.062239054145605543,0.024960035652545023,6.442891014014176,0.1658044550069156,0.9958978370930065,1.4082117739382982,1.501044260697145,0.0553250911793041,0.1618072889563288,0.14142256813275592,0.05419382883704791,crest_redirect
0.46,4.2775353359957835,2.209498087071422,1.493296955936906,0.2110762082865602,0.09144483317894289,0.03200526156309262,6.415738152001136,0.21591782505462823,1.0437101831857465,1.3850904239534017,1.4829912303751729,0.06740304779382518,0.1459827909505914,0.11385393558667979,0.09299194331075242,crest_redirect
0.48,4.407040374435474,2.2141321942199843,1.485234267377515,0.23904368080255936,0.11929642786172111,0.040153968078456004,6.385921241979435,0.264734052589714,1.06476886072443,1.3217373649937538,1.4090386032242534,0.10459032004593913,0.13464352874792057,0.0940992518743938,0.12079326710801076,crest_redirect
0.5,4.536096526603627,2.220148734802797,1.4801487333681194,0.26599429778038736,0.14512475956449156,0.049600365901992516,6.353438139938074,0.3095201771123752,1.0656838980603445,1.2478210579789302,1.3261355290177967,0.15916672226590722,0.1265182240934347,0.07994376092212299,0.14071468894421496,crest_redirect
0.52,4.6645067933194095,2.227706843649163,1.478054323940145,0.29193191264324836,0.16878696735857338,0.06048715649802562,6.3184408990316765,0.34877375236035024,1.0524047023833953,1.1761479559087273,1.245645449085439,0.2243820465344052,0.12069592502774601,0.06980044873255857,0.1549896583978325,crest_redirect
0.54,4.7920861680637055,2.23694527427298,1.478862038817717,0.3170123490181608,0.1902517141021765,0.0728718941702383,6.2811789059146586,0.38179992327185724,1.0293185908517226,1.1115822666080073,1.1682047304861756,0.29541021400296025,0.11652387636596394,0.06253211854734085,0.1652185845546685,crest_redirect
0.56,4.9186680230279745,2.2479799128597855,1.482415072327531,0.3414256675423124,0.2094948017115922,0.08674246324648732,6.241923112574155,0.40835701608961145,0.9996172916733027,1.0552117957275393,1.092986503322563,0.36930802820506714,0.1135343373814668,0.05732389635186335,0.17254826260840953,crest_redirect
0.58,5.044106680971655,2.2609021538652088,1.4885087345097898,0.3653468407510763,0.2264997023774376,0.10204858544958526,6.2009076108919094,0.4284428681203034,0.9658187919965697,1.0066352088549977,1.0205213169508296,0.44448910297343514,0.11139214200831635,0.05359187293709991,0.17780044446481963,crest_redirect
