time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd,phase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.16,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.18,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.2,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.22,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.24,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.26,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.28,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.3,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.32,0.0,-0.207,0.0,0.0,-0.207,0.0,0.0,-0.10838494654884787,0.0,shallow_pre_dive
0.34,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.36,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.38,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.4,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.42,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.44,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.46,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.48,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.5,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.52,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.54,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.56,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.58,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.6,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.62,0.43699999999999994,0.391,0.11499999999999999,0.43699999999999994,0.391,0.11499999999999999,0.16779595428673483,0.15013322225655223,0.056199601914217405,climb_roll
0.64,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.66,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.68,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.7000000000000001,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
