time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,3.9,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.030040109505111,2.2,1.8029004077328727,-6.835179011277797e-19,0.0009045290159911296,2.982272424771763e-20,6.504104721621451,-1.1600978018744407e-19,-0.2835360577672296,-2.7678575991557003e-17,0.08344847351217427,2.8990631548554578e-18,0.0,-0.005936274184252319,0.0
0.04,4.160143112478436,2.2,1.811474929957375,-1.0210360052892572e-18,0.0031121175177778668,8.446868172344115e-20,6.50783662489553,5.948739584706861e-19,-0.543119608439699,-6.037785117016471e-18,0.13268196610420746,7.263832172386393e-19,0.0,-0.01018999328850308,0.0
0.06,4.290272490172498,2.2,1.8251828862930985,-1.1315054436828233e-19,0.006089137009057611,-8.591551180527096e-20,6.5114856731746205,-1.2472347264940518e-19,-0.7604258524169127,2.190390881559408e-17,0.16441344973573394,-1.6415292680556503e-17,0.0,-0.013238054354460543,0.0
0.08,4.420432688078302,2.2,1.8432124864190533,-6.553822162097795e-20,0.009867795326045158,-3.902913080295862e-19,6.520549436064865,2.00446898405009e-18,-0.9361391226625202,1.5260867923758145e-17,0.2288260722602592,-1.640657290825138e-17,0.0,-0.015422184531867306,0.0
0.1,4.550835984069022,2.2,1.865415370537801,7.875969808754641e-19,0.016262983210589853,-5.923395984025847e-19,6.549932755615883,3.483523224113077e-18,-1.1174068402058797,7.885544028547806e-17,0.4010914421677452,-7.168653886330356e-18,0.0,-0.016987253120924722,0.0
0.12,4.681580213119453,2.2,1.8916997087273657,8.575501203992507e-19,0.023736829170912577,-7.735147906920079e-19,6.570362504496971,4.265429861203615e-18,-1.2220945850909692,-4.949429198154275e-18,0.3044410694060311,-9.043547324739511e-18,0.0,-0.018108724594462267,0.0
0.14,4.812296700373228,2.2,1.919423401212358,-4.018771940059364e-20,0.02818784545082055,-9.268749459144417e-19,6.566559008998498,6.750439552573078e-18,-1.1849962778091259,-8.012326529163266e-17,0.143936640756911,-6.833062519855839e-18,0.0,-0.01891233043944056,0.0
0.16,4.942777332243542,2.2,1.9456815810832697,-1.5943319109489293e-18,0.02970611299679538,-1.0543125441512608e-18,6.551441087365278,8.879391098551355e-18,-1.0460348181542036,-7.223370704464301e-17,0.013111852046417988,-6.487580945686816e-18,0.0,-0.019488165286176546,0.0
0.18,5.073004337976253,2.2,1.9685591035442505,-2.8952128829395078e-18,0.028924970808158024,-1.1792870155061488e-18,6.5328215327514805,1.041243099092559e-17,-0.8507341897565448,-6.152219656760839e-17,-0.08589090205930687,-5.192642946644986e-18,0.0,-0.019900787684069155,0.0
