time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,3.9,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.030078525950514,2.19996673919258,1.8027302177874456,-0.004449549814611168,0.00428794765109677,-1.8461138133571515e-06,6.508017413421247,-0.0023369772454451257,-0.24141699052076007,-0.42140780985222104,0.4188904071859493,0.0007164016841844652,0.0,-0.004452205638189238,0.0
0.04,4.160235519628559,2.1998497988422145,1.8106349909932853,-0.015899488407432497,0.01571784501933653,-0.00010030468585517149,6.515094101412548,-0.0015180295811414125,-0.4153389656282973,-0.6951142815807985,0.6835927858641706,0.0011503097446521914,0.0025027221259951967,-0.0076424949663773094,0.0011582846202952979
0.06,4.2903545711811475,2.1995901801033617,1.8232908759384296,-0.03105676632998476,0.02988152715166497,-0.00038180060303078385,6.5229823319068485,0.0017415930705031173,-0.5498302739692676,-0.7866995162736834,0.6951032817518551,0.004447866945065781,0.0067713839465794005,-0.009928540765845408,0.003133863644697904
0.08,4.420383493886465,2.199108963655672,1.8402985037222686,-0.04625679984224686,0.04256991373085373,-0.0007466350142715835,6.534931427891729,0.0051114883489103875,-0.6794588626387019,-0.7266224391248061,0.5744005327965043,0.0046942560666686055,0.012250913928962708,-0.01156663839890048,0.005669844462991005
0.1,4.550404672091736,2.198294975578706,1.8616547754181583,-0.06142779110015804,0.053737547269522436,-0.0015736967894788064,6.555396987901186,0.009784455692121769,-0.8255500267551559,-0.8052238250861304,0.550008009759154,-0.031096866507515173,0.018517045544455782,-0.012740439840693542,0.008569872318095239
0.12,4.6803568971987,2.197065638561249,1.8866987182502015,-0.07778301499063284,0.06285263205763406,-0.0031524342833002426,6.560982178874073,0.019460136916969722,-0.8972987148963651,-0.782165335828231,0.3003060657130038,-0.060098005103709315,0.02524013053259758,-0.0135815434458467,0.011681382725830285
0.14,4.810031355064213,2.1954986611360345,1.9131283512441777,-0.09192854771434569,0.06268274185158923,-0.004514247034658175,6.546470651909656,0.028257303873531057,-0.9126450880234371,-0.6073855518634563,-0.39651358434168216,-0.07717614614826084,0.032159489650687836,-0.014184247829580417,0.014883730747425775
0.16,4.939426173868405,2.1937118893697285,1.938863130490051,-0.10209563318292834,0.04442036070344339,-0.00440804300300619,6.512347377358884,0.03308013710135141,-0.9470351033035759,-0.4089096118144018,-1.3944349358231973,-0.09056472178599907,0.03906530139602152,-0.014616123964632407,0.01807980891055541
0.18,5.0685862785985165,2.1918954909739434,1.961609544081054,-0.10816806877843824,0.009687326779157429,-0.002603894777937662,6.462557286099986,0.03311560341532829,-0.961346917765297,-0.20185206247356632,-2.0032285460527124,-0.0945805791812039,0.045785876421875794,-0.014925590763051864,0.021190157682851606
0.2,5.197539961021558,2.190272874358653,1.9790663027440847,-0.11023490946635003,-0.03320233036381521,0.00026723286913453957,6.4151001336908475,0.02712169678668817,-0.9272483525010199,-0.004271373552011459,-2.2357134022005627,-0.08708056082174538,0.05217877263782622,-0.015147343463771154,0.02414885345221709
0.22,5.326248599562322,2.1889989381682167,1.9896636926790054,-0.10872486783376635,-0.07784853814557414,0.0036074754373959664,6.38113277136111,0.014981324937178214,-0.8447314525348371,0.1694171417202127,-2.201450853087461,-0.06895354150750577,0.058124641335105504,-0.01530624341855612,0.02690066045261081
0.24,5.454588638350655,2.1881350807271667,1.9926345236603111,-0.10416407736760228,-0.11996432167196815,0.006998537540754301,6.364273072656888,-0.0024480800275427303,-0.7251033278176849,0.31557125280938825,-2.00104717174506,-0.04318385240723967,0.06352300686471081,-0.015420105371753371,0.029399077557221532
0.26,5.582409527818626,2.187661365407424,1.987891800526947,-0.09705799945630758,-0.1570836705417307,0.010212681943975567,6.3634121632214145,-0.023747043466221016,-0.5828959273139931,0.4351875201123728,-1.714907566118005,-0.0137290391820231,0.06828940635424371,-0.015501694724018685,0.03160501451105494
0.28,5.709602793748905,2.1875047291285785,1.9758438983318192,-0.08786407857828187,-0.1881215810867815,0.013165869333231557,6.375433270217308,-0.04728979685295781,-0.43173631048374417,0.5313433159153472,-1.4019537587587287,0.015532198168473964,0.07235347670896994,-0.015560158699175878,0.0334859065760522
0.3,5.836144195599233,2.1875688531514874,1.9572123058931177,-0.07697848654973849,-0.21299172460016214,0.015862610771718143,6.396955409730635,-0.0714798367775152,-0.2829406165689645,0.6080377466036673,-1.103435459537475,0.041446078721261034,0.0756576916358029,-0.015602051866559608,0.03501513001326415
0.32,5.962101522469786,2.1877588028230366,1.9328745871255582,-0.0647344459565643,-0.23225607072302773,0.018345194279961192,6.425215646028004,-0.09487505359246183,-0.14481070573068508,0.6687707430524326,-0.8430763544753375,0.061927585061321955,0.07815653450234518,-0.01563207099318797,0.03617161927381264
0.34,6.087616671677943,2.187997690580483,1.903742047389537,-0.0514139557062229,-0.2467987683590124,0.02065510625901247,6.458284754246934,-0.11624468964455328,-0.022491156242392146,0.7159505967999331,-0.6301894983755432,0.07597204816705805,0.07981595269864843,-0.01565358161221745,0.03693961447210175
0.36,6.212876168932944,2.1882350394771763,1.870677453204032,-0.03726255439755395,-0.2575874212642866,0.02281333474350062,6.494918363302579,-0.13459219561165,0.08160321600418934,0.7510374224392797,-0.4647407755245903,0.08346582516894518,0.08061298239711591,-0.015668995342828593,0.037308487720979264
0.38,6.33808192929085,2.1884485104358897,1.8344482223250838,-0.02250185606292547,-0.26552854739542475,0.024816497597430653,6.534320330404907,-0.14915970824371474,0.16714137301390553,0.774847713534879,-0.3414813933795702,0.08494005348045229,0.08053546392453192,-0.015680040263991824,0.037272611403089156
0.4,6.463428636578404,2.1886412867565967,1.7957058915814188,-0.0073394143176173845,-0.27139322997410203,0.026642411618472084,6.575948291327763,-0.1594199192242292,0.23522423301009687,0.7878106478789833,-0.2528496467970248,0.08133374479891525,0.07958179074694899,-0.015687954654516712,0.036831241998587956
0.42,6.589089583385012,2.1888371650850833,1.7549832851534894,0.008024063656721639,-0.27579184968960135,0.02825965211220767,6.619391702362509,-0.16505939037040557,0.28780352145527077,0.7901550472638642,-0.19094596528708507,0.07379282064585273,0.07776065173943061,-0.015693625820155176,0.03598840080502574
0.44,6.715210081185622,2.1890748910643216,1.7127025598461179,0.023390056396465873,-0.27918089275534425,0.029637178432603658,6.664310294367194,-0.1659570917828805,0.32720875362003565,0.7820332295507546,-0.14871653210376867,0.0635165866310643,0.07509073869613582,-0.01569768957207615,0.03475273857011244
0.46,6.84190636872345,2.1894027411523456,1.6691889480073807,0.038559966454022515,-0.28188702095754714,0.030751747666949776,6.710409628026436,-0.1621612023996399,0.3558043607406896,0.7636089336444475,-0.12047544213863014,0.05165306444791684,0.07160040016624782,-0.015700601509538045,0.033137375283552706
0.48,6.96926782895011,2.1898738799814366,1.6246865059779347,0.0533350259234154,-0.2841367889881106,0.03159233493299382,6.757433993940107,-0.15386617780460876,0.37577614164336465,0.7351177605730959,-0.10195962911944428,0.03923575611503531,0.067327229558663,-0.015702688098470356,0.03115970954781097
0.5,7.097360774497933,2.190542672384261,1.5793735376520437,0.0675176802062049,-0.2860844589037875,0.03216179758504245,6.805165237975644,-0.1413912205032356,0.38902000311314644,0.6968644589218285,-0.09009998714539877,0.02714847492461918,0.062317580670908576,-0.01570418327253554,0.028841194360089917
0.52,7.2262328162709615,2.1914619445497383,1.5333768853494931,0.08091181688273036,-0.28783246991341777,0.03247651949936889,6.85342320433709,-0.12516041241608306,0.3970879277560218,0.6491390249732942,-0.08258218811490567,0.0161040071945285,0.05662600781199508,-0.015705254660124426,0.026207077995634084
