time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,1.3,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.4298888951951367,2.2,1.7986813598457239,1.0555604828226112e-20,-0.00012444510634837164,7.004774191978472e-21,6.489223234281352,-1.8634062000275636e-20,0.12095774091021225,-7.491838884659622e-18,-0.025079447822770648,2.0195101745386406e-19,0.0,-0.017808822552756953,0.0
0.04,1.5595811279552103,2.2,1.795443998508908,3.2289686178085866e-20,-0.0012456333867894298,1.5630548597959144e-20,6.480589069259261,-4.73703417721152e-19,0.1875503023121914,-5.328759418668122e-18,-0.09034255820032676,-4.578937089496604e-19,0.0,-0.02897627477101592,0.0
0.06,1.6891152013462567,2.2,1.7910475539339512,-6.728961306772457e-19,-0.0037514682006860485,1.910357499884356e-20,6.4742200164731,-7.631761491293219e-20,0.2158378180776639,-5.764633527322329e-17,-0.15924774546072656,6.123266544943181e-19,0.0,-0.03552738161107726,0.0
0.08,1.8185270451599542,2.2,1.7859548990241796,-1.224793403270834e-18,-0.007532468095405254,4.0202885262556575e-20,6.469936570446569,-8.429011919375491e-19,0.21794726933304479,-3.287459165990574e-17,-0.216176854772766,-1.0215384285613015e-19,0.0,-0.038900439601808626,0.0
0.1,1.947850771446808,2.2,1.7804558649951632,-9.823549832443922e-19,-0.012285795219621077,5.943627812203968e-20,6.467527212759203,-1.5315090625383682e-18,0.20204941240882962,1.4113668445934133e-18,-0.25608579689491023,-5.61567200941601e-19,0.0,-0.04011445908685722,0.0
0.12,2.0771209384661184,2.2,1.7747521357221936,-3.761956242532537e-19,-0.01766504141422592,4.951168415541522e-20,6.4668417212220595,-1.2360224993910593e-18,0.17325247455278533,4.09700912458023e-17,-0.2789721868611719,-6.630008695194843e-19,0.0,-0.03988904506035159,0.0
0.14,2.2063741013543137,2.2,1.7690076100315897,-1.5502118187514258e-19,-0.023349413468610112,5.164534808559829e-21,6.467783010697679,-1.082525928443081e-18,0.13473295011878123,-1.03866437088174e-17,-0.2870552018818464,-2.8564103103032263e-18,0.0,-0.038730206367940063,0.0
0.16,2.335648934396874,2.2,1.7633705087677127,-3.192159682260169e-19,-0.029072462462518947,-2.74296769628387e-20,6.470259271774596,-6.552399248342928e-19,0.0888041417988148,-9.29463482124701e-18,-0.283381548999166,-2.017778123467891e-18,0.0,-0.03699175873660437,0.0
0.18,2.4649846564942393,2.2,1.7579738502060671,-1.0377242453645389e-18,-0.034631008528421894,-5.595419981669759e-20,6.474129531921295,-3.656447088972146e-19,0.03777728821538125,-3.698625127136145e-17,-0.27114939225231016,-1.7320174943059654e-18,0.0,-0.0349192468090265,0.0
