time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,1.3,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.4298805230111933,2.2,1.798250856718145,2.6995351945903192e-20,-0.00042290542970577905,2.0454861275992535e-20,6.488289565141082,-8.29915905934001e-20,0.1595004568670956,-2.605092781064915e-19,-0.05998689940151695,2.1046011923099924e-18,0.0,-0.026713233829135433,0.0
0.04,1.5595379977105752,2.1999997657519463,1.7938933625681641,8.543307198900423e-05,-0.0027517509753356493,7.747813110492215e-06,6.478511008080049,-5.492311107770448e-05,0.2483196554620271,0.012699202745328216,-0.17834703679493957,0.0011499483680495657,0.004053601117609831,-0.04502018124110338,0.0029868639813967184
0.06,1.689003073249509,2.1999980589584953,1.7878099629041,0.0006423506257289263,-0.007601898674739311,6.161683380634138e-05,6.471352970323091,-0.0003681713741587652,0.2892962735084833,0.047983332224651884,-0.30624525432703575,0.004950521658380791,0.010972827604335,-0.057303488231716215,0.008085241392667895
0.08,1.8183059021176848,2.1999924931110804,1.7804430226144896,0.0021258089186569676,-0.014910196047819027,0.00021558958523500962,6.46674179767479,-0.0011615901783570992,0.3004393977092404,0.1051080818784705,-0.421657592725513,0.012044043290015793,0.019867756626543352,-0.06527047263645064,0.014639399619558263
0.1,1.9474728073156373,2.1999811509010128,1.7719561799827577,0.004932242120801052,-0.024328655917247127,0.0005236981138120693,6.464424374086981,-0.002643668274573109,0.29467426324622004,0.17997224889746016,-0.5163754093731341,0.022665527551253346,0.030062787577159338,-0.07014453658741518,0.022151527688433197
0.12,2.0765267761552404,2.199964052224012,1.762351107631521,0.009365098975007702,-0.03542207546244708,0.0010346254800556141,6.464215808781098,-0.005004922766884717,0.28063784271470393,0.26790113924459436,-0.5888753811850265,0.03688190163466834,0.04103700883046514,-0.07280232574820408,0.030237795980342732
0.14,2.2054884974687474,2.1999440425996286,1.7515476173110296,0.01563514473848968,-0.047761151971475534,0.0017914679824529408,6.466049517934627,-0.008406877969942581,0.2636641102911061,0.3646140533692389,-0.6406306772917065,0.05465006731432399,0.05238182112897734,-0.07387201265451013,0.03859713135819383
0.16,2.334377494977953,2.1999273162053044,1.7394372520234371,0.02387186463728229,-0.060962128739239736,0.0028327559708303646,6.469950053943135,-0.012967805293690161,0.24661230302591758,0.4664765410813423,-0.674237908727416,0.07579964061487715,0.06377091231177699,-0.07380372299677575,0.046989093282362
0.18,2.4632136803142712,2.1999239843906357,1.7259198913816713,0.03413686726004702,-0.07469924810959172,0.00419287852041916,6.475992058401676,-0.01875251552315707,0.23041996534070433,0.5704874101694852,-0.6924721369539223,0.09999988665326115,0.07493906515364242,-0.07292000054392392,0.05521825853426282
