time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,1.3,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.4298808996451655,2.2,1.7982913328345453,7.067368739791004e-20,-0.00040982697502553797,8.70961525915955e-21,6.488339601991302,-1.0856803077417753e-19,0.1558012841651404,5.927260495497753e-18,-0.058901124772813764,1.1602594477138563e-18,0.0,-0.026713233829135433,0.0
0.04,1.5595404123068317,2.199999766578625,1.7940367141335158,8.543681829340245e-05,-0.0027134461362686947,7.747142856524831e-06,6.478635642962788,-5.536225757773763e-05,0.24223274207468498,0.012699641400114647,-0.1770046728232225,0.001149879916451754,0.004053601117609831,-0.04502018124110338,0.0029868639813967184
0.06,1.689009439247502,2.199998065311601,1.7880985711221802,0.000642381018113567,-0.007537181491375019,6.15875138758952e-05,6.471513920671977,-0.0003723466790775344,0.2816348254728205,0.04798542839199685,-0.3049840540843263,0.004946478635126559,0.010972827604335,-0.057303488231716215,0.008085241392667895
0.08,1.818317792326867,2.199992522623146,1.7809059164983296,0.0021259235158480006,-0.014822174777921719,0.0002154249771194903,6.466885641687012,-0.0011771640605327243,0.29173487127021336,0.10511327585794664,-0.4206017589795774,0.012031341897199756,0.019867756626543352,-0.06527047263645064,0.014639399619558263
0.1,1.9474913233994307,2.1999812397284018,1.772612877369281,0.0049325360075831454,-0.02422188675431377,0.0005232322441884889,6.464499963428902,-0.002682804757108811,0.28531453088214304,0.17998149892838616,-0.5155608375993113,0.022642406825029975,0.030062787577159338,-0.07014453658741518,0.022151527688433197
0.12,2.076552500870213,2.1999642465356426,1.7632132413011288,0.009365688276370118,-0.03530150470833008,0.0010337091304730161,6.464178249613176,-0.005083481594487339,0.2709842424196485,0.2679141369232927,-0.5883149685991942,0.036852858698531644,0.04103700883046514,-0.07280232574820408,0.030237795980342732
0.14,2.2055213074329476,2.199944351884013,1.752618096037921,0.015636124797618754,-0.04763215118477332,0.001790125094989825,6.465858101596497,-0.008542771373985947,0.2541976120534806,0.3646282331676408,-0.6403633038661816,0.05463252507896734,0.05238182112897734,-0.07387201265451013,0.03859713135819383
0.16,2.3344159707349164,2.199927555080233,1.7407056614927887,0.023873217680758972,-0.060831541099669685,0.002831526914283411,6.469562880164466,-0.013177866501188813,0.23817138553083902,0.4664848201231287,-0.6743832296058762,0.07584019801282783,0.06377091231177699,-0.07380372299677575,0.046989093282362
0.18,2.4632536340132076,2.199923303356547,1.727351376695769,0.03413824781500005,-0.07457776007778429,0.004193579222445662,6.475357732989072,-0.019045904075815526,0.2246162600901589,0.5704730555973602,-0.6933086520543383,0.10020967059114695,0.07493906515364242,-0.07292000054392392,0.05521825853426282
0.2,2.592051057298157,2.1999447940062087,1.7124445759207674,0.04643640307522732,-0.08860995223762749,0.005908632330492159,6.48331519924218,-0.026135573287040283,0.2142759852018775,0.674110873984252,-0.6999036968774143,0.12735129541579748,0.08566727416897708,-0.07145196848016744,0.06312325465082522
0.22,2.720825335844551,2.2000093994722296,1.6958964264253016,0.06072667243270766,-0.10272312684391466,0.00800518881020671,6.49349481614999,-0.03436468272371748,0.20730457587579718,0.7753343187103459,-0.6965950259644823,0.1567701340323287,0.09577235975722376,-0.06956524130942014,0.0705691071895333
