time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,1.3,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.4298897285251404,2.200000704167681,1.7986992528615406,0.000105801197566734,0.00027165512640895957,2.6797181323528884e-06,6.489271796811259,6.461378585524085e-05,0.12183540029628735,0.010369238644092067,0.01948001907882528,0.00030196028935234324,0.0,-0.011872548368504638,0.0
0.04,1.559585759268047,2.2000024746681706,1.7955201704620862,0.0004737366557795526,0.0006318994142037466,2.1435748992633225e-05,6.480530622722286,5.498888064169983e-05,0.19506843971150745,0.029447725680846783,0.014734271949824879,0.0019713947042276935,0.0025624559902802297,-0.020256314198167574,0.0030801238671045177
0.06,1.6891287432193192,2.2000040142730746,1.7912818882000694,0.0013907880809746064,0.0008714709384948006,0.00010127683753882373,6.473759143477126,-0.0002841997886657394,0.23365196607737632,0.066219046280454,0.010597413861972348,0.006604153923471369,0.006950102316489348,-0.026140144803238688,0.008354163390527601
0.08,1.8185553858349859,2.200003878218314,1.786559954708565,0.0032354441871739834,0.0011479217969688174,0.0003106503191536834,6.468696113049462,-0.0012529688750012745,0.24793302978785717,0.12227577748329257,0.02003215649857866,0.014967115357816084,0.012623715267448151,-0.030232612359000953,0.015173960776023539
0.1,1.9478976025722203,2.2000030019478265,1.78178935701014,0.006386231516986588,0.0017979600386609585,0.0007292730673824923,6.465053293330163,-0.003131933759112607,0.24510446630590454,0.19653498602496172,0.048602636481669015,0.02728312610407306,0.01918607459004309,-0.03304145402603522,0.023062049254698267
0.12,2.0771834161439915,2.2000077313819344,1.7773349909751341,0.011187775654238837,0.0032122551038971975,0.0014422150644481826,6.4625934678654895,-0.00616210448252138,0.2299670476781967,0.28678390180389285,0.09651819445765977,0.04341236772511092,0.026341854724759164,-0.034930495866424376,0.03166344153784183
0.14,2.2064369864370708,2.2000330303608466,1.7735323082180623,0.017933225763921104,0.005736576446952892,0.002537219342078947,6.461126209147735,-0.010536331977094627,0.20570922602484507,0.38998263740267264,0.1594283157892638,0.06295271926187557,0.03386893010196589,-0.036160442460662995,0.04071113820337315
0.16,2.335676887257562,2.200105599008972,1.7707014625845714,0.02684837284595119,0.00958420467429132,0.00410216320140025,6.460457454788202,-0.01639496858249503,0.17457702369483616,0.5022349439884575,0.22891119166462148,0.08532460829635481,0.04159785854455607,-0.036918105269979955,0.050001466331335086
0.18,2.4649127151002475,2.200266363328757,1.7691390891611087,0.03807566400518226,0.014761437816090824,0.006220123774146257,6.460314891179055,-0.023824482656210007,0.1383780894806146,0.6188759976664575,0.29338322475328865,0.10988529729500045,0.049397223816554564,-0.03733734662230316,0.059376460951212066
0.2,2.594140988718268,2.200571453954315,1.7690936228850027,0.051661649665172484,0.021019612650198326,0.008960654813325008,6.460275301892303,-0.032859977975439186,0.09879621469501067,0.7347799034205763,0.33982132168326407,0.1360765497144655,0.05716317544625411,-0.0375140874141365,0.06871129169802263
0.22,2.723342050365269,2.201090686432674,1.7707322441430942,0.06754995056569041,0.027849788437807447,0.012367690209087474,6.459729908411367,-0.04349322403722332,0.05753128707252817,0.8446710383226976,0.35615025292376906,0.16356055454357404,0.06481197480361449,-0.03751706108623609,0.07790530304676895
0.24,2.8524798304721237,2.201902882511744,1.7741085188469654,0.08557702970987704,0.03452746878104334,0.016446518684623497,6.457918642238784,-0.055685180135422535,0.016329168075645703,0.9432521428568398,0.3336334285067824,0.19228967672919117,0.07227469381239209,-0.03739551953313554,0.0868756420573198
0.26,2.981505529806409,2.203088098424042,1.7791385476086081,0.10547011263655004,0.040200646612953,0.02115425092365953,6.4540399902371055,-0.0693788707500068,-0.02302253208135379,1.0255195224303564,0.268680633487519,0.22251646366608477,0.0794934544531985,-0.037184754878849896,0.09555273818111741
0.28,3.110364797020527,2.2047177926846735,1.7855911088871086,0.12685918127928061,0.04400819602381768,0.02640005701805241,6.447416756594016,-0.08451179780231045,-0.05870392086055199,1.0878733047086948,0.16407559510015723,0.25478072616679664,0.08641877046873928,-0.036910056181379665,0.10387710793717148
0.3,3.239006549427189,2.2068450057534994,1.7930956244007779,0.14931929234964264,0.0452162430807838,0.032061067744036165,6.437679144618806,-0.10103158154166769,-0.08890155483209142,1.1295997860452776,0.029538977184549287,0.2898156224226816,0.09300767683880003,-0.03658954466387028,0.11179710650320408
0.32,3.3673908028833006,2.2094973821523656,1.8011701809802463,0.17243735467684163,0.043349821216041286,0.03801349444480511,6.424908991980264,-0.11890912044275327,-0.11193162389326783,1.153242769134895,-0.11929084511440519,0.3282696510347802,0.09922242156715298,-0.036236205338585924,0.11926735521708288
0.34,3.495493125482896,2.212675722654678,1.8092681538629405,0.19587143329289997,0.03828071020250057,0.044168533241654484,6.409679513716974,-0.13813004760927516,-0.12647796216040347,1.1633316202906123,-0.26395062934672153,0.37032147871887294,0.1050295580878527,-0.03585934279507598,0.12624765063085328
0.36,3.6233046838267082,2.216359325141183,1.8168362290126605,0.21937699655933748,0.030241308195588006,0.050498900983740796,6.392953964464218,-0.1586554899823367,-0.13186445271545472,1.1646633300687976,-0.3870650411782216,0.4154255656268553,0.11039932230019575,-0.03546562436525521,0.1327022156941747
0.38,3.750828774309921,2.220517216144944,1.823372567359842,0.24280240420361315,0.01976806466472166,0.057048081073463854,6.3758779858920605,-0.18036882170119767,-0.12822785509194592,1.1613126181117865,-0.4753584268761235,0.4623226017084522,0.11530521100032975,-0.035059827617723034,0.13859919302059842
0.4,3.8780761243290134,2.225122752389674,1.8284747365749148,0.2660705623381878,0.007601907180603138,0.06392282106574722,6.359553137910295,-0.20303409363178332,-0.1165382920080128,1.1564463904554154,-0.5211292234920295,0.5092609719954466,0.11972370196215665,-0.03464537598512296,0.14391030841915803
0.42,4.0050612731017745,2.230168659548092,1.8318713991593674,0.28916036248192584,-0.005424897159946039,0.07127393220458683,6.344870476158429,-0.2262809937897817,-0.0984961646671865,1.152527788330776,-0.5223961940671359,0.5543091169143073,0.12363407275983972,-0.03422472257531117,0.14861065311536292
0.44,4.1318011865855695,2.2356800586247716,1.833436215721384,0.31209426427721076,-0.018493338670551876,0.07927160466456931,6.332438364640773,-0.249617791677191,-0.0763476485525163,1.1516076853189703,-0.4821092764545438,0.5956641621414189,0.1270182875027334,-0.033799625196540575,0.15267854760429575
0.46,4.25831580230537,2.2417238115891056,1.8331853657239685,0.3349326786642575,-0.030880416868503777,0.08808087863896785,6.322595506615421,-0.2724666815529414,-0.05264307242922545,1.1554896058770536,-0.40688269288394374,0.6319046764580001,0.12986092932074814,-0.03337134343054795,0.1560954604966569
0.48,4.384629202183576,2.248413199146205,1.831261450956717,0.35777067040789984,-0.04201630547184832,0.09784089338596363,6.3154744833830625,-0.2942145329101529,-0.02995863782708184,1.1655904628981497,-0.30573782286007134,0.6621661824617662,0.1321491626612336,-0.032940779847991396,0.1588459631988566
0.5,4.510769858506946,2.255907370530318,1.8279067944520264,0.38072888551670253,-0.051520466952204975,0.10864856032595926,6.311074186631578,-0.314273187812893,-0.010611073032872162,1.1824186495936098,-0.18921334712211718,0.6862321343313051,0.13387271393041633,-0.032508581198318814,0.1609177066436318
0.52,4.63676879986235,2.264405208047728,1.8234288509620855,0.4039307222431154,-0.059224671124545596,0.12054470775986892,6.309307925209625,-0.3321436297020515,0.0035918346546220375,1.204798785928492,-0.06888070881452846,0.7045363247199754,0.13502386222978702,-0.03207521091876319,0.16230141015499655
0.54,4.762655391286815,2.274133473368829,1.8181603500012344,0.4274629415751407,-0.06518718441625501,0.1335003559991883,6.310013354770234,-0.34747580219612817,0.011513735218917116,1.2291971595764097,0.04307341083751638,0.7180761972881868,0.1355974342563375,-0.03164100109166278,0.16299085531822388
0.56,4.8884515096786325,2.285329705495768,1.8124174807959395,0.45132548778006326,-0.06969350542025574,0.14740366910741728,6.312934978957704,-0.3601121676343428,0.012726369393727446,1.2495800952711593,0.13471006920850429,0.7282468567666279,0.13559079911004895,-0.031206189675195145,0.1629828797383417
0.58,5.014165894844883,2.2982214396765297,1.8064606488286115,0.47538432950391163,-0.07323201311155869,0.16205285728466964,6.317708242725514,-0.37010241168543917,0.007430174605825098,1.2581016665081999,0.19587528575438676,0.7366237609829754,0.13500385996509381,-0.030770947181572902,0.16227736702874918
0.6,5.1397908242616674,2.313004473121252,1.8004628799573372,0.4993455811110718,-0.07643595984314985,0.17716291683058003,6.3238727036716,-0.3776822734118179,-0.0036706556596413694,1.2467202656990457,0.22003222522789304,0.7447464334662259,0.1338390404435951,-0.030335395793672698,0.1608772304322002
0.62,5.265302577778208,2.3298234760855236,1.7944898988700655,0.5227703744157921,-0.07999615631093346,0.19239192088048418,6.330921853565185,-0.38322098290697393,-0.019455978140871105,1.2096695928880405,0.20567827579885864,0.7539649636322893,0.1321012641761298,-0.029899623063319194,0.15878838825211566
0.64,5.390665680065389,2.348758068413318,1.7884937532444272,0.5451444246737063,-0.08456102030490252,0.20738689960345333,6.338378848865766,-0.38715482052886224,-0.0384122161798197,1.1461874975909223,0.15686102805837676,0.765361431276456,0.12979792650851366,-0.029463691726979355,0.15601972984356693
0.66,5.515839484650396,2.3698168081474877,1.782319763544645,0.5659948357338487,-0.09064506328615944,0.22184168030308785,6.345883702939845,-0.3899290447893066,-0.05863797417519283,1.0620156453881069,0.08255594129787248,0.7796668324166122,0.12693885766774746,-0.029027646739333463,0.1525830713379995
0.68,5.640785036135483,2.3929404929927136,1.7757250867871468,0.5850121791115703,-0.0985659098952763,0.2355498327777292,6.353278172345302,-0.3919578742282416,-0.07794126178752415,0.9680794218387403,-0.005230665208956389,0.7970858272893961,0.12353627696567343,-0.02859152031327742,0.14849310059510246
0.7000000000000001,5.765470398953892,2.418014599912202,1.7684059591027257,0.6021188249510591,-0.10842429904632463,0.24843176854487095,6.3606627635826625,-0.39359109282478727,-0.09410580699347025,0.8765902773494085,-0.0942674987357497,0.8171003403149196,0.11960473782142825,-0.02815533553140587,0.1437673111186865
0.72,5.889873382356932,2.444888432230258,1.7600291040644511,0.6174535069501353,-0.12012871152610412,0.2605249026348316,6.368391688882795,-0.3950721829942183,-0.10525267041509578,0.7970522031887916,-0.17478057322579305,0.8384602628548307,0.11516106354072694,-0.027719108933870234,0.13842592486208596
0.74,6.013981515104815,2.4733963479404126,1.7502613789966566,0.6312974966458395,-0.13345224839714914,0.2719439533167278,6.376997462921599,-0.39649383499233914,-0.11012255676786446,0.7345481256456271,-0.24103568404318115,0.8594560211275062,0.1102242739138829,-0.027282852372744016,0.13249180399749563
0.76,6.13779005268361,2.5033763148355215,1.7387926978008246,0.6439883336119531,-0.14810016706606152,0.2828304582599687,6.387085535665673,-0.3977708609669621,-0.10820981282780079,0.6899181072439452,-0.29135125078698415,0.8782792089708603,0.10481550279418421,-0.026846574340793895,0.1259903518435144
