time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,1.3,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.4298808100570102,2.1999999998382025,1.7982305472596951,-2.5645890438083e-08,-0.00010490876678338012,-3.5106359329247046e-10,6.488266818844523,-2.118965832425713e-08,0.16424034344254884,-3.0090945942484862e-06,-0.013778065537117603,-5.460546185830724e-08,0.0,-0.008904411276378477,0.0
0.04,1.5595401370461113,2.20000012317176,1.793776902179303,8.30864043663725e-05,-0.0006269790703219655,4.656963018872029e-06,6.478157079806277,1.900479004128105e-05,0.268694948619288,0.012356090625905066,-0.0397530190391035,0.0006866902263738054,0.003914863318483684,-0.015284989932754619,0.0016306538119965094
0.06,1.689011903866001,2.2000010524661886,1.787555923620128,0.000625197593960948,-0.0017157261592816455,3.6649292073725246e-05,6.470053695942219,5.530484899981819e-05,0.3334362937159268,0.04668275658540908,-0.0693307059510421,0.002852668882702784,0.010618211872414284,-0.019857081531690815,0.004422792383220494
0.08,1.8183288069935444,2.2000036758992287,1.7801401586391086,0.0020698980460235696,-0.0033914214846836235,0.00012643851508166635,6.463742403660874,0.00016332158351646612,0.3722015281639577,0.10226003379948163,-0.09785602734068645,0.006652926436641591,0.019286231658601345,-0.02313327679780096,0.00803327335201246
0.1,1.9475171880192024,2.2000104675046277,1.7718771386092544,0.0048058614798763485,-0.005607266455199651,0.00030234141346434764,6.458878307167797,0.000470924215243587,0.3942581571822998,0.17516333903646464,-0.1230089789713471,0.011971479532628199,0.029312058401454733,-0.025480879681387084,0.012209320193663786
0.12,2.0765972590845774,2.2000271706081045,1.7629707902926028,0.009134704140984558,-0.008283813592154464,0.0005874790165242565,6.455155421872626,0.0011557663707563125,0.4057367966056939,0.26093514774907367,-0.14360987372066367,0.018649119759632606,0.040244500273937625,-0.0271630868916934,0.016762998461210377
0.14,2.205584790797971,2.2000641477883374,1.7535373352757195,0.015270975975306862,-0.011322585215515492,0.001000370050611459,6.452351327228513,0.0024220362098643575,0.41056006718736615,0.35543112508697317,-0.1587058896127656,0.02655863886718819,0.051744198766892346,-0.028368495659160834,0.021552955519432843
0.16,2.334493013159407,2.2001373587981554,1.743645199687842,0.023350354888701137,-0.014602762483822326,0.0015568408275564868,6.450326375917807,0.004483260221411087,0.41105516000915054,0.4549189334144583,-0.16676240801297942,0.03559129381415553,0.06355228388751623,-0.029232247929264814,0.026471364528353865
0.18,2.463334553096132,2.2002692282726746,1.7333466554547377,0.033436166481982145,-0.017961375496239582,0.0022724003128377283,6.4490118803972525,0.007549859837743703,0.4083167722666509,0.5558601877617464,-0.16480466844195069,0.04559169357132795,0.07546798083084727,-0.029851181526103727,0.031434596974171086
