time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,1.3,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.4298806811579758,2.199999999837981,1.7982407725784453,-2.564644791238342e-08,-0.00026332300099565065,-3.4856114793062297e-10,6.488281351962256,-2.1151927776425452e-08,0.16186721198717494,-3.009250966182697e-06,-0.03682918485916814,-5.448831568331895e-08,0.0,-0.017808822552756953,0.0
0.04,1.5595392822295597,2.199999999032001,1.793834083571361,-1.4856373814251965e-07,-0.0016666107583258986,-3.3521676039916284e-09,6.478355602793879,-9.061665769895349e-08,0.25881542913901406,-1.0807636952526601e-05,-0.1059443277549451,-3.2323842997119225e-07,0.0,-0.02897627477101592,0.0
0.06,1.6890085047633963,2.1999999961992622,1.7876747588229702,-5.428582984392448e-07,-0.0044966515738654724,-1.6356382456551768e-08,6.470758869261782,-3.112936526947066e-07,0.31298526725051395,-3.291831614379515e-05,-0.1758058899361644,-1.2712822225767101e-06,0.0,-0.03552738161107726,0.0
0.08,1.8183206347071232,2.19999998714804,1.780268097015252,-1.6948313225821248e-06,-0.008611959716758339,-6.072006317044232e-08,6.465339954269562,-9.458544662213591e-07,0.340708019846625,-9.351159872679777e-05,-0.2330489766777715,-4.14990319281778e-06,0.0,-0.038900439601808626,0.0
0.1,1.947503630684106,2.199999960428318,1.771876351299967,-4.86443492549003e-06,-0.013707220407768493,-1.9304210892055137e-07,6.461788828261416,-2.6448901968033145e-06,0.3532296974700612,-0.00025113686846041415,-0.2734781158637621,-1.2039538071279445e-05,0.0,-0.04011445908685722,0.0
0.12,2.0765817903394885,2.1999998868634663,1.7626209168522633,-1.3126271764917562e-05,-0.01944104160708325,-5.527275717784347e-07,6.459840651484706,-6.9437010481266065e-06,0.35783919583976226,-0.0006395303912184506,-0.2970288170408673,-3.2037988866000334e-05,0.0,-0.03988904506035159,0.0
0.14,2.2055773321525294,2.1999996963332724,1.7525510895341014,-3.356148156495856e-05,-0.025487715838477688,-1.4637212545908494e-06,6.459318548037885,-1.728271237119813e-05,0.3589275560034274,-0.0015458638821159926,-0.3049596077586351,-7.958241693555528e-05,0.0,-0.038730206367940063,0.0
0.16,2.334512015136158,2.19999922894796,1.7416903065624987,-8.15601431924693e-05,-0.03154535043801623,-3.6438523076039127e-06,6.460118447537615,-4.095793713914266e-05,0.3588101527060799,-0.0035487420065409636,-0.2981427950048324,-0.00018655794610636443,0.0,-0.03699175873660437,0.0
0.18,2.463408871347869,2.199998136929407,1.73006958753816,-0.00018866565990440802,-0.03731502476651466,-8.625284294434893e-06,6.4621845316832545,-9.252195829948801e-05,0.3582816103197601,-0.00773966421898349,-0.2757934384270951,-0.00041590807938598736,0.0,-0.0349192468090265,0.0
0.2,2.5922944655053746,2.1999956938442335,1.7177566742063433,-0.00041578372027884175,-0.042456057301835354,-1.9596052748421015e-05,6.465494813462827,-0.00019897443170725727,0.35692683196006536,-0.016040623269187645,-0.2343225876618764,-0.0008873201904659993,0.0,-0.032681346834082484,0.0
0.22,2.7212022662085777,2.1999904288387833,1.70488825607848,-0.0008735343932007333,-0.046519197687060664,-4.311433872908402e-05,6.470068724239653,-0.00040597191598679616,0.35323700692948734,-0.03159615393644093,-0.1663026162959608,-0.0018218394170495152,0.0,-0.030392304735426538,0.0
0.24,2.850177778133319,2.1999794192428657,1.691711131714593,-0.0017504616771449068,-0.048862631728536846,-9.268037671912417e-05,6.476017626075338,-0.0007810618805840438,0.3446040969550483,-0.059147527753712,-0.05987555366752488,-0.0036175982894446736,0.0,-0.028127956180614345,0.0
0.26,2.9792858565836915,2.1999568919178296,1.6786351835804736,-0.0033468515468715993,-0.048566400484355766,-0.00019615920159710943,6.4836794957011215,-0.0014030617670841897,0.32730750980777706,-0.10516468207398277,0.1006387055729649,-0.0069676874759118795,0.0,-0.025937152955954192,0.0
0.28,3.108619555930928,2.199911433765938,1.6662949874330684,-0.006105201563829992,-0.044381468437730165,-0.00041032074624787,6.493885291363332,-0.002315582993855989,0.2967048762047911,-0.17719919627349145,0.3315672553647019,-0.012995530128791689,0.0,-0.023849902411723845,0.0
0.3,3.2383065296429736,2.1998206801725657,1.6556034530933053,-0.010610225988864148,-0.03478940441374476,-0.0008449697974065771,6.5082883217474325,-0.003411377753805514,0.24821678840176617,-0.2807623633756027,0.6411649854661927,-0.02319678365533053,0.0,-0.02188315593331214,0.0
0.32,3.3684988707923034,2.199643047632023,1.6477413776628222,-0.01745789801722345,-0.01836137255892267,-0.0016839791437235254,6.528991743912496,-0.004230982809963479,0.18134527952290508,-0.40665273867359036,1.0056102836885406,-0.03808105923787511,0.0,-0.020044916723489122,0.0
0.34,3.4992995065296832,2.1993146590132073,1.643889593835862,-0.026546335888480255,0.005009293136496649,-0.0030989836062149416,6.553979493890762,-0.003984412919418416,0.11276788829213472,-0.48168716963217034,1.3048217692769972,-0.04925900936723605,0.0,-0.018337146845854687,0.0
0.36,3.630561817085991,2.198775342784172,1.6444899686603098,-0.03545025279090872,0.031993834728648154,-0.004793509154595983,6.569190831698758,-0.004136333959639338,0.07253185782440942,-0.39149748739221957,1.3655469518059353,-0.030792348081559347,0.0,-0.016757817123742483,0.0
0.38,3.761878208989939,2.1979666830545863,1.6493767945541198,-0.043186947658713074,0.05967036202108114,-0.006249963939270335,6.569752575683314,-0.009305719892583485,0.03878294842711525,-0.41696478836727036,1.4396589032930134,-0.009428028512332456,0.0,-0.015302345809932222,0.0
0.4,3.8928419170998505,2.1967991264023734,1.6587030980416364,-0.053770145537015535,0.09088321167316049,-0.007969132577221668,6.559364583991165,-0.017594336539192044,0.010328920944293336,-0.6494244540485075,1.694011106918126,-0.015840160142441585,0.0,-0.013964601975463193,0.0
0.42,4.023074392177737,2.195161242403943,1.672931263297105,-0.06981191859532165,0.12651743366891924,-0.010742069575505863,6.542370737951452,-0.02493978453245875,-0.018911909618530166,-0.9181211253369777,1.8450878896338505,-0.04291327360350676,0.0,-0.012737599453761177,0.0
0.44,4.152213344154189,2.192911437601871,1.6924833082107869,-0.09094333681385665,0.16278739124015412,-0.014921972505002504,6.520482717081212,-0.029204204293023867,-0.059000868740582676,-1.119429368785026,1.7625298448756552,-0.08118022991324823,0.0,-0.011613971289442119,0.0
0.46,4.279940471281115,2.1899007013094414,1.7173042727876162,-0.11556966432748023,0.19488905153731118,-0.020399162585339727,6.493404625472929,-0.029299762964543705,-0.1134703999532293,-1.2296609205319766,1.452560061438442,-0.12694609820271324,0.0,-0.010586288945654856,0.0
0.48,4.40606032499544,2.1860132529956444,1.746800155124921,-0.14183473693844448,0.21885714063953515,-0.026680996081756992,6.46116746400781,-0.02460105160663421,-0.18361432446563858,-1.2542301005057301,0.9868186171639053,-0.17791576789006366,0.0,-0.009647272129310915,0.0
0.5,4.530557476153124,2.1811834936312753,1.7800739374470171,-0.16812585697314253,0.23282443396557387,-0.033167099283363914,6.427389532871451,-0.014871662277601783,-0.2763665936125427,-1.228150971516209,0.5098348694751311,-0.23442708567128506,0.0,-0.008789921929051137,0.0
0.52,4.653567979503802,2.1753018432067224,1.8166437441594903,-0.1941481706104211,0.23930008983143045,-0.03993506566620094,6.402456719808609,0.0006937602129428802,-0.4138488825200455,-1.1989012567933672,0.3009018448174957,-0.2949935715510336,0.0,-0.008007600542478188,0.0
0.54,4.775215166138523,2.1682583771668757,1.856200564543429,-0.21832167853016599,0.24291694834926106,-0.04740200882345818,6.370842179149599,0.021105717603984553,-0.5148943503784965,-1.02372851634045,0.16883112128122785,-0.3395736932193726,0.0,-0.007294074133906673,0.0
0.56,4.895687267792544,2.160293943107232,1.8969000964599345,-0.2385389736973027,0.24126105017683358,-0.054614585252976966,6.323972023836095,0.04111914641224672,-0.540350357409288,-0.8255767032112249,-0.2330715732823947,-0.380401954710215,0.0,-0.006643530549964307,0.0
0.58,5.015285398884904,2.1516960180135065,1.9369818952610527,-0.25444391149338297,0.2276647438673948,-0.05953201825508783,6.268137383367201,0.0591389672177257,-0.5683966684484356,-0.657666072600753,-0.981183370003247,-0.41640261062963324,0.0,-0.006050580182131576,0.0
0.6,5.134328058454109,2.1427684567258036,1.9749111042653615,-0.2665694680542547,0.2009645468061919,-0.06135128555884134,6.202301319191308,0.07485325165094701,-0.5887889475048561,-0.5189709037103032,-1.4891896286626816,-0.44283941298909096,0.0,-0.005510245811813038,0.0
0.62,5.253139801080498,2.133887382369412,2.0090506159707147,-0.2757236075686967,0.16756902389493822,-0.06142294162268027,6.1366732701299265,0.08706594045376477,-0.5731961453058381,-0.39866458263193116,-1.6807321448894386,-0.45741204088721876,0.0,-0.005017945524761035,0.0
0.64,5.371942708223304,2.125334359498882,2.0382483324515963,-0.28259493885418,0.13266457705755122,-0.0609748209476434,6.078931315080616,0.09485629152569229,-0.5190362409075014,-0.2992160230468429,-1.6572939664161161,-0.46053506215714385,0.0,-0.004569471537045257,0.0
