time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,3.9,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.030037619943794,2.2,1.8029071587335213,-1.0257962249863848e-18,0.0007949852924500379,5.2309866637696504e-21,6.503707283699748,-5.911878188566595e-19,-0.28519051996453376,-1.174706250237266e-16,0.06755643684524917,2.209360266716913e-19,0.0,-0.017808822552756953,0.0
0.04,4.160125601955733,2.2,1.8115179899567149,-3.4555025813081525e-18,0.0023638508841220124,2.7433622955816866e-20,6.506274614374512,2.1153265873741593e-19,-0.5506777665252733,-8.247880846936059e-17,0.08324609431818746,-8.285154572985162e-19,0.0,-0.02897627477101592,0.0
0.06,4.290224594576816,2.2,1.8252927258005296,-4.15616807799825e-18,0.003999082406737577,-3.427170104915747e-20,6.508098355694453,2.592297543199164e-19,-0.7778842763515496,-3.682435484320449e-17,0.0809395161844086,-5.523847009416164e-18,0.0,-0.03552738161107726,0.0
0.08,4.4203493443605835,2.2,1.8434074333994002,-4.928632489844846e-18,0.0059128940910491016,-1.596785496184349e-19,6.5153306657791035,1.1329475068976727e-18,-0.9668999500426849,1.0935046934916497e-17,0.13272902482594834,-6.8285278370887604e-18,0.0,-0.038900439601808626,0.0
0.1,4.550734302016029,2.2,1.8657297949916134,-4.237151413171426e-18,0.010645151867295762,-3.4735993198882906e-19,6.542985918394099,1.404295963524818e-18,-1.159434345575938,6.472259876714377e-17,0.32635742909114773,-8.002992608617607e-18,0.0,-0.04011445908685722,0.0
0.12,4.681462999101437,2.2,1.8920340259376263,-3.1582345648914704e-18,0.01616636085184819,-5.4630522818901e-19,6.559982349659876,-2.2095950600030595e-19,-1.2678708672389518,5.40876395111046e-17,0.17591839710450013,-8.40233209692053e-18,0.0,-0.03988904506035159,0.0
0.14,4.812163765753001,2.2,1.9195625453831269,-1.9944549408174363e-18,0.017543672945419878,-7.170923120125366e-19,6.552652660289797,-1.332197278585802e-18,-1.238689164303263,5.4015471458535105e-17,-0.02939656369069074,-8.731996409121093e-18,0.0,-0.038730206367940063,0.0
0.16,4.942636120314994,2.2,1.9453421445770762,-1.2069796481063531e-18,0.015375012109950868,-8.7937778447681e-19,6.535089164083435,-1.725276764341039e-18,-1.1074879827473056,8.808876009065524e-18,-0.1784126108052597,-7.927033108746285e-18,0.0,-0.03699175873660437,0.0
0.18,5.072863172130113,2.2,1.9673806773009752,-9.31512103896758e-19,0.010729889024495887,-1.0247650563657802e-18,6.51585642754227,-1.2528768262770489e-18,-0.9173901828111806,1.383860355651365e-17,-0.27825716535294076,-6.787788974555086e-18,0.0,-0.0349192468090265,0.0
