time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
0.0,3.9,2.2,1.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.029925412281117,2.2,1.7994647068941627,4.279043566627629e-19,0.00011193271079220733,-8.981264442783123e-21,6.492642684723699,-1.2468798184205752e-19,0.051873279440164184,4.381379390690843e-17,-0.006258824626697788,-1.0828419743624021e-18,0.0,-0.017808822552756953,0.0
0.04,4.159710022142098,2.2,1.7980448462592882,1.1315790473998849e-18,-0.0005981816073029808,-3.7952410672568784e-20,6.485985505015189,-2.5672013345088184e-19,0.08494851831413863,-1.412189367713698e-17,-0.06988055249631869,-1.489725130010681e-18,0.0,-0.02897627477101592,0.0
0.06,4.28936794411055,2.2,1.7959808398356867,1.2985082907021105e-18,-0.002730487220968164,-4.980654611525272e-20,6.480312851174542,5.3407330157230445e-21,0.09820405731186697,1.7925688066172253e-17,-0.14283638490139916,-9.61953162855993e-19,0.0,-0.03552738161107726,0.0
0.08,4.418917928204253,2.2,1.7934662350002273,1.4849468481762977e-18,-0.006231800178338147,-7.481436142462467e-20,6.4759037148099,3.0568212154512387e-19,0.09369753045106254,7.228877872568024e-19,-0.20454495908972178,-9.750063906034012e-19,0.0,-0.038900439601808626,0.0
0.1,4.548384965021058,2.2,1.79067219314678,1.4990790145752027e-18,-0.010791861108138075,-1.0326146844029031e-19,6.472956011521743,3.053182601756859e-19,0.07403779524826401,7.084582647983961e-18,-0.24815278884918932,-1.2873201168543574e-18,0.0,-0.04011445908685722,0.0
0.12,4.677800364482332,2.2,1.787763628656446,8.274474574771568e-19,-0.016037966839013436,-1.2387949514857793e-19,6.4715742552388615,1.1349800087624773e-18,0.041765529654734,-5.818285793233038e-17,-0.2733754976084969,4.202889591050223e-19,0.0,-0.03988904506035159,0.0
0.14,4.807200359913275,2.2,1.7849007945166928,-2.068207887469881e-19,-0.021625251426355813,-9.117254855796453e-20,6.471758764610084,9.461810529386527e-19,-0.00047174076902877643,-7.838053455169213e-17,-0.28282645879562907,1.653659023207114e-18,0.0,-0.038730206367940063,0.0
0.16,4.936623144119529,2.2,1.782226607559771,-1.131075683971526e-18,-0.027273877394789044,-5.0940078529906524e-20,6.4733856867676165,6.617175833338691e-19,-0.0495112524116131,-5.681113988694245e-17,-0.2801668526102414,2.095660156115525e-18,0.0,-0.03699175873660437,0.0
0.18,5.066104413893595,2.2,1.7798436067663452,-2.3089599876723644e-18,-0.03277963815550491,-9.613718542501759e-21,6.476192669747052,5.818528973613829e-19,-0.10136097859806317,-6.189797116989635e-17,-0.269182371693284,1.923687104539801e-18,0.0,-0.0349192468090265,0.0
0.2,5.195672095133174,2.2,1.777787147349554,-3.566499093532881e-18,-0.03801117823405484,4.7495678897973105e-20,6.479794873126671,-3.483052584909302e-19,-0.15118600112522668,-5.940570758820443e-17,-0.25330818318048404,1.9791994076063425e-18,0.0,-0.032681346834082484,0.0
0.22,5.3253416275269325,2.2,1.7760031655568753,-4.091080732962145e-18,-0.042900065440758334,1.2188990689003177e-19,6.483748156678597,-7.712738407291317e-19,-0.19368707909009053,-2.7345834042152813e-19,-0.23536150234053302,3.435863852066554e-18,0.0,-0.030392304735426538,0.0
0.24,5.455113467637412,2.2,1.7743387284948704,-3.477364548419911e-18,-0.04742670983689229,1.910317542526917e-19,6.4876506838382735,-1.7162195756694588e-18,-0.22382528641166083,3.6254779410850344e-17,-0.21738588045838492,2.5431301825631233e-18,0.0,-0.028127956180614345,0.0
0.26,5.584973928982388,2.2,1.7725508962073688,-3.244868361414363e-18,-0.05160411830957378,2.473734398592458e-19,6.491244683272145,-2.2613700120199874e-18,-0.23770261412613586,4.718227859396598e-17,-0.20059185249809386,1.6214201987657048e-18,0.0,-0.025937152955954192,0.0
0.28,5.71489924467889,2.2,1.7703343377860221,-2.3220685243498336e-18,-0.055461494309730144,2.4433238395035734e-19,6.494470763169037,-2.917198249634391e-18,-0.23331297061620754,8.366576633349965e-17,-0.1854027592515523,-1.4917062693489882e-18,0.0,-0.023849902411723845,0.0
0.3,5.844861499262828,2.2,1.7673622195289993,-4.333004467437395e-19,-0.05902980109518844,2.0518549311874584e-19,6.497451125668806,-4.028420624159568e-18,-0.21089770749025474,6.426702941656153e-17,-0.1716041388309379,-3.7195725558476614e-18,0.0,-0.02188315593331214,0.0
0.32,5.974834585466593,2.2,1.7633306571980625,1.513610742714316e-19,-0.06233118854689469,1.1192446402986794e-19,6.500418919435688,-3.6575569454017865e-18,-0.17278656625497227,3.3790369299416646e-17,-0.15857539377542218,-4.952039450239033e-18,0.0,-0.020044916723489122,0.0
