time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,0.0,-0.18,0.0,0.0,-0.18,0.0,0.0,-0.09424777960769379,0.0
0.02,0.03724651332523303,-0.174375,0.021563770872503333,0.03724651332523303,-0.174375,0.021563770872503333,0.014301634433091674,-0.09130253649495337,0.01053804642438334
0.04,0.07413432236612874,-0.16874999999999998,0.042919870843548216,0.07413432236612874,-0.16874999999999998,0.042919870843548216,0.028465536308524036,-0.08835729338221292,0.02097460570101771
0.06,0.11030817735669568,-0.163125,0.06386262899598172,0.11030817735669568,-0.163125,0.06386262899598172,0.042355299508460294,-0.0854120502694725,0.031209168058865484
0.08,0.14541970429873413,-0.1575,0.08419035512031975,0.14541970429873413,-0.1575,0.08419035512031975,0.05583715802036817,-0.08246680715673206,0.04114316906763969
0.1,0.17913075999387912,-0.15187499999999998,0.10370728210171948,0.17913075999387912,-0.15187499999999998,0.10370728210171948,0.06878127417684442,-0.07952156404399163,0.05068093886714851
0.12,0.21111668854744883,-0.14625,0.12222545126431247,0.21111668854744883,-0.14625,0.12222545126431247,0.08106298906332851,-0.07657632093125119,0.059730623520347324
0.14,0.24106944798218533,-0.140625,0.13956652251600205,0.24106944798218533,-0.140625,0.13956652251600205,0.09256402305159536,-0.07363107781851078,0.068205069616965
0.16,0.2687005768508881,-0.135,0.15556349186104046,0.2687005768508881,-0.135,0.15556349186104046,0.1031736148972332,-0.07068583470577036,0.0760226636084876
0.18,0.29374397227784,-0.129375,0.1700622997398021,0.29374397227784,-0.129375,0.1700622997398021,0.11278958843097561,-0.0677405915930299,0.0831081177912452
0.2,0.3159584526749672,-0.12375,0.18292331470655995,0.3159584526749672,-0.12375,0.18292331470655995,0.12131933657106697,-0.06479534848028948,0.08939319536815463
0.22,0.33513008045237486,-0.118125,0.1940226781566381,0.33513008045237486,-0.118125,0.1940226781566381,0.12868071318008345,-0.06185010536754905,0.09481736760637728
0.24,0.351074222354289,-0.11249999999999999,0.2032534971524831,0.351074222354289,-0.11249999999999999,0.2032534971524831,0.13480282417714246,-0.058904862254808614,0.09932839676210498
0.26,0.3636373275782394,-0.106875,0.21052687386108596,0.3636373275782394,-0.106875,0.21052687386108596,0.13962671028665605,-0.055959619142068186,0.10288283915858865
0.28,0.37269840655322756,-0.10124999999999999,0.2157727616887107,0.37269840655322756,-0.10124999999999999,0.2157727616887107,0.14310591484838509,-0.05301437602932775,0.10544646357249429
0.3,0.3781701961354348,-0.045,0.2189406398678833,0.3781701961354348,-0.045,0.2189406398678833,0.14520693122047362,-0.023561944901923447,0.10699458089929635
0.32,0.38,-0.045,0.22,0.38,-0.045,0.22,0.14590952546672595,-0.023561944901923447,0.1075122819228507
0.34,0.37817019613543484,-0.045,0.2189406398678833,0.37817019613543484,-0.045,0.2189406398678833,0.14520693122047362,-0.023561944901923447,0.10699458089929635
0.36,0.37269840655322756,-0.045,0.2157727616887107,0.37269840655322756,-0.045,0.2157727616887107,0.14310591484838509,-0.023561944901923447,0.10544646357249429
0.38,0.3636373275782394,-0.045,0.21052687386108596,0.3636373275782394,-0.045,0.21052687386108596,0.13962671028665605,-0.023561944901923447,0.10288283915858865
0.4,0.351074222354289,-0.045,0.2032534971524831,0.351074222354289,-0.045,0.2032534971524831,0.13480282417714246,-0.023561944901923447,0.09932839676210498
0.42,0.3351300804523749,-0.045,0.19402267815663812,0.3351300804523749,-0.045,0.19402267815663812,0.12868071318008345,-0.023561944901923447,0.0948173676063773
0.44,0.31595845267496725,-0.045,0.18292331470655998,0.31595845267496725,-0.045,0.18292331470655998,0.12131933657106701,-0.023561944901923447,0.08939319536815463
0.46,0.2937439722778401,-0.045,0.17006229973980216,0.2937439722778401,-0.045,0.17006229973980216,0.11278958843097567,-0.023561944901923447,0.08310811779124522
0.48,0.2687005768508881,-0.045,0.15556349186104046,0.2687005768508881,-0.045,0.15556349186104046,0.1031736148972332,-0.023561944901923447,0.0760226636084876
0.5,0.2410694479821853,-0.045,0.13956652251600202,0.2410694479821853,-0.045,0.13956652251600202,0.09256402305159535,-0.023561944901923447,0.068205069616965
0.52,0.21111668854744883,-0.045,0.12222545126431247,0.21111668854744883,-0.045,0.12222545126431247,0.08106298906332851,-0.023561944901923447,0.059730623520347324
0.54,0.17913075999387917,-0.045,0.10370728210171952,0.17913075999387917,-0.045,0.10370728210171952,0.06878127417684445,-0.023561944901923447,0.050680938867148535
0.56,0.145419704298734,-0.045,0.08419035512031968,0.145419704298734,-0.045,0.08419035512031968,0.055837158020368115,-0.023561944901923447,0.041143169067639665
0.58,0.11030817735669586,-0.045,0.06386262899598182,0.11030817735669586,-0.045,0.06386262899598182,0.04235529950846036,-0.023561944901923447,0.03120916805886553
0.6,0.07413432236612887,-0.045,0.04291987084354829,0.07413432236612887,-0.045,0.04291987084354829,0.02846553630852408,-0.023561944901923447,0.020974605701017744
0.62,0.03724651332523311,-0.045,0.02156377087250338,0.03724651332523311,-0.045,0.02156377087250338,0.014301634433091707,-0.023561944901923447,0.010538046424383362
0.64,4.6536578367599424e-17,-0.045,2.694222958124177e-17,4.6536578367599424e-17,-0.045,2.694222958124177e-17,1.7868763332793514e-17,-0.023561944901923447,1.3166457192584695e-17
