time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,0.0,-0.08,0.0,0.0,-0.08,0.0,0.0,-0.041887902047863905,0.0
0.02,0.0,-0.08,0.0,0.0,-0.08,0.0,0.0,-0.041887902047863905,0.0
0.04,0.035286170518641816,-0.07875,0.03332582771205061,0.035286170518641816,-0.07875,0.03332582771205061,0.013548916831350007,-0.04123340357836603,0.016286071746774253
0.06,0.07023251592580616,-0.0775,0.06633070948548361,0.07023251592580616,-0.0775,0.06633070948548361,0.026967350187022763,-0.04057890510886816,0.032415299719754646
0.08,0.10450248381160644,-0.07625,0.0986967902665172,0.10450248381160644,-0.07625,0.0986967902665172,0.040126073218541336,-0.03992440663937029,0.04823235063642847
0.1,0.1377660356514323,-0.075,0.13011236700413054,0.1377660356514323,-0.075,0.13011236700413054,0.052898360229822465,-0.039269908169872414,0.06358489764998863
0.12,0.16970282525735914,-0.07375,0.1602748905208392,0.16970282525735914,-0.07375,0.1602748905208392,0.06516120711490522,-0.03861540970037454,0.07832508734013863
0.14,0.20000528388705677,-0.0725,0.18889387922666476,0.20000528388705677,-0.0725,0.18889387922666476,0.07679651595473226,-0.037960911230876665,0.09231096362235497
0.16,0.2283815822989124,-0.07125000000000001,0.21569371661563952,0.2283815822989124,-0.07125000000000001,0.21569371661563952,0.08769223236466929,-0.0373064127613788,0.10540783486258228
0.18,0.2545584412271571,-0.07,0.2404163056034262,0.2545584412271571,-0.07,0.2404163056034262,0.09774342463948404,-0.03665191429188092,0.11748957103129902
0.2,0.2782837632105853,-0.06875,0.2628235541433306,0.2782837632105853,-0.06875,0.2628235541433306,0.10685329430302955,-0.03599741582238305,0.12843981840465168
0.22,0.29932906042891627,-0.0675,0.2826996681828654,0.29932906042891627,-0.0675,0.2826996681828654,0.1149341083304845,-0.03534291735288518,0.13815312011442077
0.24,0.3174916551654078,-0.06625,0.2998532298784407,0.3174916551654078,-0.06625,0.2998532298784407,0.12190804406534221,-0.0346884188833873,0.14653593175531032
0.26,0.33259663170406323,-0.065,0.31411904105383753,0.33259663170406323,-0.065,0.31411904105383753,0.12770793869413496,-0.03403392041388943,0.1535075222687077
0.28,0.3444985208635952,-0.06375,0.32535971414895104,0.3444985208635952,-0.06375,0.32535971414895104,0.13227793606104254,-0.03337942194439156,0.15900075142690973
0.3,0.3530827009451629,-0.0625,0.3334669953370984,0.3530827009451629,-0.0625,0.3334669953370984,0.13557402459320692,-0.032724923474893676,0.16296271643021845
0.32,0.35826650160199086,-0.06125,0.33836280706854693,0.35826650160199086,-0.06125,0.33836280706854693,0.13756446115623816,-0.0320704250053958,0.16535526138982162
0.34,0.36,-0.06,0.34,0.36,-0.06,0.34,0.1382300767579509,-0.03141592653589793,0.1661553447898602
0.36,0.35826650160199086,-0.058750000000000004,0.338362807068547,0.35826650160199086,-0.058750000000000004,0.338362807068547,0.13756446115623816,-0.030761428066400063,0.16535526138982165
0.38,0.3530827009451629,-0.0575,0.3334669953370984,0.3530827009451629,-0.0575,0.3334669953370984,0.13557402459320692,-0.030106929596902185,0.16296271643021845
0.4,0.3444985208635952,-0.05625,0.32535971414895104,0.3444985208635952,-0.05625,0.32535971414895104,0.13227793606104254,-0.02945243112740431,0.15900075142690973
0.42,0.33259663170406323,-0.055,0.31411904105383753,0.33259663170406323,-0.055,0.31411904105383753,0.12770793869413496,-0.028797932657906436,0.1535075222687077
0.44,0.3174916551654078,-0.05375,0.29985322987844076,0.3174916551654078,-0.05375,0.29985322987844076,0.12190804406534221,-0.028143434188408565,0.14653593175531038
0.46,0.2993290604289163,-0.0525,0.28269966818286546,0.2993290604289163,-0.0525,0.28269966818286546,0.11493410833048451,-0.02748893571891069,0.1381531201144208
0.48,0.27828376321058534,-0.051250000000000004,0.26282355414333064,0.27828376321058534,-0.051250000000000004,0.26282355414333064,0.10685329430302956,-0.02683443724941282,0.12843981840465174
0.5,0.2545584412271571,-0.05,0.2404163056034262,0.2545584412271571,-0.05,0.2404163056034262,0.09774342463948404,-0.026179938779914945,0.11748957103129902
0.52,0.22838158229891237,-0.04875,0.2156937166156395,0.22838158229891237,-0.04875,0.2156937166156395,0.08769223236466928,-0.02552544031041707,0.10540783486258228
0.54,0.20000528388705677,-0.0475,0.18889387922666476,0.20000528388705677,-0.0475,0.18889387922666476,0.07679651595473226,-0.024870941840919196,0.09231096362235497
0.56,0.1697028252573592,-0.04625,0.16027489052083926,0.1697028252573592,-0.04625,0.16027489052083926,0.06516120711490525,-0.02421644337142132,0.07832508734013864
0.58,0.1377660356514322,-0.045,0.13011236700413042,0.1377660356514322,-0.045,0.13011236700413042,0.05289836022982243,-0.023561944901923447,0.06358489764998858
0.6,0.1045024838116066,-0.043750000000000004,0.09869679026651736,0.1045024838116066,-0.043750000000000004,0.09869679026651736,0.04012607321854139,-0.02290744643242558,0.04823235063642855
0.62,0.0702325159258063,-0.0425,0.06633070948548374,0.0702325159258063,-0.0425,0.06633070948548374,0.026967350187022815,-0.022252947962927705,0.0324152997197547
0.64,0.0352861705186419,-0.04125,0.033325827712050685,0.0352861705186419,-0.04125,0.033325827712050685,0.013548916831350039,-0.02159844949342983,0.01628607174677429
