envelope_cell_id,layout_branch_id,fan_layout,test_environment_mode,family,target_heading_deg,direction_sign,start_class,latency_case,radius_bin_m,speed_bin_m_s,wing_mean_bin_m_s,margin_bin_m,trial_count,evaluated_trial_count,success_count,success_fraction,nominal_pass_count,conservative_pass_count,dominant_failure_label,dominant_governor_rejection_cause,mean_heading_error_deg,median_heading_error_deg,mean_energy_residual_m,mean_lift_dwell_fraction,min_true_margin_m_min,saturation_fraction_mean,cell_status,branch_decision_scope
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=favourable|latency=nominal|radius=r[1.50,1.75)|speed=v[6.50,7.00)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,favourable,nominal,"r[1.50,1.75)","v[6.50,7.00)",ww_nan,"m[-0.25,0.00)",2,2,0,0.0,0,0,true_safety_violation,none,115.66547154186159,115.66547154186159,-0.23505142326079387,0.0,-0.12210055983917467,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=favourable|latency=nominal|radius=r[1.75,2.00)|speed=v[6.00,6.50)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,favourable,nominal,"r[1.75,2.00)","v[6.00,6.50)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,112.43823373060994,112.43823373060994,-0.28388167009763077,0.0,-0.037801618573834794,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=lift_sector|latency=nominal|radius=r[0.00,0.25)|speed=v[5.50,6.00)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,lift_sector,nominal,"r[0.00,0.25)","v[5.50,6.00)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,118.93754371366543,118.93754371366543,-0.13362385764207696,0.0,-0.036880212780694865,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=lift_sector|latency=nominal|radius=r[0.50,0.75)|speed=v[5.00,5.50)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,lift_sector,nominal,"r[0.50,0.75)","v[5.00,5.50)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,119.05322996230403,119.05322996230403,-0.06076776019633945,0.0,-0.0890380439549725,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=lift_sector|latency=nominal|radius=r[0.50,0.75)|speed=v[5.50,6.00)|wing_mean=ww_nan|margin=m[0.50,0.75)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,lift_sector,nominal,"r[0.50,0.75)","v[5.50,6.00)",ww_nan,"m[0.50,0.75)",1,1,0,0.0,0,0,target_miss,none,108.6178104191024,108.6178104191024,-0.2726616831442641,0.0,0.5492734933797526,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=mid_arena|latency=nominal|radius=r[1.50,1.75)|speed=v[7.00,7.50)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,mid_arena,nominal,"r[1.50,1.75)","v[7.00,7.50)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,112.11915641227566,112.11915641227566,-0.35030686239000985,0.0,-0.05216106532365394,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=mid_arena|latency=nominal|radius=r[1.75,2.00)|speed=v[6.00,6.50)|wing_mean=ww_nan|margin=m[0.00,0.25)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,mid_arena,nominal,"r[1.75,2.00)","v[6.00,6.50)",ww_nan,"m[0.00,0.25)",1,1,0,0.0,0,0,target_miss,none,111.38027261446959,111.38027261446959,-0.3269393698362979,0.0,0.04443211398083918,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=random_stress|latency=nominal|radius=r[4.00,4.25)|speed=v[6.00,6.50)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,random_stress,nominal,"r[4.00,4.25)","v[6.00,6.50)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,120.57020802222544,120.57020802222544,-0.09890934732715095,0.0,-0.033028379256648144,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=-1|start=random_stress|latency=nominal|radius=r[4.75,5.00)|speed=v[5.00,5.50)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,-1,random_stress,nominal,"r[4.75,5.00)","v[5.00,5.50)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,105.00580229612133,105.00580229612133,-0.27590382220817355,0.0,-0.02425763397504721,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W0_four_fan_branch|family=bank_yaw_energy_retaining|target=120p0|dir=1|start=favourable|latency=nominal|radius=r[1.50,1.75)|speed=v[6.50,7.00)|wing_mean=ww_nan|margin=m[-0.25,0.00)",four_fan_branch,four_fan,W0_four_fan_branch,bank_yaw_energy_retaining,120.0,1,favourable,nominal,"r[1.50,1.75)","v[6.50,7.00)",ww_nan,"m[-0.25,0.00)",1,1,0,0.0,0,0,true_safety_violation,none,114.51990788167727,114.51990788167727,-0.3132090394437901,0.0,-0.10791845137321499,0.0,all_failure,branch_local_only_no_cross_layout_decision_transfer
