cluster_id,medoid_sample_id,primitive_id,fan_branch,W_layer,latency_case,entry_source,outcome_class,primitive_family,dwell_time_s,energy_residual_m,minimum_margin_m,exit_speed_m_s,failure_label,recommended_use,is_medoid,controller_mode,feedback_mode,claim_status,evidence_role
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000014,fg_20260522_four_fan_branch_W1_000014__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,rejected,energy_retaining_bank,0.0,0.0,1.43793273486,6.83473583609,primitive_entry_check_failed,diagnostic_only,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000008,fg_20260522_four_fan_branch_W1_000008__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,rejected,energy_retaining_bank,0.0,0.0,0.1689176949699999,5.27775603861,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000011,fg_20260522_four_fan_branch_W1_000011__W0__energy_retaining_bank,four_fan_branch,W0,nominal,local_robustness_shell,rejected,energy_retaining_bank,0.0,0.0,0.19008476666,7.49721328985,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=glide|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000014,fg_20260522_four_fan_branch_W1_000014__W0__glide,four_fan_branch,W0,nominal,diagnostic_broad_only,rejected,glide,0.0,0.0,1.43793273486,6.83473583609,primitive_entry_check_failed,diagnostic_only,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=glide|latency_case=nominal|entry_source=launch_gate_main|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000008,fg_20260522_four_fan_branch_W1_000008__W0__glide,four_fan_branch,W0,nominal,launch_gate_main,rejected,glide,0.0,0.0,0.1689176949699999,5.27775603861,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=glide|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000011,fg_20260522_four_fan_branch_W1_000011__W0__glide,four_fan_branch,W0,nominal,local_robustness_shell,rejected,glide,0.0,0.0,0.19008476666,7.49721328985,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=launch_gate_main|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000008,fg_20260522_four_fan_branch_W1_000008__W0__lift_dwell_arc,four_fan_branch,W0,nominal,launch_gate_main,rejected,lift_dwell_arc,0.0,0.0,0.1689176949699999,5.27775603861,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000011,fg_20260522_four_fan_branch_W1_000011__W0__lift_dwell_arc,four_fan_branch,W0,nominal,local_robustness_shell,rejected,lift_dwell_arc,0.0,0.0,0.19008476666,7.49721328985,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_entry|latency_case=nominal|entry_source=launch_gate_main|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000008,fg_20260522_four_fan_branch_W1_000008__W0__lift_entry,four_fan_branch,W0,nominal,launch_gate_main,rejected,lift_entry,0.0,0.0,0.1689176949699999,5.27775603861,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_entry|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260522_four_fan_branch_W1_000011,fg_20260522_four_fan_branch_W1_000011__W0__lift_entry,four_fan_branch,W0,nominal,local_robustness_shell,rejected,lift_entry,0.0,0.0,0.19008476666,7.49721328985,primitive_entry_check_failed,reject,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
