chunk_index,chunk_count,fan_branch,candidate_row_count,sample_row_count
0,96,single_fan_branch,2500,179
1,96,single_fan_branch,2500,180
2,96,single_fan_branch,2500,179
3,96,single_fan_branch,2500,180
4,96,single_fan_branch,2500,179
5,96,single_fan_branch,2500,180
6,96,single_fan_branch,2500,179
7,96,single_fan_branch,2500,179
8,96,single_fan_branch,2500,180
9,96,single_fan_branch,2500,179
10,96,single_fan_branch,2500,180
11,96,single_fan_branch,2500,179
12,96,single_fan_branch,2500,180
13,96,single_fan_branch,2500,179
14,96,single_fan_branch,2500,179
15,96,single_fan_branch,2500,180
16,96,single_fan_branch,2500,179
17,96,single_fan_branch,2500,180
18,96,single_fan_branch,2500,179
19,96,single_fan_branch,2500,180
20,96,single_fan_branch,2500,179
21,96,single_fan_branch,2500,179
22,96,single_fan_branch,2500,180
23,96,single_fan_branch,2500,179
24,96,single_fan_branch,2500,180
25,96,single_fan_branch,2500,179
26,96,single_fan_branch,2500,180
27,96,single_fan_branch,2500,179
28,96,single_fan_branch,2500,179
29,96,single_fan_branch,2500,180
30,96,single_fan_branch,2500,179
31,96,single_fan_branch,2500,180
32,96,single_fan_branch,2500,179
33,96,single_fan_branch,2500,180
34,96,single_fan_branch,2500,179
35,96,single_fan_branch,2500,179
36,96,single_fan_branch,2500,180
37,96,single_fan_branch,2500,179
38,96,single_fan_branch,2500,180
39,96,single_fan_branch,2500,179
40,96,single_fan_branch,2500,180
41,96,single_fan_branch,2500,179
42,96,single_fan_branch,2500,179
43,96,single_fan_branch,2500,180
44,96,single_fan_branch,2500,179
45,96,single_fan_branch,2500,180
46,96,single_fan_branch,2500,179
47,96,single_fan_branch,2500,180
48,96,four_fan_branch,2500,179
49,96,four_fan_branch,2500,180
50,96,four_fan_branch,2500,179
51,96,four_fan_branch,2500,180
52,96,four_fan_branch,2500,179
53,96,four_fan_branch,2500,180
54,96,four_fan_branch,2500,179
55,96,four_fan_branch,2500,179
56,96,four_fan_branch,2500,180
57,96,four_fan_branch,2500,179
58,96,four_fan_branch,2500,180
59,96,four_fan_branch,2500,179
60,96,four_fan_branch,2500,180
61,96,four_fan_branch,2500,179
62,96,four_fan_branch,2500,179
63,96,four_fan_branch,2500,180
64,96,four_fan_branch,2500,179
65,96,four_fan_branch,2500,180
66,96,four_fan_branch,2500,179
67,96,four_fan_branch,2500,180
68,96,four_fan_branch,2500,179
69,96,four_fan_branch,2500,179
70,96,four_fan_branch,2500,180
71,96,four_fan_branch,2500,179
72,96,four_fan_branch,2500,180
73,96,four_fan_branch,2500,179
74,96,four_fan_branch,2500,180
75,96,four_fan_branch,2500,179
76,96,four_fan_branch,2500,179
77,96,four_fan_branch,2500,180
78,96,four_fan_branch,2500,179
79,96,four_fan_branch,2500,180
80,96,four_fan_branch,2500,179
81,96,four_fan_branch,2500,180
82,96,four_fan_branch,2500,179
83,96,four_fan_branch,2500,179
84,96,four_fan_branch,2500,180
85,96,four_fan_branch,2500,179
86,96,four_fan_branch,2500,180
87,96,four_fan_branch,2500,179
88,96,four_fan_branch,2500,180
89,96,four_fan_branch,2500,179
90,96,four_fan_branch,2500,179
91,96,four_fan_branch,2500,180
92,96,four_fan_branch,2500,179
93,96,four_fan_branch,2500,180
94,96,four_fan_branch,2500,179
95,96,four_fan_branch,2500,180
