library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,18,15
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,18,15
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,18,15
balanced_cluster,no_memory_baseline,final_heldout,18,15
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,11,8
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,11,8
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,11,8
heavy_cluster,no_memory_baseline,final_heldout,11,8
light_cluster,directional_3d_residual_memory_h10,final_heldout,19,16
light_cluster,directional_3d_residual_memory_h3,final_heldout,19,16
light_cluster,directional_3d_residual_memory_h30,final_heldout,19,16
light_cluster,no_memory_baseline,final_heldout,19,16
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,21,18
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,21,18
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,21,18
no_cluster_no_merge,no_memory_baseline,final_heldout,21,18
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,20,17
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,20,17
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,20,17
super_light_cluster,no_memory_baseline,final_heldout,20,17
