library_size_case_id,primitive_id,transition_entry_class,start_state_family,candidate_rows,viable_rows
no_cluster_no_merge,energy_retaining_bank,boundary_near,launch_gate,3,0
no_cluster_no_merge,energy_retaining_bank,inflight_stable,launch_gate,3,0
no_cluster_no_merge,energy_retaining_bank,launch_gate,launch_gate,15,15
no_cluster_no_merge,energy_retaining_bank,recoverable_degraded,launch_gate,3,0
no_cluster_no_merge,glide,launch_gate,launch_gate,5,5
no_cluster_no_merge,lift_dwell_arc,launch_gate,launch_gate,3,3
no_cluster_no_merge,lift_entry,launch_gate,launch_gate,5,5
no_cluster_no_merge,mild_turn_left,launch_gate,launch_gate,3,3
no_cluster_no_merge,mild_turn_right,boundary_near,launch_gate,2,0
no_cluster_no_merge,mild_turn_right,launch_gate,launch_gate,7,7
no_cluster_no_merge,recovery,launch_gate,launch_gate,3,3
no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,launch_gate,3,3
