comparison_type,library_size_case_id,policy_id,baseline_policy_id,history_length,paired_launch_count,mean_paired_delta_launch_score,median_paired_delta_launch_score,win_rate,loss_rate,safety_regression_rate,mission_success_delta_mean,front_wall_terminal_success_delta_mean,wrong_wall_exit_delta_mean,memory_changed_selection_rate,exploration_changed_selection_rate,mean_net_specific_energy_delta_m_delta,mean_positive_specific_energy_gain_m_delta,mean_updraft_specific_energy_gain_proxy_m_delta,mean_terminal_specific_energy_m_delta,mean_terminal_specific_energy_bonus_delta,mean_gross_specific_energy_loss_m_delta,mean_episode_flight_time_s_delta
memory_vs_no_memory,balanced_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.7242154919638874e-06,0.0,0.0,1.7242154919561159e-06,0.0,-1.7242154919638874e-06,0.0
memory_vs_no_memory,balanced_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,4.601668144459836e-05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,7.008914490027607e-06,0.0,2.3008340722507904e-06,7.008914490018725e-06,0.0,-7.008914490027607e-06,0.0
memory_vs_no_memory,balanced_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,heavy_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.00023600524519906685,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,2.3600517300268466e-05,0.0,3.609808008064874e-12,2.3600517300259582e-05,0.00023600517300266687,-2.3600517300268466e-05,0.0
memory_vs_no_memory,heavy_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,0.005603926073329149,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.12,0.0,0.00014990560954888932,0.0,-2.934636366353771e-06,0.00014990560954890596,0.0056626188006557495,-0.00014990560954889154,-0.0003999999999999959
memory_vs_no_memory,heavy_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,light_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,light_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,7.4949063489953e-05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.0,9.729554703801212e-06,0.0,2.3008340722507904e-06,9.729554703792332e-06,2.8932382045425698e-05,-9.729554703801212e-06,0.0
memory_vs_no_memory,light_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-9.214297163811003e-05,-4.7655234949239844e-06,-4.904735019004569e-06,-9.214297163810947e-05,0.0,8.737744814318604e-05,0.0
memory_vs_no_memory,no_cluster_no_merge,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.0003180350664487719,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.14,0.0,-9.875575570170159e-05,2.5052113653140085e-05,-2.799977996461841e-05,-9.875575570171824e-05,0.0,0.00012380786935484056,0.0
memory_vs_no_memory,no_cluster_no_merge,directional_3d_residual_memory_h3,no_memory_baseline,3,50,4.491716673021274,0.0,0.14,0.08,0.0,0.02,0.02,-0.02,0.34,0.0,-0.011892690043423757,-0.0010889483534824238,-0.0001418859219356361,-0.011892690043423738,0.3886490218116728,0.010803741689941334,0.0020000000000000018
memory_vs_no_memory,no_cluster_no_merge,directional_3d_residual_memory_h30,no_memory_baseline,30,50,3.0461843265925382e-05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.000521736783957037,-1.0661739243263968e-05,-2.8393891929012067e-06,-0.000521736783957043,0.0,0.0005110750447137752,0.0
memory_vs_no_memory,super_light_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,super_light_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,0.0044829497682331975,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.12,0.0,0.0001621512946029624,-0.00014796174689500591,-1.1846370537024921e-05,0.00016215129460297017,0.0027198771789736396,-0.00031011304149796803,0.0
memory_vs_no_memory,super_light_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-3.567965417490271e-06,0.0,-1.0467873245900705e-05,-3.567965417481389e-06,0.0,3.5679654174922136e-06,0.0
