library_size_case_id,primitive_id,transition_entry_class,start_state_family,candidate_rows,viable_rows
balanced_cluster,energy_retaining_bank,launch_gate,launch_gate,52,52
balanced_cluster,glide,launch_gate,launch_gate,56,56
balanced_cluster,lift_dwell_arc,launch_gate,launch_gate,76,76
balanced_cluster,lift_entry,launch_gate,launch_gate,44,44
balanced_cluster,mild_turn_left,launch_gate,launch_gate,52,52
balanced_cluster,mild_turn_right,launch_gate,launch_gate,48,48
balanced_cluster,recovery,launch_gate,launch_gate,76,76
balanced_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,76,76
heavy_cluster,energy_retaining_bank,launch_gate,launch_gate,20,20
heavy_cluster,glide,launch_gate,launch_gate,20,20
heavy_cluster,lift_dwell_arc,launch_gate,launch_gate,44,44
heavy_cluster,lift_entry,launch_gate,launch_gate,44,44
heavy_cluster,mild_turn_left,launch_gate,launch_gate,44,44
heavy_cluster,mild_turn_right,launch_gate,launch_gate,76,76
heavy_cluster,recovery,launch_gate,launch_gate,20,20
heavy_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,60,60
light_cluster,energy_retaining_bank,launch_gate,launch_gate,108,108
light_cluster,glide,launch_gate,launch_gate,104,104
light_cluster,lift_dwell_arc,launch_gate,launch_gate,112,112
light_cluster,lift_entry,launch_gate,launch_gate,104,104
light_cluster,mild_turn_left,launch_gate,launch_gate,100,100
light_cluster,mild_turn_right,launch_gate,launch_gate,108,108
light_cluster,recovery,launch_gate,launch_gate,100,100
light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,112,112
no_cluster_no_merge,energy_retaining_bank,launch_gate,launch_gate,358,358
no_cluster_no_merge,glide,launch_gate,launch_gate,322,322
no_cluster_no_merge,lift_dwell_arc,launch_gate,launch_gate,455,455
no_cluster_no_merge,lift_entry,launch_gate,launch_gate,314,314
no_cluster_no_merge,mild_turn_left,launch_gate,launch_gate,534,534
no_cluster_no_merge,mild_turn_right,launch_gate,launch_gate,393,393
no_cluster_no_merge,recovery,launch_gate,launch_gate,235,235
no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,launch_gate,246,246
super_light_cluster,energy_retaining_bank,launch_gate,launch_gate,212,212
super_light_cluster,glide,launch_gate,launch_gate,212,212
super_light_cluster,lift_dwell_arc,launch_gate,launch_gate,216,216
super_light_cluster,lift_entry,launch_gate,launch_gate,212,212
super_light_cluster,mild_turn_left,launch_gate,launch_gate,220,220
super_light_cluster,mild_turn_right,launch_gate,launch_gate,208,208
super_light_cluster,recovery,launch_gate,launch_gate,216,216
super_light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,220,220
