parameter,old_value,new_value,reason,stage_id
maximum_hard_failure_risk,0.65,0.55,hard_failure_rate_above_stage_profile_tighten_admission,R10
hard_failure_weight,-1.0,-1.25,hard_failure_rate_above_stage_profile_penalise_risk_more,R10
terminal_hard_failure_weight,-0.9375,-1.171875,hard_failure_rate_above_stage_profile_penalise_terminal_risk_more,R10
exploration_bonus_weight,0.01,0.005,hard_failure_rate_above_stage_profile_reduce_exploration_bonus,R10
memory_switch_min_confidence,0.5,0.55,hard_failure_rate_above_stage_profile_require_stronger_memory_confidence,R10
memory_switch_min_score_margin,0.0075,0.01,hard_failure_rate_above_stage_profile_require_stronger_memory_score_margin,R10
memory_switch_max_base_score_drop,0.0225,0.016875,hard_failure_rate_above_stage_profile_tighten_baseline_non_regression,R10
memory_switch_max_transition_success_drop,0.01,0.005,hard_failure_rate_above_stage_profile_tighten_transition_non_regression,R10
exploration_switch_min_uncertainty,0.6000000000000001,0.6500000000000001,hard_failure_rate_above_stage_profile_make_exploration_more_selective,R10
exploration_switch_max_base_score_drop,0.005,0.0025,hard_failure_rate_above_stage_profile_reduce_exploration_base_score_drop,R10
adaptive_switch_max_path_exit_margin_drop_m,0.037500000000000006,0.028125000000000004,hard_failure_rate_above_stage_profile_tighten_path_exit_margin_shield,R10
candidate_path_memory_residual_cap_m,0.6375,0.541875,hard_failure_rate_above_stage_profile_cap_memory_residual_effect,R10
candidate_path_memory_specific_energy_residual_cap_m,0.85,0.7224999999999999,hard_failure_rate_above_stage_profile_cap_specific_energy_residual_effect,R10
