outer_case_index,outer_case_id,outer_case_type,environment_block_id,environment_block_local_index,environment_block_label,environment_change_family,W_layer,environment_mode,fan_layout_policy,scheduled_fan_layout_count,scheduled_active_fan_count,active_fan_count_policy,fan_position_policy,fan_position_xy_bounds_m,fan_position_safety_radius_m,launch_state_seed,environment_seed,environment_layout_seed,environment_active_fan_seed,environment_parameter_seed,plant_implementation_seed,paired_start_condition_index,paired_start_condition_key,paired_start_condition_policy,between_episode_environment_variation,between_episode_environment_parameter_variation,between_episode_fan_layout_variation,between_episode_active_fan_count_variation,plant_implementation_variation_scope,common_final_launch_key,start_state_family,launch_sequence_policy,claim_status,episode_id,launch_role,library_size_case_id,policy_id,history_length,adaptation_launch_index,history_launch_index
0,r10_reduced_diagnostic_outer_0000,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,0,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,0,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000011,23000020,22000018,22000019,23000020,33000023,0,r10_reduced_diagnostic_paired_start_0000,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0000_hist_000,history,heavy_cluster,spatial_flow_belief_memory_h3,3,0,0
0,r10_reduced_diagnostic_outer_0000,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,0,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,0,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000112,23000121,22000018,22000019,23000121,33000023,0,r10_reduced_diagnostic_paired_start_0000,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0000_hist_001,history,heavy_cluster,spatial_flow_belief_memory_h3,3,1,1
0,r10_reduced_diagnostic_outer_0000,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,0,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,0,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000213,23000222,22000018,22000019,23000222,33000023,0,r10_reduced_diagnostic_paired_start_0000,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0000_hist_002,history,heavy_cluster,spatial_flow_belief_memory_h3,3,2,2
1,r10_reduced_diagnostic_outer_0001,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,1,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,1,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000048,23000061,22000059,22000060,23000061,33000066,1,r10_reduced_diagnostic_paired_start_0001,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0001_hist_000,history,heavy_cluster,spatial_flow_belief_memory_h3,3,0,0
1,r10_reduced_diagnostic_outer_0001,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,1,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,1,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000149,23000162,22000059,22000060,23000162,33000066,1,r10_reduced_diagnostic_paired_start_0001,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0001_hist_001,history,heavy_cluster,spatial_flow_belief_memory_h3,3,1,1
1,r10_reduced_diagnostic_outer_0001,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,1,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,1,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000250,23000263,22000059,22000060,23000263,33000066,1,r10_reduced_diagnostic_paired_start_0001,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0001_hist_002,history,heavy_cluster,spatial_flow_belief_memory_h3,3,2,2
2,r10_reduced_diagnostic_outer_0002,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,2,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,2,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000085,23000102,22000100,22000101,23000102,33000109,2,r10_reduced_diagnostic_paired_start_0002,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0002_hist_000,history,heavy_cluster,spatial_flow_belief_memory_h3,3,0,0
2,r10_reduced_diagnostic_outer_0002,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,2,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,2,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000186,23000203,22000100,22000101,23000203,33000109,2,r10_reduced_diagnostic_paired_start_0002,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0002_hist_001,history,heavy_cluster,spatial_flow_belief_memory_h3,3,1,1
2,r10_reduced_diagnostic_outer_0002,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,2,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,2,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000287,23000304,22000100,22000101,23000304,33000109,2,r10_reduced_diagnostic_paired_start_0002,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0002_hist_002,history,heavy_cluster,spatial_flow_belief_memory_h3,3,2,2
3,r10_reduced_diagnostic_outer_0003,r10_l7_full_domain_randomisation_arena_wide_training,r10_l7_full_domain_randomisation_arena_wide_training,3,R10 L7 full-domain randomisation arena-wide governor tuning,r10_l7_full_domain_randomisation_arena_wide_training,W3,w3_randomised_four,four_fan_geometry,4,3,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,independent_uniform_xy_bounds,x=0.000:8.000;y=0.000:4.800,0.5,12000122,23000143,22000141,22000142,23000143,33000152,3,r10_reduced_diagnostic_paired_start_0003,outer_case_unique_launch_seed,True,True,False,False,fixed_per_outer_case,r10_reduced_diagnostic_final_0003,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r10_heavy_cluster_spatial_flow_belief_memory_h3_final_0003_hist_000,history,heavy_cluster,spatial_flow_belief_memory_h3,3,0,0
