gate_id,passed,observed,required
final_heldout_launch_count,True,200,200
history_launch_count,True,2150,2150
library_size_case_count,True,5,5
policy_history_condition_count,True,4,4
pairing_audit,True,10,10
primitive_count_cap_disabled_for_full_validation,True,0,0_or_negative_disabled
max_episode_time_budget_positive,True,20.0,>=0.1
no_glider_latency_variation_audit,True,10,10
reduced_diagnostic_not_target_R10,False,reduced_diagnostic_not_target_R10,full_R10_validation_required
final_rollout_rows_present,False,0,200
