audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,180,135,5,5,0,1.2144458409251895e-11,9.144247444738607e-10,0.0,0.012144458409251895,0,0.029991949727193903,0.888944554180608,8.130240200538577e-10,9,8.269295001836793e-11,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",9,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9135176569310866,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",9,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9135113105592494,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:light_cluster",9,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9178985369312722,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",9,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.917809037349106,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",9,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9178985369312722,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",9,9,0,0,0,0.0,0.0,0.0,0.0,0,0.031184773248157643,0.8848870934209465,3.684732596798586e-11,1,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",9,9,0,0,0,0.0,0.0,0.0,0.0,0,0.03337221640181623,0.88268735594285,2.105976890676395e-09,1,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",9,9,0,0,0,0.0,0.0,0.0,0.0,0,0.03459225027057308,0.885680072168081,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",9,9,5,5,0,2.428891681850379e-10,9.144247444738607e-10,0.0,0.24288916818503786,0,0.031604775173274785,0.8885843598848434,0.0,0,1.6538590003673588e-09,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
