audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,180,180,1.0,63,0.35,132,0.7333333333333333,,5.801895000004151,2.3804539730010905,0.16862280722194148,13.333333333333334,48,426.4,1587,413.06666666666666,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,72,72,1.0,41,0.5694444444444444,68,0.9444444444444444,,5.801895000004151,1.8812138690056217,0.10825300138892792,2.388888888888889,5,50.0,75,47.611111111111114,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,72,72,1.0,21,0.2916666666666667,55,0.7638888888888888,,5.553110799999558,1.7837298879956838,0.1364794555550664,6.944444444444445,10,222.5,295,215.55555555555554,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,36,36,1.0,1,0.027777777777777776,9,0.25,,1.537089500001457,1.432386405002398,0.35364912222171874,48.0,48,1587.0,1587,1539.0,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,64,64,1.0,40,0.625,63,0.984375,False,0.1256251000086194,0.08510721700629781,0.022074692187743446,2.3125,3,50.0,75,47.6875,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,64,64,1.0,20,0.3125,53,0.828125,,0.2055598000079044,0.19304774800577426,0.0516832437497214,7.0,10,222.5,295,215.5,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,20,20,1.0,2,0.1,8,0.4,,5.801895000004151,5.7546260020032785,0.8198081949984044,13.4,48,426.4,1587,413.0,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,36,36,1.0,20,0.5555555555555556,34,0.9444444444444444,,0.2798089000061736,0.22160201000297064,0.03300699722139038,2.888888888888889,5,75.0,75,72.11111111111111,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,36,36,1.0,21,0.5833333333333334,34,0.9444444444444444,,5.801895000004151,3.815200535005707,0.18349900555646548,1.8888888888888888,2,25.0,25,23.11111111111111,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,36,36,1.0,13,0.3611111111111111,30,0.8333333333333334,,0.1793103000018163,0.17097480499978693,0.04445241944328393,5.0,5,150.0,150,145.0,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
