comparison_type,library_size_case_id,environment_block_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,paired_delta_launch_score,mission_success_delta,front_wall_terminal_success_delta,wrong_wall_exit_delta,safe_success_delta,hard_failure_delta,floor_or_ceiling_violation_delta,no_viable_primitive_delta,net_specific_energy_delta_m_delta,positive_specific_energy_gain_m_delta,updraft_specific_energy_gain_proxy_m_delta,terminal_specific_energy_m_delta,terminal_specific_energy_bonus_delta,gross_specific_energy_loss_m_delta,episode_flight_time_s_delta,memory_changed_selection,exploration_changed_selection,safety_regression,claim_status
memory_vs_no_memory,heavy_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,124.64193403129129,124.64193403129129,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,124.80700030090681,124.80700030090681,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,124.64193403129129,124.64193403129129,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,124.80700030090681,124.80700030090681,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.06938938234621483,0.0,0.11036259381466285,-0.06938938234621483,0.0,0.06938938234621483,0.040000000000000036,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,124.83380299828411,124.83380299828411,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,124.83380299828411,124.83380299828411,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h30,no_memory_baseline,30,124.64193403129129,124.64193403129129,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,124.83433660781378,124.83380299828411,0.0005336095296684107,0,0,0,0,0,0,0,-0.012285813366005094,0.0,2.6680476483520454e-05,-0.012285813366005094,0.0,0.012285813366005094,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h30,no_memory_baseline,30,124.80784372092931,124.80700030090681,0.0008434200225053701,0,0,0,0,0,0,0,-0.00040036408593291384,0.0,4.2171001125579366e-05,-0.00040036408593291384,0.0,0.00040036408593291384,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0273381328600677,0.0,0.2188714756603487,-0.0273381328600677,0.0,0.0273381328600677,0.020000000000000018,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,124.83433660781378,124.83380299828411,0.0005336095296684107,0,0,0,0,0,0,0,-0.012285813366005094,0.0,2.6680476483520454e-05,-0.012285813366005094,0.0,0.012285813366005094,0.0,True,False,False,simulation_only_paired_launch_score_audit
