audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,444,333,15,15,0,1.9764819580841103e-05,0.0025651040953024,2.2789803332235577e-06,0.395287956934578,15,0.030811688019500755,0.8404840075831147,1.8586245026042814e-06,108,0.40635804707885254,333,0.0685699048255459,333,2.4452220856753695e-05,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8826912355902912,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8102757306344238,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:light_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8815769207362244,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",23,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8584863688020702,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8709921058254552,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.042683132250137375,0.8534760640858411,3.584364879631148e-06,8,0.5505849954296276,22,0.09287773562393004,22,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.04446769808348278,0.785064776981465,1.5319822774894735e-05,10,0.5242295158040297,22,0.09042608206684669,22,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",22,22,1,1,0,1.1295003539779131e-06,2.4849007787514088e-05,4.5454545454843237e-07,0.11295003539705135,1,0.0433355037556168,0.8527443391293044,5.159464739177029e-06,8,0.5513158814218356,22,0.09248699906071672,22,9.508880093524818e-07,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",23,23,2,2,0,2.6159479433939645e-06,4.823688430873052e-05,1.3043478260858472e-06,0.18762865435670514,2,0.04400872712887667,0.8358244433770096,2.736341814860278e-06,8,0.5352912583027418,23,0.08972656068174938,23,2.5406774653013997e-06,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
