audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,400,300,21,21,0,0.0004924530130112413,0.0516383560914817,4.595754570389745e-05,0.5195641725561017,16,0.027882130899031736,0.8617758198280403,4.1284332738272705e-07,79,0.4279034696835747,300,0.07215584462039507,300,0.0,0,-8.861986842324563e-05,0.17356131039035524,0.0015788155604334986,0.0004494634038647659,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8818832558720107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8543122130853001,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894650837089492,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.890282949640465,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894413951535878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",20,20,1,1,0,0.000728590263631215,0.0145718052726243,6.353924041647e-05,0.573338820904714,1,0.03862105752060706,0.8557380642910447,1.9804000866428486e-08,5,0.5661432147312134,20,0.09533580088830032,20,0.0,0,0.00013922418126429724,0.24138277398987693,0.0006023477404881298,0.00066245870562151,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03684991110296215,0.8298303788189669,7.012751010069877e-07,7,0.5668821431194582,20,0.09734008324840025,20,0.0,0,1.5578271713827314e-08,0.2935595449630466,1.5195653158195528e-06,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03303729003440896,0.8655559003811117,1.8598827122857994e-08,5,0.5746569842274738,20,0.09626008187638203,20,0.0,0,3.140012545504586e-07,0.22058993563294654,1.4927000719585363e-05,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",20,20,1,1,0,3.645546223278451e-06,7.291092446556902e-05,3.333333333332966e-06,0.05468319334918278,1,0.03901539636905321,0.8632193069246513,1.5607578564291898e-09,5,0.575122952011731,20,0.09583193891890804,20,0.0,0,-0.0003524314839017408,0.20141109965184906,0.002954369367467801,1.1187374107768378e-06,outer_loop_route_flow_belief_memory_v4_0,profiled
