audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,400,400,1.0,124,0.31,308,0.77,,5.612308499999926,1.3375925699984506,0.12834904899984392,12.8,48,446.4,1598,433.6,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,160,160,1.0,78,0.4875,150,0.9375,,5.612308499999926,2.250604226998677,0.0994154800001524,3.15,5,60.0,90,56.85,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,160,160,1.0,45,0.28125,136,0.85,,0.330374799996207,0.30160274700312584,0.05726712000005132,6.53125,10,257.0,335,250.46875,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,80,80,1.0,1,0.0125,22,0.275,,1.50340590000269,1.4074099979992747,0.32838004499881207,44.6375,48,1598.0,1598,1553.3625,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,144,144,1.0,74,0.5138888888888888,137,0.9513888888888888,False,0.1886425999982748,0.15950839399716626,0.030637995833482465,3.2777777777777777,5,60.0,90,56.72222222222222,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,144,144,1.0,41,0.2847222222222222,127,0.8819444444444444,,0.2978157000106876,0.25870955800164647,0.05175325624986722,6.5625,10,257.0,335,250.4375,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,8,0.2,24,0.6,,5.612308499999926,5.458456931999681,0.4794206700009454,12.9,48,446.4,1598,433.5,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,41,0.5125,75,0.9375,,0.1677791000038269,0.15258408199159007,0.033448496249911794,3.25,4,90.0,90,86.75,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,37,0.4625,75,0.9375,,5.612308499999926,5.300660451999426,0.16538246375039303,3.05,5,30.0,30,26.95,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,80,80,1.0,25,0.3125,74,0.925,,0.1981255999926361,0.14696962400244915,0.04365482250050259,4.5125,6,179.0,179,174.4875,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
