audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,160,120,14,14,0,0.0006373245869689565,0.0516383560914817,6.878426428025137e-05,0.8159539374771437,9,0.026526656807983884,0.9051138280508813,8.718101939924713e-08,12,0.4347567419507465,120,0.07105948602201986,120,0.0035017054741372754,14,-0.0002704413395809675,0.10550880780739709,0.003418606067652993,0.0005776925359014722,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",8,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9384998095491104,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",8,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8705688421610908,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",8,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9387265928653367,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",8,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9394069116101407,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",8,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9389893071691776,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",8,8,0,0,0,0.0,0.0,0.0,0.0,0,0.029536318342948436,0.9141471301346134,0.0,0,0.5819278341262137,8,0.09392684177578245,8,0.0,0,0.0,0.11013229716386455,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",8,8,0,0,0,0.0,0.0,0.0,0.0,0,0.031119604120865813,0.8479636703691338,1.7436199786837756e-06,2,0.5829242615290278,8,0.09870550015809618,8,3.5735120086450996e-10,1,-1.515582627300973e-11,0.24786902236559244,2.875452222146535e-10,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",8,8,0,0,0,0.0,0.0,0.0,0.0,0,0.030611221675410864,0.9130295668895967,0.0,0,0.5814004255098806,8,0.0938399280941036,8,0.0,0,0.0,0.11042436248221582,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",8,8,0,0,0,0.0,0.0,0.0,0.0,0,0.039133640153106594,0.9119114023412443,0.0,0,0.5801647291868639,8,0.09374125345549006,8,0.008639793605939012,1,-0.0008831605753135875,0.1048557634090808,0.00732690740596935,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
