audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,400,300,11,11,0,0.00017649334165074551,0.0134921683819094,4.192392839534e-05,0.11826313668653357,11,0.027882645776471003,0.8613836226599002,1.0322949006979227e-06,77,0.4277703946679675,300,0.0365264175373943,300,0.03667548846779125,300,-3.909774994124653e-05,0.17316321641855562,0.0006251146362130411,0.00013456941325540526,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8818832558720107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8543122130853001,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894650837089492,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.890282949640465,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894413951535878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03732381064813663,0.856811800422609,2.4296715562392867e-08,5,0.5663944203256508,20,0.049455335475897755,20,0.049707273052292264,20,1.2109627439571926e-07,0.24211861742013752,6.6136876067421305e-06,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",20,20,1,1,0,0.000204855590768695,0.0040971118153739,6.9457707620165e-05,0.14746786050653735,1,0.03875525443341613,0.8291865809876843,7.633036003112838e-07,6,0.5664675024104316,20,0.049160181155112795,20,0.049366522663982546,20,5.255011207589345e-06,0.2884648768262087,2.730870077070978e-05,0.00013539788314853,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03302557714817837,0.8654986901174366,1.561987760725741e-08,4,0.5745997740046002,20,0.04927469671495714,20,0.04956796721321262,20,5.753639413422336e-08,0.22060010138520175,3.2138910695678254e-06,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03744098758919625,0.8633827435780941,1.578848878274974e-06,6,0.5755046770979446,20,0.04797043321266718,20,0.04819035979731634,20,-0.00014223655701880007,0.18684128585337353,0.0013347130004637655,0.0,outer_loop_route_flow_belief_memory_v4_0,profiled
