audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,400,400,1.0,132,0.33,320,0.8,,4.573777200013865,1.517617604995247,0.1185544804998062,12.7225,48,446.4,1598,433.6775,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,160,160,1.0,82,0.5125,153,0.95625,,4.573777200013865,1.9037984629996068,0.08676216312442189,3.15,5,60.0,90,56.85,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,160,160,1.0,49,0.30625,143,0.89375,,0.3005029999985709,0.2632017880036437,0.05012632125008163,6.5875,10,257.0,335,250.4125,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,80,80,1.0,1,0.0125,24,0.3,,1.7435695000021951,1.6788086969972205,0.3189954337500239,44.1375,48,1598.0,1598,1553.8625,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,144,144,1.0,78,0.5416666666666666,140,0.9722222222222222,False,0.2253920000002836,0.16316639799173535,0.030092249305198444,3.2777777777777777,5,60.0,90,56.72222222222222,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,144,144,1.0,45,0.3125,133,0.9236111111111112,,0.262538900009531,0.23123138699702384,0.0454634187499828,6.625,10,257.0,335,250.375,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,8,0.2,25,0.625,,4.573777200013865,4.474439949007937,0.42841679749908507,12.9,48,446.4,1598,433.5,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,41,0.5125,79,0.9875,,0.1039918000024044,0.0982568740014539,0.028189511249365702,3.25,4,90.0,90,86.75,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,41,0.5125,74,0.925,,4.573777200013865,4.372555589001857,0.1453348149994781,3.05,5,30.0,30,26.95,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,80,80,1.0,25,0.3125,74,0.925,,0.2247338999950443,0.16281599100177066,0.043437615000311736,4.525,6,179.0,179,174.475,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
