library_size_case_id,policy_id,history_length,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,physical_hard_failure_rate,floor_or_ceiling_violation_rate,physical_floor_or_ceiling_violation_rate,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_rate,no_viable_primitive_rate,mission_success_rate,front_wall_terminal_success_rate,wrong_wall_exit_rate,terminal_useful_rate,lift_capture_rate,mean_lift_dwell_time_s,mean_energy_residual_m,mean_net_specific_energy_delta_m,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_gross_specific_energy_loss_m,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_episode_flight_time_s,mean_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_min_wall_margin_m,selected_primitive_family_count,selected_variant_count,governor_rejection_count,belief_observation_count,belief_uncertainty,memory_changed_selection_rate,exploration_changed_selection_rate
balanced_cluster,no_memory_baseline,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.018590397092763347,-0.4457134227481727,0.0285979618978609,0.29682465753410625,0.4743113846460336,3.233803171412408,2.8338031714124075,20.0,0.98,6.195389125668321,128.88649315068213,128.88649315068213,-0.0735165372681061,2,2,0,0,1.0,0.0,0.0
balanced_cluster,spatial_flow_belief_memory_h10,10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.020400715809948847,-0.4437525805024136,0.02757803885538545,0.29692202048036204,0.4713306193577991,3.2357640136581667,2.8357640136581668,20.0,0.98,6.195389125668321,128.88844040960723,128.88844040960723,-0.07374300524242855,2,2,0,786,0.0359001437134086,0.5,0.0
balanced_cluster,spatial_flow_belief_memory_h3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.020400715809948847,-0.4437525805024136,0.02757803885538545,0.29692202048036204,0.4713306193577991,3.2357640136581667,2.8357640136581668,20.0,0.98,6.195389125668321,128.88844040960723,128.88844040960723,-0.07374300524242855,2,2,0,290,0.05908292588962335,0.5,0.0
balanced_cluster,spatial_flow_belief_memory_h30,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.020400715809948847,-0.4437525805024136,0.02757803885538545,0.29692202048036204,0.4713306193577991,3.2357640136581667,2.8357640136581668,20.0,0.98,6.195389125668321,128.88844040960723,128.88844040960723,-0.07374300524242855,2,2,0,2202,0.02149916531647935,0.5,0.0
heavy_cluster,no_memory_baseline,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.0413301999197134,-0.44833603306952474,0.02033804631516075,0.30308905770752537,0.4686740793846855,3.2311805610910556,2.831180561091056,20.0,0.98,6.195389125668321,129.01178115415053,129.01178115415053,-0.076606616292258,2,2,0,0,1.0,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h10,10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.0413301999197134,-0.44833603306952474,0.02033804631516075,0.30308905770752537,0.4686740793846855,3.2311805610910556,2.831180561091056,20.0,0.98,6.195389125668321,129.01178115415053,129.01178115415053,-0.076606616292258,2,2,0,776,0.036073939805303754,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.0413301999197134,-0.44833603306952474,0.02033804631516075,0.30308905770752537,0.4686740793846855,3.2311805610910556,2.831180561091056,20.0,0.98,6.195389125668321,129.01178115415053,129.01178115415053,-0.076606616292258,2,2,0,281,0.059815506508798,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h30,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.0413301999197134,-0.44833603306952474,0.02033804631516075,0.30308905770752537,0.4686740793846855,3.2311805610910556,2.831180561091056,20.0,0.98,6.195389125668321,129.01178115415053,129.01178115415053,-0.076606616292258,2,2,0,2179,0.02158598612670245,0.0,0.0
light_cluster,no_memory_baseline,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.031729624686579944,-0.4148146143062814,0.02426711022756355,0.3264839966608597,0.439081724533845,3.2647019798542987,2.864701979854299,20.0,0.99,6.195389125668321,129.62967993321718,129.62967993321718,-0.06852959749022194,2,2,0,0,1.0,0.0,0.0
light_cluster,spatial_flow_belief_memory_h10,10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.04174438386990345,-0.41781129204950695,0.02452772547794365,0.32656697686292,0.44233901752745064,3.261705302111073,2.8617053021110737,20.0,0.99,6.195389125668321,129.63133953725838,129.63133953725838,-0.0683178055478319,2,2,0,787,0.0359006132965426,0.5,0.0
