audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,400,300,12,12,0,0.00018687115442837175,0.0141267557091074,4.4470821458561e-05,0.12894525922257524,12,0.02784967980212942,0.8614170810055012,5.471761208179455e-07,77,0.42781912953897605,300,0.036494704943166124,300,0.036640560022214406,300,-3.6427433665629525e-05,0.17272981436762913,0.0006093875708673441,0.036685030843672965,4.4470821458561e-05,0.036640560022214406,300,0.00014240033296980924,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8818832558720107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8543122130853001,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894650837089492,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.890282949640465,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894413951535878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03732389203979864,0.8568117190534744,2.4296715562392867e-08,5,0.5663943837112083,20,0.04945533254449559,20,0.049707270360400596,20,1.2109627439571926e-07,0.24211861742013752,6.6136876067421305e-06,0.049707270360400596,0.0,0.049707270360400596,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",20,20,1,1,0,0.00020485559343208997,0.0040971118686418,6.9457707620165e-05,0.1474678624238152,1,0.03875525443341613,0.8291865809707074,7.633036003112838e-07,6,0.566467502393455,20,0.049160181155112795,20,0.04936652266664594,20,5.255011207589345e-06,0.2884648768262087,2.730870077070978e-05,0.049435980374266116,6.9457707620165e-05,0.04936652266664594,20,0.000135397885811925,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03302557716249989,0.8654986901034741,1.561987760725741e-08,4,0.5745997739987813,20,0.04927469671454586,20,0.04956796721317575,20,5.753639413422336e-08,0.2206001013852017,3.2138910695678254e-06,0.04956796721317575,0.0,0.04956796721317575,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03744044275054574,0.8633819976006534,1.5788531995611839e-06,6,0.5755036506614634,20,0.047970360749140316,20,0.04819029289443006,20,-0.0001422345004300492,0.1868414390291361,0.0013345006312336688,0.04819029289443006,0.0,0.04819029289443006,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
