audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,timing_duration_source_column,timing_boundary_scope,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,400,400,1.0,94,0.235,335,0.8375,,6.530379700001504,0.3515175000042163,0.11520309625024307,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,12.8175,48,446.4,1598,433.5825,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,160,160,1.0,49,0.30625,141,0.88125,,6.530379700001504,6.022167893007645,0.19279344500059775,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.15,5,60.0,90,56.85,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,160,160,1.0,44,0.275,137,0.85625,,0.2337109000000055,0.1832479580084326,0.050851029374871314,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,6.575,10,257.0,335,250.425,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,80,80,1.0,1,0.0125,57,0.7125,,0.2975043000042205,0.2907048490021406,0.0887265325002772,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,44.6375,48,1598.0,1598,1553.3625,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,144,144,1.0,49,0.3402777777777778,132,0.9166666666666666,False,0.2075707999974838,0.18630122400005336,0.04004368958375275,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.2777777777777777,5,60.0,90,56.72222222222222,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,144,144,1.0,40,0.2777777777777778,127,0.8819444444444444,,0.2337109000000055,0.16462906100918182,0.046795727083260984,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,6.611111111111111,10,257.0,335,250.38888888888889,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,4,0.1,21,0.525,,6.530379700001504,6.348545788004194,0.6937600350009234,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,12.9,48,446.4,1598,433.5,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,25,0.3125,67,0.8375,,6.064138900008402,6.007940433007388,0.19458736250080616,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.25,4,90.0,90,86.75,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,24,0.3,74,0.925,,6.530379700001504,5.873450934007191,0.19099952750038934,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.05,5,30.0,30,26.95,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,80,80,1.0,20,0.25,67,0.8375,,0.2072396000075969,0.17511519800871583,0.05137543125010775,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,4.525,6,179.0,179,174.475,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
