library_size_case_id,primitive_id,transition_entry_class,start_state_family,candidate_rows,viable_rows
balanced_cluster,lift_entry,launch_gate,launch_gate,4,4
balanced_cluster,mild_turn_left,launch_gate,launch_gate,4,4
balanced_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
heavy_cluster,lift_dwell_arc,launch_gate,launch_gate,4,4
heavy_cluster,mild_turn_left,launch_gate,launch_gate,4,4
heavy_cluster,mild_turn_right,launch_gate,launch_gate,4,4
heavy_cluster,recovery,launch_gate,launch_gate,4,4
heavy_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
light_cluster,lift_dwell_arc,launch_gate,launch_gate,4,4
light_cluster,lift_entry,launch_gate,launch_gate,4,4
light_cluster,mild_turn_left,launch_gate,launch_gate,8,8
light_cluster,recovery,launch_gate,launch_gate,4,4
light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,8,8
no_cluster_no_merge,energy_retaining_bank,launch_gate,launch_gate,14,14
no_cluster_no_merge,glide,launch_gate,launch_gate,16,16
no_cluster_no_merge,lift_dwell_arc,launch_gate,launch_gate,15,15
no_cluster_no_merge,lift_entry,launch_gate,launch_gate,12,12
no_cluster_no_merge,mild_turn_left,launch_gate,launch_gate,23,23
no_cluster_no_merge,mild_turn_right,launch_gate,launch_gate,14,14
no_cluster_no_merge,recovery,launch_gate,launch_gate,13,13
no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,launch_gate,11,11
super_light_cluster,energy_retaining_bank,launch_gate,launch_gate,8,8
super_light_cluster,glide,launch_gate,launch_gate,8,8
super_light_cluster,lift_dwell_arc,launch_gate,launch_gate,12,12
super_light_cluster,lift_entry,launch_gate,launch_gate,8,8
super_light_cluster,mild_turn_left,launch_gate,launch_gate,8,8
super_light_cluster,mild_turn_right,launch_gate,launch_gate,8,8
super_light_cluster,recovery,launch_gate,launch_gate,12,12
super_light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,8,8
