audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,timing_duration_source_column,timing_boundary_scope,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,400,400,1.0,186,0.465,377,0.9425,,3.703026899995166,0.17169804399243727,0.05135508525016117,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,12.8175,48,446.4,1598,433.5825,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,160,160,1.0,100,0.625,158,0.9875,,3.703026899995166,1.4088387339994988,0.06596885625021964,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.15,5,60.0,90,56.85,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,160,160,1.0,76,0.475,158,0.9875,,0.1109522999977343,0.09802029799859151,0.030667731249786768,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,6.575,10,257.0,335,250.425,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,80,80,1.0,10,0.125,61,0.7625,,0.1844406000018352,0.1745885890067437,0.06350225125079301,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,44.6375,48,1598.0,1598,1553.3625,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,144,144,1.0,95,0.6597222222222222,144,1.0,True,0.0936910000018542,0.08905677500515585,0.02142866388936045,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.2777777777777777,5,60.0,90,56.72222222222222,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,144,144,1.0,72,0.5,143,0.9930555555555556,,0.1109522999977343,0.09474191799657997,0.028103430555297015,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,6.611111111111111,10,257.0,335,250.38888888888889,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,10,0.25,31,0.775,,3.703026899995166,3.546380084995544,0.230915264999021,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,12.9,48,446.4,1598,433.5,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,51,0.6375,80,1.0,,0.0936910000018542,0.09129959100791886,0.02432068625039387,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.25,4,90.0,90,86.75,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,49,0.6125,78,0.975,,3.703026899995166,3.3857166849959297,0.1076170262500454,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.05,5,30.0,30,26.95,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,80,80,1.0,38,0.475,79,0.9875,,0.1109522999977343,0.09517165499819363,0.027837284999713986,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,4.525,6,179.0,179,174.475,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
