library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,no_memory_baseline,final_heldout,113,113
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,113,113
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,113,113
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,113,113
heavy_cluster,no_memory_baseline,final_heldout,74,74
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,74,74
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,74,74
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,74,74
light_cluster,no_memory_baseline,final_heldout,216,216
light_cluster,spatial_flow_belief_memory_h10,final_heldout,216,216
light_cluster,spatial_flow_belief_memory_h3,final_heldout,216,216
light_cluster,spatial_flow_belief_memory_h30,final_heldout,216,216
no_cluster_no_merge,no_memory_baseline,final_heldout,714,714
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,713,713
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,715,715
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,697,697
super_light_cluster,no_memory_baseline,final_heldout,428,428
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,428,428
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,428,428
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,428,428
