library_size_case_id,policy_id,history_length,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,physical_hard_failure_rate,floor_or_ceiling_violation_rate,physical_floor_or_ceiling_violation_rate,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_rate,no_viable_primitive_rate,mission_success_rate,front_wall_terminal_success_rate,wrong_wall_exit_rate,terminal_useful_rate,lift_capture_rate,mean_lift_dwell_time_s,mean_energy_residual_m,mean_net_specific_energy_delta_m,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_gross_specific_energy_loss_m,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_episode_flight_time_s,mean_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_min_wall_margin_m,selected_primitive_family_count,selected_variant_count,governor_rejection_count,belief_observation_count,belief_uncertainty,memory_changed_selection_rate,exploration_changed_selection_rate
balanced_cluster,no_memory_baseline,0,50,0.62,0.0,0.12,0.36,0.02,0.26,0.24,0.76,0.02,0.6,0.6,0.12,0.62,0.64,0.3016,-0.5059213025500273,-0.697714274017293,0.019659100544106994,0.24476728487335253,0.7173733745613999,2.744953409860027,2.344953409860027,11.887917552202762,0.9984000000000001,5.689696168966346,60.54179623062493,120.0,-0.0002695477366149179,49,49,1,0,1.0,0.0,0.0
balanced_cluster,spatial_flow_belief_memory_h10,10,50,0.62,0.0,0.12,0.36,0.02,0.26,0.24,0.76,0.02,0.6,0.6,0.12,0.62,0.64,0.3008,-0.502380659657667,-0.6967297572396564,0.019881148774514787,0.24545024323280992,0.7166109060141711,2.745937926637664,2.345937926637664,11.894670491416745,0.9984000000000001,5.689696168966346,60.55820833932791,120.0,0.0006245187554415076,49,49,1,813,0.0369899822717459,0.16,0.0
balanced_cluster,spatial_flow_belief_memory_h3,3,50,0.62,0.0,0.12,0.36,0.02,0.26,0.24,0.76,0.02,0.6,0.6,0.12,0.62,0.64,0.3012,-0.504429740117557,-0.697319820661822,0.019678402330024665,0.2446974355595855,0.7169982229918468,2.745347863215498,2.3453478632154985,11.887917552202762,0.9983999999999998,5.689696168966346,60.53839924664944,120.0,0.000419465786025986,49,49,1,303,0.06122140355563373,0.1,0.0
balanced_cluster,spatial_flow_belief_memory_h30,30,50,0.62,0.0,0.12,0.36,0.02,0.26,0.24,0.76,0.02,0.6,0.6,0.12,0.62,0.64,0.3,-0.4970988245293628,-0.6978094186230281,0.019881148774514787,0.24350278890408816,0.7176905673975429,2.744858265254292,2.344858265254292,11.894670491416745,0.9984000000000001,5.689696168966346,60.55498514106089,120.0,-0.00012364640283123673,49,49,1,2246,0.022012002368524866,0.24,0.0
heavy_cluster,no_memory_baseline,0,50,0.68,0.0,0.04,0.28,0.0,0.24,0.24,0.76,0.04,0.68,0.68,0.04,0.68,0.64,0.2968,-0.4987486609781319,-0.7482451375776716,0.014236337513421753,0.23592208555169317,0.7624814750910934,2.6944225462996485,2.2944225462996486,13.35533922872516,0.9956,5.689696168966346,79.49048384276115,120.01902073440544,-0.006876640351268975,40,40,3,0,1.0,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h10,10,50,0.68,0.0,0.04,0.28,0.0,0.24,0.24,0.76,0.04,0.68,0.68,0.04,0.68,0.64,0.29760000000000003,-0.49673646620611267,-0.7472988720837924,0.014268044488093863,0.23607422718256338,0.7615669165718861,2.695368811793528,2.2953688117935283,13.357884129478304,0.996,5.689696168966346,79.50007157613169,120.01900750277329,-0.008203564048875641,40,40,3,806,0.03703705191231422,0.12,0.0
heavy_cluster,spatial_flow_belief_memory_h3,3,50,0.68,0.0,0.04,0.28,0.0,0.24,0.24,0.76,0.04,0.68,0.68,0.04,0.68,0.64,0.2968,-0.4968283663360635,-0.7478606925046892,0.014268044488093863,0.23588094296219417,0.762128736992783,2.6948069913726314,2.294806991372631,13.357884129478304,0.996,5.689696168966346,79.49220589172431,120.01900750277329,-0.008031228728896578,40,40,3,303,0.06125848057973861,0.06,0.0
heavy_cluster,spatial_flow_belief_memory_h30,30,50,0.68,0.0,0.04,0.28,0.0,0.24,0.24,0.76,0.04,0.68,0.68,0.04,0.68,0.64,0.2972,-0.49798853394462333,-0.7492668051702723,0.014268044488093863,0.23598968644155452,0.7635348496583663,2.693400878707048,2.293400878707048,13.354935387872997,0.996,5.689696168966346,79.493462047654,120.01900750277329,-0.008287024516411994,40,40,3,2262,0.022017927108404584,0.18,0.0
light_cluster,no_memory_baseline,0,50,0.64,0.0,0.12,0.34,0.02,0.24,0.22,0.78,0.02,0.62,0.62,0.12,0.64,0.64,0.2984,-0.5405813197378049,-0.6948267831258949,0.019494484987644674,0.24031526699211647,0.7143212681135396,2.7478409007514255,2.3478409007514256,12.039755758815254,0.9952,5.689696168966346,62.60744837602474,120.0,-0.012590961157552294,49,50,4,0,1.0,0.0,0.0
light_cluster,spatial_flow_belief_memory_h10,10,50,0.64,0.0,0.12,0.34,0.02,0.24,0.22,0.78,0.02,0.62,0.62,0.12,0.64,0.64,0.29760000000000003,-0.5402650144500138,-0.6949031401612169,0.019470246535931126,0.24082326693566825,0.714373386697148,2.7477645437161033,2.3477645437161034,12.038104701112273,0.9952,5.689696168966346,62.611963536319124,120.0,-0.013416023202626541,49,50,1,827,0.03700856701533055,0.36,0.0
light_cluster,spatial_flow_belief_memory_h3,3,50,0.64,0.0,0.12,0.34,0.02,0.24,0.22,0.78,0.02,0.62,0.62,0.12,0.64,0.64,0.2988,-0.5390277380175565,-0.6947930986471883,0.019574267384016016,0.24027410459373133,0.7143673660312042,2.747874585230132,2.347874585230132,12.041094910850706,0.9952,5.689696168966346,62.60997308873179,120.0,-0.012258410223536631,49,50,1,300,0.061273965793958184,0.32,0.0
light_cluster,spatial_flow_belief_memory_h30,30,50,0.64,0.0,0.12,0.34,0.02,0.24,0.22,0.78,0.02,0.62,0.62,0.12,0.64,0.64,0.29760000000000003,-0.5387389458290883,-0.6945872209486034,0.019470246535931126,0.24086419013936097,0.7140574674845346,2.7480804629287174,2.348080462928717,12.038104701112273,0.9956,5.689696168966346,62.61277353806858,120.0,-0.01343200053689874,49,50,4,2254,0.022002899334624706,0.32,0.0
