outer_case_index,environment_block_id,variation_audit_passed,glider_model_fixed,latency_model_fixed,actuator_model_fixed,mass_cg_inertia_surface_calibration_not_varied,full_w3_randomisation_exception,fan_layout_fixed_within_outer_case,active_fan_count_fixed_within_outer_case,updraft_parameter_noise_allowed,variation_policy,row_count
0,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
1,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
2,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
3,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
4,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
5,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
6,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
7,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
8,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
9,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
10,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
11,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
12,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
13,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
14,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
15,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
16,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
17,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
18,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
19,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
20,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
21,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
22,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
23,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
24,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
25,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
26,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
27,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
28,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
29,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
30,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
31,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
32,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
33,r10_l7_full_domain_randomisation_arena_wide_training,True,True,True,True,True,False,True,True,True,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
