library_size_case_id,policy_id,history_length,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,physical_hard_failure_rate,floor_or_ceiling_violation_rate,physical_floor_or_ceiling_violation_rate,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_rate,no_viable_primitive_rate,mission_success_rate,front_wall_terminal_success_rate,wrong_wall_exit_rate,terminal_useful_rate,lift_capture_rate,mean_lift_dwell_time_s,mean_energy_residual_m,mean_net_specific_energy_delta_m,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_gross_specific_energy_loss_m,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_episode_flight_time_s,mean_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_min_wall_margin_m,selected_primitive_family_count,selected_variant_count,governor_rejection_count,belief_observation_count,belief_uncertainty,memory_changed_selection_rate,exploration_changed_selection_rate
balanced_cluster,no_memory_baseline,0,50,0.72,0.0,0.04,0.26,0.02,0.24,0.22,0.78,0.02,0.72,0.72,0.0,0.72,0.62,0.2912,-0.4547856518396849,-0.7010742722250076,0.0198532444205772,0.23456726634701588,0.7209275166455847,2.685835555451244,2.285835555451244,14.119117305410379,0.986,5.689696168966346,85.39137679303067,120.04846343307466,-0.008438261110022067,49,49,5,0,1.0,0.0,0.0
balanced_cluster,spatial_flow_belief_memory_h10,10,50,0.72,0.0,0.04,0.26,0.02,0.24,0.22,0.78,0.02,0.72,0.72,0.0,0.72,0.62,0.2904,-0.45659483630689934,-0.7010399245950952,0.02063496864751059,0.23409215516081033,0.7216748932426058,2.6858699030811564,2.2858699030811565,14.12965073576691,0.9855999999999999,5.689696168966346,85.38840799966309,120.04846343307466,-0.005954442381067546,48,49,5,796,0.03715990206430073,0.18,0.0
balanced_cluster,spatial_flow_belief_memory_h3,3,50,0.72,0.0,0.04,0.26,0.02,0.24,0.22,0.78,0.02,0.72,0.72,0.0,0.72,0.62,0.2904,-0.45699330186904263,-0.6998778391893969,0.02063496864751059,0.23431592672537283,0.7205128078369077,2.6870319884868548,2.2870319884868544,14.12965073576691,0.9856,5.689696168966346,85.39288343095433,120.04846343307466,-0.007320184543362719,48,49,5,303,0.061570126056589174,0.14,0.0
balanced_cluster,spatial_flow_belief_memory_h30,30,50,0.72,0.0,0.04,0.26,0.02,0.24,0.22,0.78,0.02,0.72,0.72,0.0,0.72,0.62,0.2904,-0.45729171044740413,-0.7011797491264496,0.02063496864751059,0.23408470580477034,0.7218147177739602,2.6857300785498017,2.285730078549802,14.12965073576691,0.9856,5.689696168966346,85.38825899156824,120.04846343307466,-0.006567417538603808,48,49,5,2227,0.0220830669616024,0.2,0.0
heavy_cluster,no_memory_baseline,0,50,0.72,0.0,0.04,0.22,0.02,0.2,0.18,0.82,0.06,0.68,0.68,0.04,0.72,0.62,0.2852,-0.4203022482357078,-0.7165166799540938,0.019546480598965674,0.23787482049205258,0.7360631605530595,2.6703931477221574,2.2703931477221575,13.317162281566857,0.9872,5.689696168966346,76.5994166420222,120.00903501310921,-0.004617858348918604,46,46,8,0,1.0,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h10,10,50,0.72,0.0,0.04,0.22,0.02,0.2,0.18,0.82,0.06,0.68,0.68,0.04,0.72,0.62,0.2852,-0.4203022482357078,-0.7165166799540938,0.019546480598965674,0.23787482049205264,0.7360631605530595,2.6703931477221574,2.2703931477221575,13.317162281566857,0.9872,5.689696168966346,76.5994166420222,120.00903501310921,-0.004617858348918604,46,46,8,820,0.03716560458223356,0.02,0.0
heavy_cluster,spatial_flow_belief_memory_h3,3,50,0.72,0.0,0.04,0.22,0.02,0.2,0.18,0.82,0.06,0.68,0.68,0.04,0.72,0.62,0.2852,-0.4195719434548687,-0.7165136441651065,0.019546480598965674,0.23787502665715404,0.7360601247640723,2.6703961835111447,2.270396183511145,13.317162281566857,0.9872,5.689696168966346,76.59942076532424,120.00903501310921,-0.004619351486622624,46,46,8,298,0.061611969878101684,0.02,0.0
heavy_cluster,spatial_flow_belief_memory_h30,30,50,0.72,0.0,0.04,0.22,0.02,0.2,0.18,0.82,0.06,0.68,0.68,0.04,0.72,0.62,0.2852,-0.4209670756120299,-0.7169299549018369,0.019546480598965674,0.2378751797817621,0.7364764355008027,2.669979872774414,2.2699798727744147,13.313029532089427,0.9875999999999999,5.689696168966346,76.59529107833897,120.00903501310921,-0.004618465376059619,46,46,8,2235,0.022084769434714838,0.04,0.0
light_cluster,no_memory_baseline,0,50,0.72,0.0,0.02,0.24,0.0,0.22,0.22,0.78,0.04,0.72,0.72,0.0,0.72,0.62,0.2876,-0.46630464007302824,-0.6965259749296202,0.019572114766439115,0.22785554461462165,0.7160980896960593,2.6903838527466313,2.2903838527466314,13.939238950819847,0.9823999999999999,5.689696168966346,86.11419361842738,120.01809100416993,-0.006078038011285467,49,49,30,0,1.0,0.0,0.0
light_cluster,spatial_flow_belief_memory_h10,10,50,0.72,0.0,0.02,0.24,0.0,0.22,0.22,0.78,0.04,0.72,0.72,0.0,0.72,0.62,0.2876,-0.46633069292513313,-0.696145259278981,0.019572114766439115,0.2279093743180142,0.71571737404542,2.6907645683972703,2.2907645683972704,13.939238950819847,0.9823999999999999,5.689696168966346,86.11531352946075,120.01809100416993,-0.006340942785530604,49,49,30,799,0.037229117609148085,0.12,0.0
